sample_id,ENSG00000141646,ENSG00000175029,ENSG00000198431,ENSG00000142798,ENSG00000145386,ENSG00000134057,ENSG00000157456,ENSG00000156970,ENSG00000169679,ENSG00000087586,ENSG00000138160,ENSG00000117399,ENSG00000171848,ENSG00000175063,condition
GSM6765254,10.13057601,15.7586738,56.28097784,11.25619557,25.88924981,63.03469518,18.00991291,9.004956455,7.879336898,18.00991291,10.13057601,48.40164095,10.13057601,37.14544538,control
GSM6765268,11.32926974,16.99390462,52.11464082,11.32926974,18.12683159,64.57683754,20.39268554,10.19634277,7.930488821,13.59512369,11.32926974,43.05122503,9.063415796,33.98780923,control
GSM6765281,12.25086556,17.81944081,53.45832244,12.25086556,18.93315586,55.68575254,16.70572576,8.909720406,8.909720406,18.93315586,10.02343546,42.32117193,10.02343546,32.29773647,control
GSM6765294,22.11629729,27.64537162,93.99426349,16.58722297,9.952333782,37.5977054,11.05814865,2.211629729,3.317444594,7.740704052,3.317444594,23.22211216,2.211629729,72.98378107,control
GSM6765307,26.42967353,29.73338272,90.30138455,15.41730956,9.911127572,30.83461911,7.708654778,3.303709191,2.202472794,9.911127572,3.303709191,26.42967353,2.202472794,73.78283859,control
GSM6765321,22.08923528,28.71600586,85.04355582,14.35800293,5.522308819,36.44723821,9.940155875,2.208923528,3.313385292,11.04461764,2.208923528,12.1490794,2.208923528,68.47662936,control
GSM6765335,26.78948459,46.13744568,751.5938732,23.81287519,2.976609399,7.441523497,7.441523497,0.74415235,0.74415235,4.464914098,1.488304699,11.16228524,0.74415235,10.4181329,MPXV
GSM6765349,26.69960812,41.53272374,697.89809,28.92457546,2.224967343,8.899869373,3.708278905,1.483311562,1.483311562,1.483311562,0.741655781,11.8664925,0.741655781,10.38318093,MPXV
GSM6765363,26.76938766,42.38486379,739.8761311,26.02579356,3.717970508,10.41031742,3.717970508,0.743594102,0.743594102,2.974376407,0.743594102,11.15391152,1.487188203,11.89750563,MPXV
GSM6765379,22.46195827,19.39896396,87.80583688,15.31497155,11.23097914,32.6719393,9.188982929,5.104990516,3.06299431,10.20998103,3.06299431,24.50395448,3.06299431,43.90291844,control
GSM6765393,25.06672484,17.75559676,88.77798382,15.66670303,6.266681211,33.42229979,10.44446868,2.088893737,3.133340605,9.400021816,2.088893737,18.80004363,2.088893737,39.688981,control
GSM6765408,25.02767571,22.94203607,90.72532447,17.72793696,10.42819821,29.198955,13.55665768,1.042819821,3.128459464,6.256918929,4.171279286,36.49869375,3.128459464,38.58433339,control
