gene_name,PLEKHM2,CCN1,SPATA2,C1S,PCBP2,MLX,condition
GSM6765254,109.185097,60.78345607,13.50743468,1.125619557,97.92890145,55.15535829,0
GSM6765268,100.8305007,64.57683754,12.46219672,2.265853949,96.29879283,56.64634872,0
GSM6765281,101.3480696,66.82290305,10.02343546,1.113715051,92.43834921,54.57203749,0
GSM6765294,393.6700918,315.1572364,43.12677972,8.846518917,441.220131,15.4814081,1
GSM6765307,377.7240841,354.5981198,42.94821948,13.21483676,417.3685944,14.31607316,1
GSM6765321,418.5910085,332.4429909,47.49185585,11.04461764,413.0686997,23.19369704,1
GSM6765335,142.1330988,93.76319606,9.673980546,1.488304699,123.52929,51.34651213,0
GSM6765349,164.6475834,92.70697263,8.899869373,2.224967343,126.8231386,53.39921624,0
GSM6765363,133.8469383,101.1287978,12.64109973,2.974376407,123.4366209,52.05158712,0
GSM6765379,309.3624253,350.2023494,35.73493361,6.125988619,429.8402015,24.50395448,1
GSM6765393,326.9118698,348.8452541,36.5556404,7.311128079,462.6899627,25.06672484,1
GSM6765408,371.2438564,377.5007754,41.71279286,12.51383786,514.110172,21.89921625,1
