,WDR37,NFAT5,ICAM5,ELL,PLAGL1,DHX38,GATA6,ZNF212,CBX6,ATP5MG,GM2A,group
GSM283173,-0.777774982,-6.992443726,-3.325944619,-0.741300812,-3.457608318,-0.634337812,-4.370811624,-0.915752853,0.028831654,-0.316911726,0.075901204,0
GSM283177,-0.943353797,-2.913841386,-3.877194142,0.780586223,-3.040604711,-2.089937285,-3.657253138,-2.267557653,-0.233075288,-0.77700369,-0.518671493,0
GSM283187,-1.33319464,-3.73412628,-3.888262448,-0.289861167,-3.960355591,-2.548717779,-4.700646034,-2.237029978,0.063841311,-0.279896749,-0.744806763,0
GSM283189,-0.360905338,-2.949559772,-3.642891906,-1.156945824,-2.649035474,-1.994215,-3.650848505,-1.288957209,0.14046265,-0.639886135,0.825621749,0
GSM283192,-1.193873608,-2.920582369,-3.446426209,-0.419610388,-3.163744469,-2.792954251,-3.902487248,-2.59771886,-0.549622762,-0.465055876,-0.60523931,0
GSM283196,-0.508628747,-2.832403957,-2.942395649,-0.787197616,-2.84012949,-2.453560816,-3.516933805,-1.926436877,0.263946843,0.395485794,-0.352884338,0
GSM283203,-0.571371879,-2.709564605,-3.93893414,-0.356251319,-3.401795479,-2.890506014,-3.648881317,-2.060498406,-0.902153809,0.527059815,-0.636024689,0
GSM283222,-1.227367781,-3.198767867,-4.10763856,-0.542161867,-3.556754508,-2.845494296,-3.524132442,-2.687480534,-0.223036784,1.413152245,-0.764189811,0
GSM283225,-1.387143588,-3.313939969,-3.829155824,-0.521704347,-3.567299821,-2.810574042,-4.177042807,-2.469969403,-0.536700478,-0.387809165,-1.457716958,0
GSM283230,-1.393574738,-2.930870411,-3.798573132,-0.697961365,-3.228346635,-2.712938764,-3.545129683,-2.965088212,-0.448086806,-0.441445645,-0.98076987,0
GSM283252,0.221778635,-1.921861887,-2.221636104,-0.373971774,-2.424201758,-2.732880476,-2.472579637,-1.693489788,0.258442919,-0.592134643,-0.757970246,0
GSM283255,0.092551596,-1.477538677,-1.622912417,0.137681399,-1.164572546,-1.635210372,-1.55214291,-1.79739374,0.62021373,-0.49438327,-0.539750812,0
GSM283258,-0.245229217,0.177056868,-0.237397164,-0.430880247,0.186932594,-1.194282997,-0.246619344,-1.385506042,-0.377803784,-0.238787286,-0.342747267,0
GSM283277,0.324047781,1.451390955,0.767670093,0.193583333,0.934136389,0.17638491,0.901428624,-0.164436885,1.017406897,-0.112081496,-1.058298631,0
GSM283278,-0.021291667,2.409732307,1.475691555,-0.20225685,2.101779434,0.795467684,1.713263951,-0.229659079,0.419526948,0.351849738,-0.310488238,0
GSM283280,-1.837081935,1.954212149,0.776346626,-0.35518735,1.67415067,-0.347079548,0.72892215,-0.261178119,-1.039089678,1.010003679,-0.367833333,0
GSM283378,1.140360858,-3.309595563,-3.324916941,0.587460152,-3.307650026,-2.280586996,-3.011698972,-1.904695837,1.61160941,-1.023397343,-0.449987716,1
GSM283396,-0.295675647,-3.663702302,-4.998743366,-0.149443314,-3.625947592,-2.042768038,-4.414108559,-1.92562705,0.274860943,-0.819062755,-1.845968507,1
GSM283397,-0.015954105,0.727316336,0.994001972,0.291594899,1.343543477,0.091166667,0.941386079,0.022958333,1.964695396,-0.901790019,-2.324759044,1
GSM283398,1.101950319,1.888293392,2.215397177,0.390014699,2.763119172,1.837883097,2.445575216,0.960302342,1.8778573,-0.788143361,-2.295898428,1
GSM283400,0.209591576,4.227891281,4.113585284,0.050063368,3.955581949,3.649097195,4.208139099,3.242819057,0.906115622,-1.029838206,-1.670980172,1
GSM283401,-0.100616604,4.2988138,3.574137782,0.818333906,3.108472652,3.890405462,3.834389453,3.34962824,0.79512189,-0.791112676,-1.634038708,1
GSM283403,0.894301273,4.268827148,4.838806395,1.210267287,3.377803727,3.244272066,5.044354175,3.954525503,1.440296047,-0.974083214,-4.693446636,1
GSM283405,1.408157684,3.003845399,2.965224429,2.011023837,3.327187765,3.664022037,4.482974178,3.658332987,1.100197895,-2.757051362,-0.872139376,1
