,PLEKHM2,CCN1,SPATA2,C1S,PCBP2,MLX,group
GSM283173,-0.642410481,-3.804237008,-2.502959647,0.683763325,-1.507358643,-0.613796128,0
GSM283177,-1.115439692,-2.902095912,-2.502078889,2.022584244,-0.683948225,-0.405042299,0
GSM283187,-1.144703731,-2.955125719,-2.776867227,2.048971351,-0.843382857,-0.27037348,0
GSM283189,-0.574222219,-2.342025579,-2.664681619,0.490934184,-1.185793759,-0.201197848,0
GSM283192,-0.872075553,-2.360940105,-2.560707803,1.55284839,-0.990602678,-0.515858151,0
GSM283196,-0.320666956,-2.25325071,-2.500801752,1.842230684,-0.619242141,-0.800771435,0
GSM283203,0.393929189,-2.841830602,-2.956531921,1.337891087,-1.17531257,-0.363800604,0
GSM283222,1.285523121,-2.598518256,-2.850920866,1.713100742,-0.846879738,-0.582371119,0
GSM283225,-0.70807745,-3.795630246,-3.000353249,1.000475279,-0.853714474,-0.033972108,0
GSM283230,0.128704544,-2.70731945,-2.683295401,1.172561969,-0.643737522,1.171509912,0
GSM283252,-1.193957398,-2.038367742,-3.42852726,1.179944505,-0.515906635,0.040167149,0
GSM283255,-1.159944398,-1.706310422,-1.627460306,1.153440415,-0.170573106,-0.449377555,0
GSM283258,-0.597876644,-1.026713326,-1.178023977,1.835524698,-0.867797253,-0.409379424,0
GSM283277,-0.438791594,0.370006674,0.196804961,1.645365292,0.362146707,-0.696624263,0
GSM283278,-1.468615415,0.773653905,0.687505062,0.951820481,-0.22154885,-0.492021702,0
GSM283280,-1.412781785,-0.138187344,-0.188240747,0.725442266,-0.818290923,-0.032537716,0
GSM283378,0.381078402,-2.154880543,-1.719886547,3.026288183,1.156323315,-1.0411453,1
GSM283396,0.600801699,-3.466756881,-2.94228296,2.451977675,0.65992065,-2.062824131,1
GSM283397,2.072477746,2.113133617,0.069840896,1.948819463,-0.563745112,-0.53174074,1
GSM283398,1.242510493,3.201670191,1.758257999,2.02423805,0.430086425,-3.879020674,1
GSM283400,0.3445981,4.966467853,3.773814068,1.817545387,-0.126485167,-0.892455015,1
GSM283401,-0.34236195,5.157202551,3.636098071,1.006042949,0.515501487,-0.789748586,1
GSM283403,0.468815642,4.410918187,3.741955772,2.10096215,1.804647356,-1.471843871,1
GSM283405,1.044045687,3.964558058,3.450375308,1.604177999,1.133601372,-0.507476726,1
GSM593820,0.468815642,4.410918187,3.741955772,2.10096215,1.804647356,-1.471843871,1
GSM593848,-0.438791594,0.370006674,0.196804961,1.645365292,0.362146707,-0.696624263,0
GSM593869,0.393929189,-2.841830602,-2.956531921,1.337891087,-1.17531257,-0.363800604,0
GSM593874,-1.193957398,-2.038367742,-3.42852726,1.179944505,-0.515906635,0.040167149,0
GSM593878,0.3445981,4.966467853,3.773814068,1.817545387,-0.126485167,-0.892455015,1
GSM593888,-1.412781785,-0.138187344,-0.188240747,0.725442266,-0.818290923,-0.032537716,0
GSM593894,-1.468615415,0.773653905,0.687505062,0.951820481,-0.22154885,-0.492021702,0
GSM593896,2.072477746,2.113133617,0.069840896,1.948819463,-0.563745112,-0.53174074,1
GSM593905,-0.34236195,5.157202551,3.636098071,1.006042949,0.515501487,-0.789748586,1
GSM593907,1.285523121,-2.598518256,-2.850920866,1.713100742,-0.846879738,-0.582371119,0
GSM593910,1.242510493,3.201670191,1.758257999,2.02423805,0.430086425,-3.879020674,1
GSM593921,0.381078402,-2.154880543,-1.719886547,3.026288183,1.156323315,-1.0411453,1
GSM593923,0.128704544,-2.70731945,-2.683295401,1.172561969,-0.643737522,1.171509912,0
GSM593927,-1.159944398,-1.706310422,-1.627460306,1.153440415,-0.170573106,-0.449377555,0
GSM593950,-0.872075553,-2.360940105,-2.560707803,1.55284839,-0.990602678,-0.515858151,0
GSM593951,0.600801699,-3.466756881,-2.94228296,2.451977675,0.65992065,-2.062824131,1
GSM593952,-0.642410481,-3.804237008,-2.502959647,0.683763325,-1.507358643,-0.613796128,0
GSM593954,-0.70807745,-3.795630246,-3.000353249,1.000475279,-0.853714474,-0.033972108,0
GSM593955,1.044045687,3.964558058,3.450375308,1.604177999,1.133601372,-0.507476726,1
GSM593956,-1.144703731,-2.955125719,-2.776867227,2.048971351,-0.843382857,-0.27037348,0
GSM593966,-0.597876644,-1.026713326,-1.178023977,1.835524698,-0.867797253,-0.409379424,0
GSM593972,-1.115439692,-2.902095912,-2.502078889,2.022584244,-0.683948225,-0.405042299,0
GSM593984,-0.574222219,-2.342025579,-2.664681619,0.490934184,-1.185793759,-0.201197848,0
GSM593985,-0.320666956,-2.25325071,-2.500801752,1.842230684,-0.619242141,-0.800771435,0
