,group
GSM283171,Mpox.M
GSM283172,Mpox.M
GSM283175,Mpox.M
GSM283186,Mpox.M
GSM283188,Mpox.M
GSM283190,Mpox.M
GSM283194,Mpox.M
GSM283319,Killed.M
GSM283320,Killed.M
GSM283321,Killed.M
GSM283322,Killed.M
GSM283323,Killed.M
GSM283324,Killed.M
GSM283325,Killed.M
GSM283326,Killed.M
GSM283327,Killed.M
GSM283328,Killed.M
GSM283330,Killed.M
GSM283332,Killed.M
GSM283334,Killed.M
GSM283338,Killed.M
GSM283346,Mock.M
GSM283348,Mock.M
GSM283352,Mock.M
GSM283353,Mock.M
GSM283354,Mock.M
GSM283355,Mock.M
GSM283356,Mock.M
GSM283357,Mpox.M
GSM283358,Mock.M
GSM283360,Mpox.M
GSM283366,Mock.M
GSM283367,Mpox.M
GSM283369,Mock.M
GSM283371,Mpox.M
GSM283373,Mock.M
GSM283375,Mpox.M
GSM283377,Mpox.M
GSM283379,Mpox.M
GSM283380,Mpox.M
GSM283381,Killed.M
GSM283382,Mpox.M
GSM283383,Killed.M
GSM283384,Killed.M
GSM283399,Killed.M
GSM283402,Killed.M
GSM283404,Killed.M
GSM283406,Mock.M
GSM283408,Mock.M
GSM283410,Mock.M
GSM283412,Mock.M
GSM283413,Mock.M
