Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
etoposide MCF7 DOWN	8/48	1.7668604217346905E-18	1.1661278783448957E-15	0	0	664.8666666666667	27177.972460768695	CCNA2;CDC20;CCNB1;UBE2C;BUB1B;KIF11;BUB1;AURKA
0173570-0000 PC3 DOWN	7/43	4.3087534674500525E-16	1.4218886442585173E-13	0	0	554.1666666666666	19606.811701221763	CCNA2;CDC20;CCNB2;CCNB1;KIF11;BUB1;AURKA
resveratrol MCF7 DOWN	8/104	1.1883865059966364E-15	2.6144503131926E-13	0	0	276.25	9493.657193268371	CCNA2;CDC20;CCNB1;UBE2C;BUB1B;KIF11;BUB1;AURKA
methotrexate MCF7 DOWN	7/52	1.7840108857944013E-15	2.943617961560762E-13	0	0	443.1333333333333	15048.769118980057	CCNA2;CDC20;CCNB1;UBE2C;KIF11;BUB1;AURKA
LUCANTHONE CTD 00006227	9/213	2.8426810058537432E-15	3.752338927726941E-13	0	0	174.54705882352943	5846.284210284927	CCNA2;CDC20;CCNB2;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
trifluridine MCF7 DOWN	6/33	3.708357969598914E-14	4.0791937665588055E-12	0	0	554.4166666666666	17145.66924151282	CDC20;CCNB1;UBE2C;BUB1B;BUB1;AURKA
5-Fluorouracil CTD 00005987	12/1202	1.713079707138747E-13	1.6151894381593902E-11	0	0	94.76974789915967	2785.7864460147343	CCNA2;CDC20;CCNB2;SMAD4;CCNB1;RRM2;CTBP2;UBE2C;TXNRD1;BUB1B;BUB1;AURKA
genistein CTD 00007324	12/1231	2.2769736929533384E-13	1.878503296686504E-11	0	0	92.37243642329778	2689.0317326787276	CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;UBE2C;TXNRD1;BUB1B;KIF11;BUB1;AURKA
thalidomide CTD 00006858	7/141	2.4524534999396797E-12	1.798465899955765E-10	0	0	148.1492537313433	3960.6120993891273	CCNA2;CDC20;CCNB1;RRM2;UBE2C;BUB1B;AURKA
ciclopirox MCF7 DOWN	6/67	3.3029589418931135E-12	2.1728179841398592E-10	0	0	244.9795081967213	6476.327862577051	CDC20;CCNB1;UBE2C;BUB1B;BUB1;AURKA
5109870 MCF7 DOWN	6/68	3.6213633068997652E-12	2.1728179841398592E-10	0	0	241.01612903225808	6349.370010182983	CDC20;CCNB1;UBE2C;BUB1B;BUB1;AURKA
dmnq CTD 00002569	7/157	5.260443225236973E-12	2.893243773880335E-10	0	0	132.24	3434.3793628766625	CCNA2;CDC20;CCNB2;UBE2C;TXNRD1;BUB1B;AURKA
Fulvestrant CTD 00002740	8/310	8.431791025181011E-12	4.280755443553436E-10	0	0	86.90507726269315	2215.9935999851446	CCNA2;CDC20;CCNB2;CCNB1;TXNRD1;BUB1B;BUB1;AURKA
irinotecan MCF7 DOWN	11/1272	2.012746615374828E-11	9.488662615338476E-10	0	0	54.44752841660058	1340.9846795723245	CCNA2;CDC20;CCNB2;CCNB1;RRM2;CTBP2;TXNRD1;BUB1B;KIF11;BUB1;AURKA
calcitriol CTD 00005558	12/1958	5.666486284960833E-11	2.4932539653827667E-9	0	0	55.62178828365879	1312.333063949053	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;TXNRD1;BUB1B;KIF11;HSPG2;BUB1;AURKA
Methaneseleninic acid CTD 00000412	8/402	6.716551257416936E-11	2.608615626825362E-9	0	0	66.30118443316412	1553.0297419476303	CCNA2;CDC20;CCNB1;RRM2;TXNRD1;BUB1B;KIF11;AURKA
troglitazone CTD 00002415	9/651	6.719161463035024E-11	2.608615626825362E-9	0	0	54.23551401869159	1270.3840797349894	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;BUB1B;KIF11;BUB1
testosterone CTD 00006844	10/1247	6.814890857678266E-10	2.4987933144820307E-8	0	0	37.89207760711398	799.7782634557194	CCNA2;CDC20;CCNB2;CCNB1;RRM2;UBE2C;BUB1B;KIF11;BUB1;AURKA
piroxicam CTD 00006571	8/549	7.957124492072476E-10	2.7640537709304388E-8	0	0	47.92359827479975	1004.0848431374743	CCNA2;CCNB2;CCNB1;RRM2;BUB1B;KIF11;BUB1;AURKA
monobenzone MCF7 DOWN	4/21	8.926367809791719E-10	2.945701377231267E-8	0	0	469.8588235294118	9790.373766547415	CDC20;CCNB1;BUB1;AURKA
5-azacytidine CTD 00005455	7/352	1.5212873690467084E-9	4.74881175335453E-8	0	0	56.93043478260869	1155.898975788163	CCNA2;CDC20;CCNB1;RRM2;UBE2C;BUB1B;AURKA
Cryptolepine CTD 00001119	4/24	1.5829372511181766E-9	4.74881175335453E-8	0	0	399.32	8091.813969507093	CCNA2;CCNB1;BUB1B;BUB1
daunorubicin PC3 DOWN	7/381	2.6361689383738645E-9	7.564658692725002E-8	0	0	52.43850267379679	1035.8669900672828	CCNA2;SMAD4;CCNB1;CTBP2;BUB1B;KIF11;BUB1
