Term,Fold Enrichment,PValue,Count
GO:0006357,1.699927594,2.92E-04,49
GO:0000122,1.778326954,0.003111972,30
GO:0006355,1.722440019,0.005678323,29
GO:0045892,2.038105116,0.004728564,20
GO:0008285,2.346467774,0.001896915,18
GO:0006468,2.170306529,0.007397841,16
GO:0035556,2.085749132,0.010458548,16
GO:0016567,1.931094387,0.019569212,16
GO:0007420,2.965674547,0.001568659,13
GO:0001666,4.106318604,1.75E-04,12
GO:0030036,2.595948543,0.015507495,10
GO:0008283,2.706786795,0.029016426,8
GO:0007264,3.427496287,0.016621062,7
GO:0006469,5.31405937,0.005360877,6
GO:0032092,4.883189691,0.00764778,6
GO:0001843,4.461185644,0.011083778,6
GO:0007565,4.201814385,0.01409995,6
GO:0033138,3.885548787,0.019182591,6
GO:1990830,3.377159226,0.032642831,6
