Term,,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GO:0001666,response to hypoxia,12,3.296703297,1.75E-04,"SMAD4, ACE, CASP3, BNIP3, DDIT4, SLC2A1, ADM, PLOD2, LIMD1, WTIP, HSPG2, VEGFA",323,176,19453,4.106318604,0.287896653,0.283585806,0.283585806
GO:0006357,regulation of transcription from RNA polymerase II promoter,49,13.46153846,2.92E-04,"ZNF251, ZNF805, ZMIZ2, LRRFIP1, TGIF1, KLF12, KLF13, ZNF284, ZNF282, ZNF160, OVOL2, MED22, CREB3, DGKQ, ZNF319, ZNF514, HOXB2, IRF5, JDP2, KDM7A, ZNF397, ZNF275, KDM3A, CTBP2, CBFB, CTBP1, MLLT6, MNT, DEAF1, ATXN7, NACC2, ZKSCAN2, ZNF587, ZNF224, ZNF664, XBP1, SMAD4, VEGFA, KLF8, ZNF37A, BHLHE40, ZNF416, ZNF778, ZNF337, PKN1, RBAK, RCOR1, ZFP28, ZNF354B",323,1736,19453,1.699927594,0.432919726,0.283585806,0.283585806
GO:0000122,negative regulation of transcription from RNA polymerase II promoter,30,8.241758242,0.003111972,"CTBP2, CBFB, CTBP1, CDC73, MNT, DEAF1, NACC2, TRIM27, ANKRD52, LRRFIP1, ZNF224, SNCA, TGIF1, PLK3, XBP1, KLF12, SMAD4, ZNF282, SAP30, VEGFA, OVOL2, KLF8, BHLHE40, ZNF778, TRIB3, ZNF337, BCOR, BCORL1, JDP2, ZNF354B",323,1016,19453,1.778326954,0.997656217,1,1
GO:0006355,"regulation of transcription, DNA-templated",29,7.967032967,0.005678323,"L3MBTL1, ZNF251, CHD7, LIMD1, MLLT6, SCMH1, DVL1, ZKSCAN2, LRRFIP1, ZNF224, ZNF664, PDE8A, TGIF1, SMAD4, ZNF284, ZNF282, ZNF160, SMARCA1, WTIP, SAP30, PTP4A3, ZNF37A, BHLHE40, ZNF778, ZNF514, ZNF337, RBAK, ZFP28, ZNF354B",323,1014,19453,1.722440019,0.99998434,1,1
GO:0045892,"negative regulation of transcription, DNA-templated",20,5.494505495,0.004728564,"ZNF397, L3MBTL1, SMAD4, CTBP2, ZNF282, CTBP1, LIMD1, WTIP, DEAF1, NACC2, BHLHE40, SCMH1, HSBP1L1, TRIB3, BCOR, RBAK, ZNF224, EID2B, RCOR1, TRIM11",323,591,19453,2.038105116,0.999899905,1,1
GO:0008285,negative regulation of cell proliferation,18,4.945054945,0.001896915,"SMAD4, KLF13, TES, CTBP2, CTBP1, TPBG, EIF2AK2, ADM, CGRRF1, HSPG2, CDC73, MNT, RASSF3, NACC2, FTH1, SPRY2, SPEG, SH2B3",323,462,19453,2.346467774,0.975008145,0.921426285,0.921426285
GO:0006468,protein phosphorylation,16,4.395604396,0.007397841,"CDKL2, PLK3, SRMS, CTBP1, CDC42BPG, TNK1, HUS1, EIF2AK2, CDC42BPB, RSKR, NRBP2, TRIB3, PKN1, CAMK1, MAP3K11, PDK1",323,444,19453,2.170306529,0.999999458,1,1
GO:0035556,intracellular signal transduction,16,4.395604396,0.010458548,"SMAD4, CDC42BPG, ADCY4, ADCY3, CDC42BPB, KCTD9, NRBP2, RASSF1, RASSF3, DGKQ, DDIT4, DVL1, PKN1, SH2B3, SIPA1, TNS1",323,462,19453,2.085749132,0.999999999,1,1
GO:0016567,protein ubiquitination,16,4.395604396,0.019569212,"RNF34, DCAF4, MID2, KLHL9, KCTD9, ITCH, MED30, GAN, TSPAN17, ENC1, TRIM47, KCTD11, TRIM27, LZTR1, TRIM11, FBXO9",323,499,19453,1.931094387,1,1,1
GO:0007420,brain development,13,3.571428571,0.001568659,"KDM4B, ACE, FKRP, SPHK2, ATP2B1, SMARCA1, HSPG2, EPOR, PPP3CC, PITPNM1, DDIT4, FPGS, PAFAH1B2",323,264,19453,2.965674547,0.952655207,0.921426285,0.921426285
GO:0030036,actin cytoskeleton organization,10,2.747252747,0.015507495,"VASP, INF2, PDLIM2, IQSEC1, CDC42BPG, SPIRE1, KRAS, CDC42BPB, ARFGEF3, PDLIM7",323,232,19453,2.595948543,1,1,1
GO:0008283,cell proliferation,8,2.197802198,0.029016426,"UCHL1, SMAD4, SPHK2, TXNRD1, FPGS, TACC1, PDK1, OVOL2",323,178,19453,2.706786795,1,1,1
GO:0007264,small GTPase mediated signal transduction,7,1.923076923,0.016621062,"DOCK11, CCDC88A, RGS19, RASGEF1A, DOCK9, SH2D3A, VAV2",323,123,19453,3.427496287,1,1,1
GO:0006469,negative regulation of protein kinase activity,6,1.648351648,0.005360877,"DBNDD2, DVL1, TRIB3, PKN1, TRIM27, SNCA",323,68,19453,5.31405937,0.999970883,1,1
GO:0032092,positive regulation of protein binding,6,1.648351648,0.00764778,"ACE, RALB, LRP1, CAPRIN2, TRIB3, PKD1",323,74,19453,4.883189691,0.999999668,1,1
GO:0001843,neural tube closure,6,1.648351648,0.011083778,"VASP, SDC4, MTHFD1L, DEAF1, ADM, CELSR1",323,81,19453,4.461185644,1,1,1
GO:0007565,female pregnancy,6,1.648351648,0.01409995,"SLC38A1, ACE, SPHK2, SLC2A1, ADM, UPRT",323,86,19453,4.201814385,1,1,1
GO:0033138,positive regulation of peptidyl-serine phosphorylation,6,1.648351648,0.019182591,"SH2D3A, CAPRIN2, SPRY2, CAMK1, VEGFA, SNCA",323,93,19453,3.885548787,1,1,1
