Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05168:Herpes simplex virus 1 infection	20	5.4945054945054945	0.0022766056680139975	ZNF275, ZNF251, ZNF284, ZNF282, ZNF160, EIF2AK2, TRAF2, ZNF805, ZNF37A, CASP3, TRAF5, ZNF416, ZNF778, ZNF514, ZNF337, RBAK, ZNF587, ZNF224, ZFP28, ZNF354B	158	512	8644	2.1370648734177218	0.4420441686917206	0.5828110510115834	0.5828110510115834
KEGG_PATHWAY	hsa05200:Pathways in cancer	18	4.945054945054945	0.015895496229515825	LAMA5, SMAD4, RALB, CTBP2, CTBP1, TXNRD1, WNT7B, ADCY4, SLC2A1, ADCY3, TRAF2, EPOR, VEGFA, RASSF1, CASP3, TRAF5, DVL1, KRAS	158	531	8644	1.8545376528641921	0.9834593657693953	1.0	1.0
KEGG_PATHWAY	hsa04330:Notch signaling pathway	5	1.3736263736263736	0.025884507914494242	ITCH, APH1B, CTBP2, CTBP1, DVL1	158	62	8644	4.412004899959167	0.9987858417943284	1.0	1.0
KEGG_PATHWAY	hsa04916:Melanogenesis	6	1.6483516483516485	0.03651738235637038	CREB3, WNT7B, DVL1, ADCY4, ADCY3, KRAS	158	101	8644	3.250031332247149	0.9999268803214674	1.0	1.0
KEGG_PATHWAY	hsa00670:One carbon pool by folate	3	0.8241758241758242	0.05029533807746089	MTHFD1L, MTHFD2, ALDH1L2	158	20	8644	8.20632911392405	0.9999981690609424	1.0	1.0
KEGG_PATHWAY	hsa05163:Human cytomegalovirus infection	9	2.4725274725274726	0.05236846804008992	CREB3, PPP3CC, CASP3, TRAF5, ADCY4, ADCY3, TRAF2, KRAS, VEGFA	158	225	8644	2.188354430379747	0.9999989535636329	1.0	1.0
KEGG_PATHWAY	hsa04072:Phospholipase D signaling pathway	7	1.9230769230769231	0.05252579406040664	RALB, SPHK2, DGKQ, ADCY4, ADCY3, KRAS, AGPAT2	158	148	8644	2.587581252138214	0.9999989971100881	1.0	1.0
KEGG_PATHWAY	hsa00532:Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	3	0.8241758241758242	0.05494238084141856	UST, CSGALNACT2, CHST3	158	21	8644	7.815551537070524	0.9999994784191064	1.0	1.0
KEGG_PATHWAY	hsa04390:Hippo signaling pathway	7	1.9230769230769231	0.0658946354150279	RASSF1, SMAD4, WNT7B, SERPINE1, DVL1, LIMD1, WTIP	158	157	8644	2.4392485688946226	0.9999999736159318	1.0	1.0
KEGG_PATHWAY	hsa04976:Bile secretion	5	1.3736263736263736	0.07831643770874874	ABCC3, ADCY4, SLC2A1, ADCY3, SLC4A2	158	89	8644	3.073531503342341	0.9999999991430577	1.0	1.0
KEGG_PATHWAY	hsa04015:Rap1 signaling pathway	8	2.197802197802198	0.08779232828244274	VASP, RALB, ADCY4, ADCY3, KRAS, SIPA1, VAV2, VEGFA	158	210	8644	2.0841470765521395	0.9999999999391875	1.0	1.0
KEGG_PATHWAY	hsa05010:Alzheimer disease	12	3.296703296703297	0.08995169845071274	XBP1, APH1B, PPP3CC, LRP1, CASP3, WNT7B, DVL1, ULK2, EIF2AK2, TRAF2, KRAS, SNCA	158	384	8644	1.7096518987341773	0.999999999966849	1.0	1.0
KEGG_PATHWAY	hsa04370:VEGF signaling pathway	4	1.098901098901099	0.09161144701203333	PPP3CC, SPHK2, KRAS, VEGFA	158	59	8644	3.7090753057283843	0.999999999979225	1.0	1.0
KEGG_PATHWAY	hsa04392:Hippo signaling pathway - multiple species	3	0.8241758241758242	0.09678587997502588	RASSF1, LIMD1, WTIP	158	29	8644	5.6595373199476215	0.999999999995187	1.0	1.0
