Term,Fold Enrichment,PValue,Count
GO:0005515,1.150254214,4.91E-05,251
GO:0046872,1.512382345,2.96E-04,71
GO:0042802,1.737418791,1.03E-04,52
GO:0005524,1.432174274,0.023888613,38
GO:0000981,1.533517866,0.013963779,34
GO:0000978,1.566367363,0.011851052,33
GO:0042803,1.858575961,0.005313277,24
GO:0031267,3.265072807,7.31E-05,17
GO:0003779,2.713593362,9.03E-04,16
GO:0001227,2.409622592,0.005731207,14
GO:0003714,3.411944594,8.37E-04,12
GO:0005085,2.949308039,0.002651452,12
GO:0004842,2.773054571,0.004251564,12
GO:0031625,2.209640309,0.020860455,12
GO:0015375,38.6687054,0.050684689,2
GO:0038024,7.565616274,0.058785785,3
GO:0004672,1.822085595,0.066755179,12
GO:0004488,29.00152905,0.067003862,2
GO:0019899,1.803203879,0.070760815,12
GO:0005080,4.000210904,0.077839978,4
GO:0004712,1.698287737,0.082846309,13
GO:0004674,1.740091743,0.08532541,12
GO:0015179,6.000316356,0.088276433,3
GO:0003682,1.630608059,0.089919346,14
GO:0003712,2.450833441,0.098529123,6
GO:0005283,19.3343527,0.098807921,2
GO:0031491,5.613199171,0.098905406,3
