Category,ID,Term,Count,PValue,Genes,Fold Enrichment,FDR
GOTERM_BP_DIRECT,GO:0043066,negative regulation of apoptotic process,17,0.037807731,"SERPINB2, MSX2, CBX4, BCL11B, CITED2, PLK2, TENT5B, THBS1, DKK1, AURKA, HSP90B1, MIEN1, CTSH, BIRC5, NAA38, CRYAB, PPARD",1.734870423,0.993695441
GOTERM_BP_DIRECT,GO:0015031,protein transport,18,0.003157091,"BTF3, SLC15A1, NBAS, PRAF2, COMMD1, COPZ1, HSP90B1, SCAMP2, TOM1L2, SCAMP4, LMAN1, CENPF, VPS51, NACA, VPS52, CHMP2A, KIF20A, VPS35L",2.234093867,0.269536637
GOTERM_BP_DIRECT,GO:0006412,translation,9,0.046467076,"MRPS9, RPL41, NACA, RPS4Y1, RPL18, RPL39, RPS10, MRPL21, MRPL11",2.264697893,0.993695441
GOTERM_BP_DIRECT,GO:0009410,response to xenobiotic stimulus,12,0.012500432,"BCHE, HDAC5, CENPF, ABCD3, SEMA3C, ARG1, SCNN1B, XRCC1, BLMH, TYMS, ADD3, THBS1",2.387334963,0.674036473
GOTERM_BP_DIRECT,GO:0055085,transmembrane transport,11,0.017172512,"SLC44A5, PSMB6, SLC35B2, SLC44A3, SLC44A2, PSMA2, GJA5, GJA9, ABCA12, GPR155, GSDME",2.405492603,0.799692648
GOTERM_BP_DIRECT,GO:0071222,cellular response to lipopolysaccharide,10,0.01028209,"HADHB, IL1A, HDAC5, ARG1, PDCD1LG2, CD68, GBP2, B2M, PPARD, IL1F10",2.783214582,0.619647156
GOTERM_BP_DIRECT,GO:0001666,response to hypoxia,9,0.015034382,"DPP4, IL1A, CITED2, XRCC1, THBS1, CRYAB, HIF1A, TM9SF4, HSP90B1",2.818004764,0.751352408
GOTERM_BP_DIRECT,GO:0071456,cellular response to hypoxia,7,0.035193816,"CCNA2, EDN1, SDHD, HIF1A, AQP3, VASN, PPARD",2.878757769,0.993695441
GOTERM_BP_DIRECT,GO:0009615,response to virus,7,0.014964615,"PSMA2, STMN1, IFI44, ISG15, DDX60, IFIT1, OASL",3.506850373,0.751352408
GOTERM_BP_DIRECT,GO:0051301,cell division,27,8.63E-09,"CDCA5, NCAPG2, NCAPG, BUB1B, KIF11, SKA3, SKA1, AURKA, CDC20, CCNB2, CCNB1, CDC23, BUB1, SAC3D1, CDT1, UBE2C, SMC1A, NDC80, CCNA2, ASPM, TPX2, CENPF, WEE1, PRC1, BIRC5, MCM5, KIF2C",3.884873409,8.84E-06
GOTERM_BP_DIRECT,GO:0010595,positive regulation of endothelial cell migration,5,0.034730526,"SCARB1, EDN1, NRP2, THBS1, RHOB",4.052032995,0.993695441
GOTERM_BP_DIRECT,GO:0030216,keratinocyte differentiation,5,0.033143241,"FLG, SPRR3, CDSN, MAFB, TGM3",4.112511099,0.993695441
GOTERM_BP_DIRECT,GO:0007346,regulation of mitotic cell cycle,5,0.033143241,"CDC20, CDC23, GMNN, BIRC5, DLGAP5",4.112511099,0.993695441
GOTERM_BP_DIRECT,GO:0042776,mitochondrial ATP synthesis coupled proton transport,5,0.030098628,"NDUFA11, ATP5PB, NDUFB11, NDUFS3, SDHD",4.239049902,0.993695441
GOTERM_BP_DIRECT,GO:0030855,epithelial cell differentiation,8,0.002404082,"EHF, DHRS9, KRT4, DLX5, KRT15, KRT24, KRT23, KRT9",4.364962275,0.214172366
GOTERM_BP_DIRECT,GO:0045109,intermediate filament organization,6,0.007746691,"KRT80, KRT4, KRT15, KRT24, KRT23, KRT9",4.862439593,0.529098993
GOTERM_BP_DIRECT,GO:0007059,chromosome segregation,9,3.79E-04,"CDT1, CENPF, HJURP, BIRC5, SKA3, BUB1, NDC80, SKA1, DLGAP5",5.11308081,0.050163927
GOTERM_BP_DIRECT,GO:0045333,cellular respiration,4,0.040128413,"COX7B, COX4I1, COX7A2, COX6A1",5.248347498,0.993695441
GOTERM_BP_DIRECT,GO:0031424,keratinization,9,2.45E-04,"LCE2B, IL1A, SPRR3, KRT80, KRT4, CNFN, ABCA12, TGM3, SPRR2D",5.450207017,0.03578498
GOTERM_BP_DIRECT,GO:0050919,negative chemotaxis,4,0.035450796,"DPP4, SEMA4A, NRP2, SEMA3C",5.510764873,0.993695441
GOTERM_BP_DIRECT,GO:0000281,mitotic cytokinesis,7,0.001433171,"KIF4A, STMN1, BIRC5, KIF20A, CEP55, RHOB, ZNF365",5.672846192,0.154556175
GOTERM_BP_DIRECT,GO:0048538,thymus development,5,0.010965937,"CCNB2, MAFB, BCL11B, CITED2, EPHB3",5.740380076,0.621345882
GOTERM_BP_DIRECT,GO:0031145,anaphase-promoting complex-dependent catabolic process,5,0.010194233,"PSMB6, CDC20, CDC23, PSMA2, UBE2C",5.862515822,0.619647156
GOTERM_BP_DIRECT,GO:0002052,positive regulation of neuroblast proliferation,4,0.028998244,"ASPM, ID4, WDR62, HIF1A",5.957583646,0.993695441
GOTERM_BP_DIRECT,GO:0001916,positive regulation of T cell mediated cytotoxicity,4,0.026999407,"RAET1L, HLA-A, B2M, HLA-E",6.123072081,0.993695441
GOTERM_BP_DIRECT,GO:0008544,epidermis development,10,2.54E-05,"COL17A1, LCE2B, SPRR3, CDSN, KRT15, YBX1, GRHL1, TGM5, KRT9, SPRR2D",6.407866131,0.004723246
GOTERM_BP_DIRECT,GO:0000278,mitotic cell cycle,18,2.98E-09,"CDT1, CDCA5, PLK2, DCTN3, NOLC1, KIF11, SKA3, NDC80, SKA1, AURKA, TPX2, CENPF, WEE1, TUBB2A, CDC23, PBK, BIRC5, MYBL2",6.441153747,6.10E-06
GOTERM_BP_DIRECT,GO:0032465,regulation of cytokinesis,5,0.006863402,"PRC1, PLK2, CALM3, KIF20A, AURKA",6.560434372,0.484934826
GOTERM_BP_DIRECT,GO:0007080,mitotic metaphase plate congression,5,0.006863402,"CCNB1, CDC23, CDCA5, CHMP2A, KIF2C",6.560434372,0.484934826
GOTERM_BP_DIRECT,GO:0000086,G2/M transition of mitotic cell cycle,7,6.16E-04,"CCNA2, WEE1, CCNB1, BIRC5, CALM3, FOXM1, AURKA",6.650923122,0.074289498
GOTERM_BP_DIRECT,GO:0090307,mitotic spindle assembly,5,0.006297896,"CDC20, TPX2, MYBL2, KIF11, SMC1A",6.720444966,0.477940307
GOTERM_BP_DIRECT,GO:0051445,regulation of meiotic cell cycle,3,0.050063299,"CDC20, ASPM, CDC23",8.266147309,0.993695441
GOTERM_BP_DIRECT,GO:0051231,spindle elongation,2,0.053311026,"KIF4A, KIF11",36.73843248,0.993695441
GOTERM_BP_DIRECT,GO:0030335,positive regulation of cell migration,10,0.054821168,"SEMA4A, EDN1, CLDN4, CEMIP, MIEN1, SEMA3C, FAM89B, CTSH, HPSE, THBS1",2.063956881,0.993695441
GOTERM_BP_DIRECT,GO:0001755,neural crest cell migration,4,0.055913759,"SEMA4A, KITLG, SEMA3C, HIF1A",4.59230406,0.993695441
GOTERM_BP_DIRECT,GO:0006091,generation of precursor metabolites and energy,4,0.055913759,"COX4I1, ACO2, COX6A1, PPARD",4.59230406,0.993695441
GOTERM_BP_DIRECT,GO:0021762,substantia nigra development,4,0.055913759,"ATP5PB, NDUFS3, CALM3, CKB",4.59230406,0.993695441
GOTERM_BP_DIRECT,GO:0002244,hematopoietic progenitor cell differentiation,5,0.057169972,"KITLG, CITED2, FST, EEF2, SSBP3",3.444228045,0.993695441
GOTERM_BP_DIRECT,GO:0046628,positive regulation of insulin receptor signaling pathway,3,0.059455273,"SERPINA12, ADIPOR1, SORL1",7.514679372,0.993695441
GOTERM_BP_DIRECT,GO:0006656,phosphatidylcholine biosynthetic process,3,0.069395723,"SLC44A5, SLC44A3, SLC44A2",6.888456091,0.993695441
GOTERM_BP_DIRECT,GO:0006883,cellular sodium ion homeostasis,3,0.069395723,"IL1A, SCNN1G, SCNN1B",6.888456091,0.993695441
GOTERM_BP_DIRECT,GO:0007049,cell cycle,12,0.070329606,"FANCI, CDT1, RGS2, MCM7, CDCA5, HJURP, BIRC5, MCM5, MAP3K8, KIF11, AURKA, CDKN3",1.806808155,0.993695441
GOTERM_BP_DIRECT,GO:0002605,negative regulation of dendritic cell antigen processing and presentation,2,0.070443906,"CD68, THBS1",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0050914,sensory perception of salty taste,2,0.070443906,"SCNN1G, SCNN1B",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0036037,"CD8-positive, alpha-beta T cell activation",2,0.070443906,"HLA-A, HLA-E",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0036018,cellular response to erythropoietin,2,0.070443906,"MT2A, MT1X",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0002455,humoral immune response mediated by circulating immunoglobulin,2,0.070443906,"EXO1, CD81",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:2000566,"positive regulation of CD8-positive, alpha-beta T cell proliferation",2,0.070443906,"HLA-A, HLA-E",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0036254,cellular response to amiloride,2,0.070443906,"SCNN1G, SCNN1B",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0019884,antigen processing and presentation of exogenous antigen,2,0.070443906,"PSME1, PSME2",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:1905342,positive regulation of protein localization to kinetochore,2,0.070443906,"CDT1, NDC80",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:1905448,positive regulation of mitochondrial ATP synthesis coupled electron transport,2,0.070443906,"CHCHD2, CCNB1",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0099638,endosome to plasma membrane protein transport,2,0.070443906,"ATP6AP1, SORL1",27.55382436,0.993695441
GOTERM_BP_DIRECT,GO:0006260,DNA replication,6,0.070920767,"POLA2, RRM2, MCM7, NAP1L1, MCM5, SSRP1",2.710212232,0.993695441
GOTERM_BP_DIRECT,GO:0008284,positive regulation of cell proliferation,16,0.071793498,"EDN1, CD81, NOLC1, NAP1L1, FOXM1, THBS1, DPP4, CDC20, KITLG, SAPCD2, PRC1, ID4, CTSH, BIRC5, HPSE, SSBP3",1.617839229,0.993695441
