Category,ID,Term,Count,PValue,Genes,Fold Enrichment,FDR
GOTERM_CC_DIRECT,GO:0005634,nucleus,147,3.96E-05,"EHF, GMNN, MT1M, CTNND1, HJURP, TESK2, BUB1B, MT1X, IPO4, RGS2, MT2A, CHCHD2, ZSCAN31, SESN3, RASSF5, COTL1, CHP1, KRT4, MSX2, FST, LMO7, OVOL1, JMJD8, KRT9, OLFM2, NCL, RBP1, HAT1, MT1F, MT1H, KIF20A, SNRPF, MT1E, FLG, CEMIP, PSMD13, DLX5, CDCA5, NCAPG, WDR62, RPS4Y1, HIF1A, GLIS1, HSP90B1, CCNB2, CCNB1, PDZD2, NTHL1, SERF2, SAC3D1, ZBTB7C, MFAP3L, BTF3, CDT1, TFAP2C, CBX4, BCL11B, UBE2C, PLK2, XRCC1, ISG15, MT4, EEF2, NDC80, TPX2, POLA2, MAFB, DIAPH3, NACA, ID4, CALM3, BLMH, HPSE, COPS8, MCM7, CITED2, ZFAS1, HSPB8, TECR, NCAPG2, ZBTB8OS, MCM10, YBX1, KIF11, FOXM1, NAT14, EXO1, PBK, IDH3B, TIMP3, MYBL2, DLGAP5, ZNF385A, ZHX3, ARG1, COMMD1, SMC1A, TENT5B, REXO2, RHOB, CCNA2, ASPM, IL1A, MN1, ARL4A, TUBB2A, PSMA2, PELI1, BIRC5, MCM5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, PPARD, HDAC5, ATF6B, NXN, TYMS, AURKA, PSMB6, PPP1R7, POLR2F, TNNI2, CKB, GBP2, FILIP1L, RPL18, BUB1, POLR2K, RRM2, ATP5PB, NAP1L1, SSRP1, GRHL1, CENPF, WEE1, PSMC5, PRC1, KRT15, CDK2AP2, TRIP13, PFKM, SSBP3, CDKN3",1.330371263,0.002526227
GOTERM_CC_DIRECT,GO:0005737,cytoplasm,142,2.02E-05,"SCARB1, FAM89B, GMNN, MT1M, CTNND1, TESK2, BUB1B, MT1X, ABCA12, IFIT1, AQP3, IPO4, RGS2, MT2A, CDC23, SESN3, LAMP1, RASSF5, STMN1, CHP1, TGM5, RPS10, TGM3, FST, SLC30A1, DNAAF5, LMO7, JMJD8, INPP4B, OLFM2, NCL, PSME1, MT1F, GEMIN4, PSME2, MT1H, SPATA18, MT1E, CEMIP, DLX5, CDCA5, NOLC1, NCAPG, HMMR, DDX60, MTMR4, HIF1A, C12ORF57, CCNB2, CCNB1, PDZD2, EIF4EBP3, SAC3D1, SPRR2D, MFAP3L, FANCI, BTF3, RPL41, TPRG1, PLK2, IFI44, ISG15, CNFN, MT4, EEF2, MRPL21, NDC80, IL1F10, TPX2, DIAPH3, NACA, KIF4A, ID4, CALM3, BLMH, COPS8, GSDME, CITED2, ZFAS1, HSPB8, QPRT, ZBTB8OS, YBX1, KIF11, SIPA1L2, OASL, ROBO1, MMP28, GET3, DLGAP5, ZNF385A, CEP55, ZNF365, EDN1, SERPINB2, MIOS, ARG1, GAB1, COMMD1, TENT5B, REXO2, CCNA2, ASPM, ARL4A, MRPS9, TUBB2A, PSMA2, BIRC5, NAA38, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, OAT, ACSS2, TUFT1, TYMS, PHYHIP, PSMB6, LMAN1, PPP1R7, GBP2, FILIP1L, RPL18, FNIP2, KLK13, NAP1L1, SHCBP1, CENPF, WEE1, PSMC5, KITLG, NLRP10, PRC1, CDK2AP2, NUCB1, PFKM, CDKN3",1.358384213,0.001502993
GOTERM_CC_DIRECT,GO:0005654,nucleoplasm,101,5.18E-04,"EHF, GMNN, HJURP, TESK2, AQP3, IPO4, CDC20, CDC23, RPS10, C17ORF49, LMO7, MYCL, SCNN1G, OLFM2, LTB4R2, NCL, RBP1, HAT1, PSME1, GEMIN4, PSME2, KIF20A, SNRPF, PSMD13, CDCA5, NOLC1, RPS4Y1, HIF1A, CCNB1, COMMD9, NTHL1, MFAP3L, FANCI, CDT1, TFAP2C, CBX4, UBE2C, XRCC1, ISG15, NDC80, TPX2, POLA2, TBL3, KIF4A, ID4, CALM3, GPR107, HPSE, COPS8, MCM7, CITED2, COX4I1, HSPB8, NCAPG2, ZBTB8OS, MCM10, YBX1, FOXM1, OASL, EXO1, CTSK, MYBL2, GET3, ZNF385A, ZHX3, MIOS, COMMD1, NAV2, SMC1A, CCNA2, ARL4A, SAPCD2, PSMA2, BIRC5, MCM5, NAA38, SGK1, CRYAB, PPARD, HDAC5, OAT, ACSS2, ATF6B, AURKA, PSMB6, NT5E, MIEN1, POLR2F, GBP2, BUB1, POLR2K, ATP5PB, WDR18, SSRP1, GRHL1, CENPF, WEE1, PSMC5, CYP24A1, NLRP10, PRC1",1.36795734,0.017804773
GOTERM_CC_DIRECT,GO:0016020,membrane,93,4.91E-04,"SLC44A5, PIGS, SLC35B2, SLC44A3, NRP2, ABCD3, MCM7, SLC44A2, CD81, NCF2, COX4I1, NCAPG2, KIF11, ABCA12, NAT14, SPPL3, AQP3, NKPD1, IPO4, OASL, AADACL2, TMEM101, GLIPR1, LAMP1, STMN1, B2M, RPS10, CEP55, SLC15A1, ATP6AP1, HLA-A, KRT9, HLA-E, SCAMP2, ADGRF2, TOM1L2, BACE2, MYL6, DAAM1, LTB4R2, NCL, GEMIN4, PSME2, MCM5, KIF2C, PABPC1, ERGIC3, NBAS, SMIM5, PSMD13, NCAPG, HMMR, MTMR4, ADIPOR1, RPS4Y1, ADD3, TM9SF4, HSP90B1, DPP4, LMAN1, CCNB2, NT5E, CCNB1, VPS51, TMEM205, VPS52, EIF4EBP3, EMC7, FILIP1L, RPL18, BUB1, MPDU1, FANCI, FIS1, ATP5PB, PRAF2, NAP1L1, EEF2, ASPRV1, SORL1, NDC80, KITLG, PSMC5, TMEM237, KIF4A, CHMP2A, NUCB1, EIF3H, GPR107, HPSE, CD68, PFKM, GSDME",1.396286935,0.017804773
GOTERM_CC_DIRECT,GO:0005576,extracellular region,57,0.005631333,"NRP2, YBX1, AADACL2, CTSK, LIPN, COTL1, TIMP3, CTSH, B2M, RPTN, EPHB3, EDN1, SERPINB2, ARG1, RNASET2, FST, OVCH2, PDCD1LG2, DKK1, TMPRSS11F, CES4A, IL1A, OLFM2, CCDC80, PSG4, PSMA2, CFD, COL17A1, PMEL, CEMIP, SEMA3C, PSMD13, TUFT1, FBLN1, LTBP2, THBS2, LYPD5, THBS1, HSP90B1, PSORS1C2, DPP4, COMMD9, PDZD2, LY6G6C, CLCA4, BCHE, CDSN, KLK13, ISG15, EEF2, IL1F10, KITLG, TCN1, RAET1L, NUCB1, CALM3, HPSE",1.425151854,0.13248451
GOTERM_CC_DIRECT,GO:0005739,mitochondrion,39,0.015983509,"COX7B, ABCD3, OAT, NDUFA11, SLC44A2, NDUFB11, MAOA, COX4I1, HJURP, TYMS, COX6A1, MRPL11, PSMB6, CHCHD2, RGS2, MPC1, NTHL1, IDH3B, CKB, DLGAP5, FIS1, MGME1, TFAP2C, ATP5PB, SDHD, REXO2, MRPL21, VASN, HADHB, NUDT9, COQ3, MRPS9, CYP24A1, HAT1, NDUFS3, ACO2, SGK1, SPATA18, CRYAB",1.468642164,0.264615866
GOTERM_CC_DIRECT,GO:0005829,cytosol,155,2.50E-09,"NCF2, GMNN, CTNND1, HJURP, BUB1B, ABCA12, IFIT1, CDC20, RGS2, MT2A, CDC23, LAMP1, STMN1, COTL1, MAP3K8, RPL39, B2M, RPS10, PPFIA3, RPTN, EPHB3, KRT4, MSX2, C17ORF49, AP1B1, LMO7, RUNDC3A, KRT9, INPP4B, MYL6, DAAM1, RBP1, PSME1, GEMIN4, PSME2, SNRPF, PHLDB2, FLG, MAOA, PSMD13, CDCA5, C1ORF198, NCAPG, HMMR, WDR62, RPS4Y1, DDX60, MTMR4, SKA3, HIF1A, SKA1, HSP90B1, CCNB2, CCNB1, COMMD9, PDZD2, SERF2, SPRR2D, FANCI, BTF3, FIS1, CDT1, RPL41, TFAP2C, UBE2C, PLK2, ISG15, EEF2, NDC80, TPX2, POLA2, HAL, DIAPH3, KIF4A, CHMP2A, CALM3, BLMH, ACO2, COPS8, GSDME, ABCD3, MCM7, CITED2, COX4I1, HSPB8, QPRT, KRT24, CLTB, KRT23, YBX1, KIF11, RND3, OASL, CTSH, MYBL2, DLGAP5, ZNF385A, MIOS, ARG1, CKAP2L, GAB1, COMMD1, SMC1A, COPZ1, RHOB, CCNA2, IL1A, ARL4A, SAPCD2, PSMA2, PELI1, BIRC5, MCM5, KIF2C, PABPC1, SGK1, PFDN5, CRYAB, HDAC5, SPRR3, KRT80, NBAS, ACSS2, ATF6B, NXN, RAB1B, DCTN3, ADD3, TYMS, AURKA, PSMB6, NT5E, MIEN1, RASSF10, VPS51, VPS52, POLR2F, TNNI2, CKB, GBP2, RPL18, FNIP2, XDH, BUB1, POLR2K, RRM2, CENPF, PSMC5, NLRP10, PRC1, KRT15, RAB13, EIF3H, PFKM, CDKN3",1.520688069,1.12E-06
GOTERM_CC_DIRECT,GO:0070062,extracellular exosome,66,7.78E-05,"SCARB1, SLC44A2, CD81, QPRT, CTNND1, KRT24, YBX1, LAMP1, STMN1, COTL1, CTSH, CHP1, GET3, B2M, TGM3, ATP6AP1, RNASET2, HLA-A, RHOB, KRT9, HLA-E, SCAMP2, TOM1L2, SCNN1G, MYL6, TUBB2A, PSMA2, SCNN1B, NCL, UFC1, GEMIN4, PSME1, PSME2, PABPC1, CDH16, CRYAB, CFD, SPRR3, PMEL, SEMA3C, RAB1B, FBLN1, GDPD3, LTBP2, THBS1, HSP90B1, DPP4, PSMB6, LMAN1, NT5E, PPP1R7, CKB, GPR155, EEF2, SORL1, VASN, NUDT9, PSMC5, NACA, KRT15, RAB13, CHMP2A, NUCB1, EIF3H, BLMH, COPS8",1.626601891,0.004348849
GOTERM_CC_DIRECT,GO:0005813,centrosome,18,0.033672268,"CKAP2L, PLK2, DCTN3, WDR62, HMMR, SKA3, NDC80, AURKA, CDC20, ASPM, CCNB2, CENPF, CCNB1, CALM3, KIF2C, SAC3D1, CEP55, ZNF365",1.725183824,0.442691285
GOTERM_CC_DIRECT,GO:0005743,mitochondrial inner membrane,18,0.008813401,"COX7B, NDUFA11, ATP5PB, NDUFB11, COX4I1, TMEM160, SDHD, TYMS, COX6A1, MRPL21, MRPL11, HADHB, COQ3, COQ2, MRPS9, CYP24A1, MPC1, NDUFS3",2.011550369,0.184081955
