ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
TSPAN6,-2.089568413,0.819848633,6.797568815,0.001657485,0.006392761,
LAS1L,-1.415802056,0.421584668,21.98107858,0.000262193,0.001239555,
SEMA3F,-2.36648006,0.32663693,43.28520678,7.16E-14,1.14E-12,
LAP3,-1.530846138,0.453065028,19.75618011,0.000211648,0.001023743,
RBM5,1.810000143,0.206038716,329.4520657,5.51E-19,1.19E-17,
ARF5,-0.810159222,0.16735841,164.9476585,8.76E-07,6.62E-06,
POLDIP2,-0.914568194,0.197222865,120.1023774,2.15E-06,1.53E-05,
FKBP4,0.451267122,0.114230652,463.2118476,6.59E-05,0.000358983,
RECQL,1.858467364,0.176864788,535.5616253,2.38E-26,7.33E-25,
ARHGAP33,2.070243917,1.048369376,8.918150201,0.009597684,0.028890958,
NDUFAB1,-0.768133505,0.258721404,81.62333391,0.002053171,0.007680972,
CDC27,0.82924063,0.307356881,43.14300473,0.004555236,0.01540364,
HCCS,1.032100351,0.203919545,110.9153676,2.40E-07,1.99E-06,
PRSS22,2.29020803,0.360567193,72.74185816,4.95E-11,6.12E-10,
UPF1,0.489310475,0.211437012,106.896141,0.017859112,0.048543577,
SLC25A5,-2.327362619,0.135471673,392.1436011,6.32E-67,5.29E-65,
FAM214B,1.398314829,0.198360797,151.9240852,7.23E-13,1.05E-11,
CREBBP,0.894242806,0.282741251,84.68687422,0.000978403,0.003997029,
WDR54,-1.716777413,0.974302225,5.226631629,0.013761039,0.039171274,
CROT,-3.101115285,0.953254998,7.102626766,0.000109879,0.000569195,
KMT2E,0.961004213,0.296968666,59.79104463,0.000710955,0.003020685,
SOX8,6.623463268,2.364473927,16.86399667,4.16E-07,3.32E-06,
FBXL3,1.297311259,0.324964653,43.26739689,2.72E-05,0.000160357,
ITGA3,0.556765501,0.185897522,120.572893,0.002306716,0.008511412,
ZFX,1.383627047,0.415602309,34.3641527,0.000329946,0.001525155,
REX1BD,-2.753861257,1.057953317,5.344933594,0.000963347,0.003948377,
MAP3K14,2.097112532,0.51069266,20.86414495,8.47E-06,5.49E-05,
TMEM132A,1.208882436,0.465848386,22.62825471,0.00400092,0.013782436,
AP2B1,1.315641336,0.183767859,137.8987972,3.44E-13,5.17E-12,
ZNF263,1.12248154,0.346620056,41.3740981,0.000592239,0.002573332,
SPATA20,1.254828896,0.609584546,10.34076424,0.014658251,0.041316148,
TNFRSF12A,2.078433326,0.096873639,979.1847969,8.77E-103,1.25E-100,
MAP3K9,0.944247247,0.327964803,44.59727576,0.002345228,0.008643725,
BAIAP2L1,0.605382547,0.222598315,99.60169049,0.005237603,0.017341392,
KDM7A,1.214637146,0.309253024,45.51260326,3.85E-05,0.000219453,
TTC22,-1.283781801,0.581023641,11.59634169,0.009294821,0.028178498,
GGCT,-2.303303463,0.220774209,132.8929823,2.98E-26,9.10E-25,
IFRD1,0.838149559,0.235016913,132.6351286,0.000242849,0.001157622,
PRSS21,1.673950639,0.76055077,9.116702856,0.006612794,0.021182221,
CCDC124,-1.985076293,0.298484348,63.07262608,6.07E-12,8.15E-11,
PAFAH1B1,0.495140783,0.160443446,160.2306345,0.001762193,0.006751322,
RHBDF1,2.217026824,0.251060773,134.3624607,2.44E-19,5.36E-18,
LUC7L,0.993157888,0.342638444,42.93395841,0.002090678,0.007797663,
TSR3,-2.04950761,0.296302917,58.84021362,9.06E-13,1.30E-11,
CRAMP1,1.481136552,0.360692685,43.61382829,1.39E-05,8.65E-05,
PSMB1,-0.510125817,0.14732128,203.3224109,0.000453079,0.002029373,
CDK11A,1.306479447,0.416130656,35.18690005,0.000686293,0.002932151,
NADK,0.814899117,0.319090223,39.46135663,0.007044315,0.022368049,
SYPL1,-1.326590919,0.232341005,83.76778133,4.44E-09,4.64E-08,
CYB561,-1.391398765,0.461447085,19.02364481,0.000853774,0.003546421,
SPAG9,0.802269986,0.186685153,162.4402346,1.20E-05,7.50E-05,
CELSR3,2.551495552,0.875272281,32.02874936,0.001097904,0.004435328,
SS18L2,1.052568807,0.324966813,58.06771425,0.00062413,0.00269674,
MPND,-2.28647759,1.189144185,4.347047846,0.005803721,0.018906318,
MGST1,-2.488765181,0.497499921,20.32494671,8.08E-08,7.18E-07,
CRY1,3.792882405,0.395747464,233.9471329,4.20E-22,1.07E-20,
NFIX,-1.648358512,0.667636235,9.502398208,0.003084988,0.010995051,
MMP25,7.463716792,1.246125798,117.5621633,3.89E-11,4.85E-10,
IL32,4.747258956,0.965233999,63.7434192,1.10E-06,8.22E-06,
PKD1,3.12838686,0.561540373,19.70287924,3.73E-09,3.93E-08,
RPS20,-0.514018884,0.11358166,398.5364739,5.19E-06,3.47E-05,
CSDE1,-0.658887413,0.109322671,360.5515498,1.30E-09,1.42E-08,
BAZ1B,1.587374677,0.239718136,84.6432539,1.15E-11,1.51E-10,
ZNF207,1.398813304,0.194477294,181.5356232,2.57E-13,3.92E-12,
UQCRC1,-1.036553333,0.21021042,93.22232476,4.43E-07,3.52E-06,
STARD3NL,1.356303751,0.454157088,23.45485714,0.001012966,0.004126014,
CD9,-0.637468102,0.141975351,200.6570767,5.60E-06,3.73E-05,
GIPR,1.326510818,0.534425409,17.07346136,0.004773252,0.016066066,
NISCH,1.368196187,0.277064371,67.79737592,3.08E-07,2.51E-06,
PRSS3,-2.726937383,0.285342617,74.5894168,1.65E-22,4.30E-21,
SCMH1,1.252215628,0.52624746,17.0213057,0.006750106,0.021538651,
FYN,1.483973012,0.330606811,47.0121226,2.57E-06,1.80E-05,
ELOA,-0.600899276,0.252387123,62.95168543,0.013656536,0.038921975,
CLCN6,1.56138433,0.446003563,28.5523822,0.00014755,0.000739008,
MRC2,1.077459937,0.437442082,20.60016034,0.006675275,0.021348505,
TSPAN9,-1.097777887,0.537540224,14.30596043,0.017975477,0.048754241,
APBA3,1.242748769,0.45169825,28.84362357,0.002495334,0.009126851,
ABHD5,-0.969903446,0.388314411,26.50490529,0.006752305,0.021539947,
RNF216,2.626819751,0.280613485,79.4411786,1.50E-21,3.75E-20,
PLAUR,0.998532441,0.393301867,25.8800712,0.00596322,0.019367483,
ANLN,-1.975354323,0.43031419,24.89414103,9.17E-07,6.92E-06,
ERCC1,0.918894144,0.177680407,161.2498301,1.46E-07,1.25E-06,
SEMA3B,2.31006407,1.323742925,4.267162469,0.012676321,0.036558668,
ELOVL5,0.558910091,0.199749312,130.4377527,0.00428115,0.014638224,
KDM5D,1.459699279,0.342547695,56.24001897,7.54E-06,4.93E-05,
PSMC4,-0.433911885,0.158779455,249.7943641,0.005626317,0.018451323,
CLK1,1.45785872,0.139718438,612.9791552,7.06E-26,2.10E-24,
RNF14,0.835764518,0.350437333,30.94873026,0.010922492,0.032269404,
GPRC5A,2.561261213,0.493734174,31.17330865,4.42E-08,4.05E-07,
UFL1,-0.8190359,0.283416446,48.06603794,0.002515292,0.009186278,
POLA2,-2.339056029,1.5026819,3.039529235,0.011138511,0.032816281,
