Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,BP,FDR
GOTERM_BP_DIRECT,GO:0002181~cytoplasmic translation,10,5.263157895,7.86E-08,"RPS26, RPS4X, RPS25, RPS27, RPS3, RPS3A, RPS2, RPS21, RPS24, RPS23",166,91,19462,12.8836224,7.57E-05,7.57E-05,cytoplasmic translation,7.57E-05
GOTERM_BP_DIRECT,GO:0006412~translation,12,6.315789474,3.14E-06,"RPS26, RPS4X, RPS25, RPS27, DHPS, RPS3, RPS3A, RPS2, RPS4Y1, RPS21, RPS24, RPS23",166,222,19462,6.337349398,0.003019631,0.001512097,translation,0.001512097
GOTERM_BP_DIRECT,GO:0042274~ribosomal small subunit biogenesis,7,3.684210526,3.90E-05,"RPS4X, RPS25, RPS27, BMS1, RPS3A, RPS24, RPS23",166,74,19462,11.09036145,0.036864063,0.011415533,ribosomal small subunit biogenesis,0.011415533
GOTERM_BP_DIRECT,GO:0048015~phosphatidylinositol-mediated signaling,6,3.157894737,4.74E-05,"PLCB4, PIK3CA, PIK3C2G, PIK3C3, PLCB2, PIK3C2B",166,47,19462,14.96693156,0.044636341,0.011415533,phosphatidylinositol-mediated signaling,0.011415533
GOTERM_BP_DIRECT,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,4,2.105263158,8.19E-04,"PIK3CA, PIK3C2G, PIK3C3, PIK3C2B",166,22,19462,21.31653888,0.545504861,0.148355012,,0.148355012
GOTERM_BP_DIRECT,GO:1905037~autophagosome organization,3,1.578947368,0.001047969,"ULK3, GBA1, PIK3C2B",166,6,19462,58.62048193,0.635680186,0.148355012,,0.148355012
GOTERM_BP_DIRECT,GO:0006413~translational initiation,5,2.631578947,0.001213481,"EIF2B3, EIF2B2, RPS3, RPS3A, EIF4G3",166,55,19462,10.65826944,0.689413101,0.148355012,,0.148355012
GOTERM_BP_DIRECT,GO:0007596~blood coagulation,6,3.157894737,0.00123244,"PLAU, PLAUR, GATA6, WAS, GATA4, PLAT",166,94,19462,7.483465778,0.695039204,0.148355012,,0.148355012
GOTERM_BP_DIRECT,GO:0043567~regulation of insulin-like growth factor receptor signaling pathway,3,1.578947368,0.001934487,"IGFBP4, IGFBP3, IGFBP6",166,8,19462,43.96536145,0.845059703,0.206990133,,0.206990133
GOTERM_BP_DIRECT,GO:0065003~macromolecular complex assembly,6,3.157894737,0.009108404,"CAPZA1, MBD2, CAPZA2, WAS, CAPN3, PEX14",166,150,19462,4.689638554,0.999851003,0.877139343,,0.877139343
