Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,,FDR
GOTERM_BP_DIRECT,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,147,11.76941553,7.05E-19,"ATF1, ATF2, CRTC2, CCNT2, ZNF292, SCX, HNRNPU, ARID4B, GABPB1, ETS1, ELK1, IKZF4, ZC3H12A, GPBP1, POGZ, EPC1, SOX8, HOXA1, ZNF721, PKNOX1, JUNB, IER2, DDX17, PTOV1, JMJD6, ZNF91, DMTF1, DDIT3, MZF1, SQSTM1, ATF3, ATF4, KMT2D, DLX2, KMT2A, KMT2C, GATA6, RLF, GLIS2, BCL2L12, SBNO2, NHLH1, DVL3, CAMTA2, E4F1, ZNF267, ZNF143, EGR1, AKIRIN1, ZNF263, TGFB1, SS18L2, LIF, PBX2, NFATC1, INHBA, INO80, NFKB1, NFKB2, SETX, FOSL1, NFKBIA, NR4A1, BCL9, RGCC, MC1R, MAFG, AGO2, BCL3, MAFF, REL, CREBRF, OGT, CREBZF, CSRNP1, GMEB2, MYSM1, PHF8, MED17, IKBKB, FLCN, NIPBL, MED13, SIX4, LRP5L, MED10, GPER1, NFKBIZ, IKBKG, KDM6B, IL11, CHUK, TFE3, VEZF1, FOS, ASH1L, SIRT7, PPRC1, SIRT1, ZFX, ETV5, SFPQ, ELF1, ZEB1, ELF4, IRF1, TET3, RARA, ARHGEF2, ZNF112, ZNF473, NFAT5, PLAG1, SATB2, NR2C2, DLL1, RELA, STRN3, RELB, LRP6, SERTAD1, ZNF507, EPCAM, PLAGL1, ZNF746, E2F3, APBB1, E2F4, MSX1, BRD4, KDM4C, PCGF5, FOXJ3, ARID3B, MEIS3, ASXL1, REST, NR6A1, ZGLP1, ZNF219, FOSB, TAF7, LPIN1, PAXBP1, ZNF335, LPIN2, ZNF212",1087,1232,19462,2.136311366,2.93E-15,2.93E-15,positive regulation of transcription from RNA polymerase II promoter,2.91E-15
GOTERM_BP_DIRECT,GO:0006357~regulation of transcription from RNA polymerase II promoter,175,14.01120897,7.07E-15,"ATF1, ATF2, CCNT2, ZNF292, ZSCAN9, JADE1, SCX, JMJD1C, ARID4B, ETS1, ELK1, IKZF4, ZXDB, ADNP2, SNIP1, EPC1, ZNF844, SOX8, HOXA1, CCNL2, ZNF567, ZNF721, CCNL1, PKNOX1, JUNB, DDX17, ZNF441, ZNF165, ZGPAT, ZFP3, DYRK1A, ZBTB34, HCFC2, THAP1, HIC2, ZNF91, ZNF92, DMTF1, ZSCAN20, DDIT3, ERF, ZNF316, ZNF558, ZNF678, CGGBP1, ZNF432, ATF3, ATF4, ZNF155, ZNF671, ZNF550, ZNF274, DDX5, DLX2, GATA6, RLF, GLIS2, NHLH1, ZKSCAN8, MBIP, SAFB2, ZNF426, ZNF821, CAMTA2, E4F1, HIVEP3, ZNF267, ZNF266, ZNF783, ZNF143, EGR1, ZNF264, ZNF142, ZNF263, BRPF1, ZBTB10, PBX2, NFATC1, INHBA, NFKB1, NFKB2, SMAD7, FOSL1, NR4A1, SP2, MAFG, MAFF, REL, CREBRF, SNAI1, MAFK, MDM4, ZNF776, ZNF655, ZNF654, OGT, ZNF256, ZNF254, CREBZF, CSRNP1, GMEB2, ZNF44, CTDSPL2, CHD2, CHD1, MED15, PHF8, MED17, MED13, SIX4, ZNF528, ZNF764, ZNF641, BRD2, ZNF121, BRD1, TGIF2, TFE3, VEZF1, FOS, SIRT7, SAFB, ZFX, LIME1, ETV5, ZNF75A, ELF1, ZEB1, ELF4, IRF1, LCOR, ZNF236, ZNF112, CREB5, ZNF473, NFAT5, ZBTB46, SATB2, ZNF518B, ZBTB48, ZBTB43, NR2C2, RELA, BICRA, RELB, ZBTB40, NFIL3, PLAGL1, ZNF746, E2F3, E2F4, MSX1, ZNF621, E2F6, ZNF189, HES4, ZNF222, KDM4C, ZNF460, MYEF2, PCGF5, FOXJ3, IRX4, ARID3B, MEIS3, EPOP, SCAF1, NR6A1, ZGLP1, FOSB, TAF7, ZNF611, LPIN1, TAF4, ZNF212",1087,1736,19462,1.804871354,2.95E-11,1.47E-11,,1.46E-11
GOTERM_BP_DIRECT,"GO:0006355~regulation of transcription, DNA-templated",120,9.607686149,1.13E-14,"PRDM8, ATF2, WWC2, JADE1, JMJD1C, ARID4B, GPBP1, ZNF844, ZNF567, ZNF721, PKNOX1, ZNF441, SAP30BP, SFMBT1, ZNF281, HCFC2, THAP1, ZNF91, ZNF92, DMTF1, SAP25, EWSR1, DDIT3, ZNF316, ZNF678, LRIF1, MZF1, ZNF432, ZNF431, ATF4, ZNF155, KMT2D, ZNF550, ZNF274, KMT2C, KMT2B, AKAP17A, NLK, GLIS2, SBNO2, ATXN1, POM121C, ZKSCAN8, MIER1, MBIP, SAFB2, ZNF426, ZNF267, ZNF266, ZNF783, ZNF143, ZNF264, ZNF263, BRPF1, EAF1, NFKB2, SMAD7, FUBP1, CNOT3, SNAI1, ZNF776, ZNF655, ZNF654, ZNF532, PHF19, ZNF254, SETD5, KDM5C, SETD2, KDM5D, PHF1, HP1BP3, FHL3, ZNF44, CHD3, ING1, LBH, ZNF528, ZNF764, ZNF641, BRD2, BRD1, TGIF2, ASH1L, SAFB, ZFX, ZNF75A, SFPQ, ZEB1, ZNF112, ZNF473, PLAG1, SRRT, NR2C2, RELA, SERTAD3, TAF1D, NFIL3, NSD2, ZNF746, GPBP1L1, APBB1, ZNF621, SRSF10, ZNF189, BRD4, HES4, ZNF222, CDK11A, ZNF460, IRX4, MEIS3, YY1AP1, ASXL1, REST, RYBP, ZGLP1, ZNF219, ZNF611, ZNF212",1087,1024,19462,2.098162948,4.70E-11,1.50E-11,"regulation of transcription, DNA-templated",1.49E-11
GOTERM_BP_DIRECT,GO:0000122~negative regulation of transcription from RNA polymerase II promoter,119,9.527622098,1.44E-14,"ATF2, WWC2, UBE2D3, HNRNPU, ARID4B, ZFP36, EPC1, SOX8, ZGPAT, ZNF281, ZBTB34, HCFC2, THAP1, HIC2, ZNF91, DDIT3, ERF, ZNF558, MZF1, SQSTM1, CGGBP1, ATF3, ZNF431, ATF4, ZNF550, ZNF274, DDX5, DLX2, GATA6, AEBP1, PHF21A, GLIS2, HMBOX1, ATXN1, MIER3, MIER1, MBIP, E4F1, SKIL, RBM10, ZNF266, EGR1, ZNF263, CBX6, TGFB1, UBE2I, SMURF2, ZBTB10, TRPV1, NFKB1, SMAD7, SP2, MAFG, MAFF, CREBRF, SNAI1, MAFK, MDM4, OGT, PHF19, ZNF254, KDM5C, TCF25, OTUD7B, NRARP, CHD3, BMI1, ING1, N4BP2L2, FLCN, NIPBL, SIN3B, ZMYM5, ZNF764, ZNF641, TGIF2, DNMT3A, SIRT6, SIRT7, SIRT1, ETV5, ZNF75A, SFPQ, ZEB1, RARA, CRY1, LCOR, LIN37, ZBTB46, SATB2, NR2C2, HDAC9, RELA, STRN3, DNAJB1, NFIL3, DNAJB4, TDG, PLAGL1, NSD2, ZNF746, APBB1, MSX1, CRYM, FNIP1, E2F6, JAZF1, PCGF2, PER2, REST, NR6A1, RYBP, PER3, ZGLP1, ZNF219, RLIM, FOSB, TAF7, HSPA1A",1087,1015,19462,2.099127621,6.00E-11,1.50E-11,chromatin organization,1.49E-11
GOTERM_BP_DIRECT,GO:0006325~chromatin organization,49,3.923138511,5.21E-10,"USP36, SETD5, SETD2, KDM5C, KDM5D, PHF1, JMJD1C, HNRNPU, CHD3, CHD2, ING1, PHF8, UIMC1, TLK2, KMT5B, BRD2, BRD1, SFMBT1, ASH1L, SIRT7, SAFB, SIRT1, JMJD6, DNAJC2, TET3, WAC, KMT2D, KMT2A, KMT2C, ZNF518B, KMT2B, HDAC9, RELA, PHF21A, NSD2, EP400, APBB1, BRD4, BANP, CBX6, KDM4C, BRPF1, UBE2B, ASXL1, KANSL1, PWWP3A, PHF13, OGT, PHF19",1087,323,19462,2.716135813,2.16E-06,4.33E-07,,4.30E-07
GOTERM_BP_DIRECT,"GO:0045893~positive regulation of transcription, DNA-templated",81,6.485188151,5.25E-09,"JADE1, SCX, CHD3, ING1, ETS1, ELK1, PHF8, MED17, IKBKB, LBH, MED13, SIX4, MDK, GPBP1, EPC1, SOX8, NFRKB, PCID2, ANKRD49, CHUK, ZNF281, TFE3, DYRK1A, AXIN1, MSL2, FOS, HCFC2, JMJD6, DNAJC2, ELF1, ELF4, IRF1, DDIT3, RARA, WAC, ATF4, CREB5, INO80D, TRIM52, KMT2A, KMT2B, ZBTB48, GATA6, BCL10, RLF, RELA, BICRA, GLIS2, LRP6, WNT6, HMBOX1, SERTAD3, NFIL3, TP53INP2, EP400, DVL3, HIVEP3, GPBP1L1, APBB1, TRIM44, BRD4, EGR1, TGFB1, BRPF1, EAF1, SS18L2, NFATC1, INHBA, INO80, NFKB1, PER2, REST, RYBP, KANSL1, BCL3, REL, SNAI1, TAF7, NAA16, TAF4, OGT",1087,730,19462,1.986644151,2.18E-05,3.63E-06,,3.61E-06
GOTERM_BP_DIRECT,GO:0006986~response to unfolded protein,17,1.361088871,6.87E-08,"HSPA8, HSP90AB1, HSPA1L, FICD, HSPA6, UBE2J2, HSPD1, DNAJA1, DNAJB1, HSPH1, DNAJB5, DNAJB4, DDIT3, CREBRF, SERPINH1, CHAC1, HSPA1A",1087,58,19462,5.247819053,2.85E-04,4.08E-05,,4.05E-05
GOTERM_BP_DIRECT,GO:0006338~chromatin remodeling,45,3.602882306,1.26E-07,"PRDM8, SETD5, ZNF274, KDM5C, KDM5D, INO80D, KMT2C, SATB2, KMT2B, JADE1, JMJD1C, CHD3, BMI1, CHD1, MYSM1, PHF8, BICRA, NIPBL, BTAF1, NFKBIZ, MIER1, NSD2, EP400, KMT5B, NFRKB, BRD4, KDM6B, BRD2, BRD1, KDM4C, BRPF1, PCGF2, DYRK1A, SIRT6, INO80, ASH1L, HCFC2, JMJD6, PER2, SFPQ, REST, RYBP, WAC, PABPC1L, RAD54L2",1087,336,19462,2.397900513,5.23E-04,6.54E-05,,6.50E-05
GOTERM_BP_DIRECT,GO:0007249~I-kappaB kinase/NF-kappaB signaling,16,1.28102482,1.74E-06,"CHUK, BCL10, ASH1L, RELA, NFKB1, RELB, NFKB2, NFKBIA, IKBKB, BCL3, REL, SNIP1, FYN, TBKBP1, IKBKG, MAP3K14",1087,64,19462,4.476080957,0.007187934,8.02E-04,I-kappaB kinase/NF-kappaB signaling,7.96E-04
GOTERM_BP_DIRECT,GO:0006397~mRNA processing,33,2.642113691,3.63E-06,"RBM27, RBM25, RBM48, DDX47, CELF1, SRRT, GPATCH1, AKAP17A, TENT4A, PNN, RBM4, ARVCF, PABPN1, PPP4R2, SMNDC1, RBM5, RBM38, HSPA8, RBM39, PRPF38B, SCAF1, PTBP2, SCAF4, JMJD6, THOC6, SFPQ, PRPF3, ACIN1, SRSF5, CLASRP, ZNF830, RBM24, SUGP2",1087,238,19462,2.482532295,0.014952722,0.001506561,mRNA processing,0.001495681
GOTERM_BP_DIRECT,GO:0032922~circadian regulation of gene expression,16,1.28102482,6.90E-06,"NGFR, EGR1, KMT2A, HNRNPU, CSNK1D, SIRT6, CSNK1E, SIRT1, CIART, RELB, PER2, RBM4, PER3, CRY1, OGT, ATF4",1087,71,19462,4.0347772,0.028250376,0.002605182,,0.002586367
GOTERM_BP_DIRECT,GO:0016567~protein ubiquitination,53,4.243394716,1.05E-05,"UBE2D3, SH3RF1, MED17, RNF114, MED10, TRIM3, WSB1, MSL2, FBXO11, SIRT1, RNF169, TRIM17, KCTD13, CBLL1, RNF166, TRIM52, UHRF2, KLHL15, MGRN1, KLHL10, NEDD4L, UBR2, DTX3, RCHY1, CBL, SOCS2, SOCS3, VCPIP1, SOCS1, UBB, HECTD4, UBC, E4F1, FEM1C, FYN, SOCS4, TRIM44, UBE2B, SMURF2, SIAH1, KLHL21, MIB1, RNF223, ZC3HC1, CNOT4, RNF103, NEURL2, TRIML2, UVSSA, KBTBD2, RLIM, MDM4, ASB1",1087,498,19462,1.905480247,0.042827368,0.00343602,,0.003411206
GOTERM_BP_DIRECT,GO:0034097~response to cytokine,13,1.040832666,1.16E-05,"OXTR, LIFR, FOS, RELA, NFKB1, RELB, NFKB2, FOSL1, REL, RARA, IL6ST, SKIL, IL6R",1087,49,19462,4.75012673,0.046965871,0.00343602,,0.003411206
GOTERM_BP_DIRECT,GO:0051085~chaperone mediated protein folding requiring cofactor,11,0.880704564,1.08E-05,"GAK, HSPA8, DNAJB1, HSPH1, HSPA1L, DNAJB5, DNAJB4, HSPA6, HSPA13, HSPA1B, HSPA1A",1087,34,19462,5.792575356,0.04372743,0.00343602,,0.003411206
