Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_MF_DIRECT,GO:0005515~protein binding,898,71.89751801,3.70E-25,"ATF1, ATF2, CHIC2, TESK1, SCX, ZFYVE27, PPP4R2, TMEM88, ZC3H12A, FGFR1OP2, GPBP1, AKT3, PKNOX1, FNBP4, SAP30BP, GABARAPL1, ZNF281, NGDN, CSNK2A2, RC3H1, CLDN6, EID3, SCGB1C2, DDX39B, EWSR1, DDIT3, UNC50, TBPL1, CGGBP1, ATF3, NGEF, ATF4, ZNF274, ABCB1, MRPL18, GATA6, ABCB8, SLC5A3, OAZ1, OAZ2, DEDD2, HPX, RHOT2, HSPH1, RNF216, PIP5K1A, RHBDL1, ZNF266, PROSER3, NGFR, ZNF264, ZNF263, NCAPH2, PBX2, L1CAM, LARP6, SETX, EIF5, AGO3, AGO2, FERMT2, ZNF256, ACHE, MED15, MYPN, MED17, IKBKB, MMP25, NIPBL, MED10, NEFM, IKBKG, DLGAP4, OFD1, DUSP5, DUSP2, DUSP1, SPHK1, RRAS2, SIRT6, SLC39A13, FOS, SIRT7, WNT9A, EMP3, GMIP, JOSD1, SIRT1, GPRC5A, CDC42EP3, VAMP1, RAPGEF2, ZNF236, TMEM106A, ZNF473, LIN37, PKN3, SRRT, ODC1, SLC7A1, CENPC, GGA2, PLAGL1, STX4, FLNC, STX3, STX2, SRSF10, CENPT, MBD6, ZNF460, EGLN2, SAMD4A, SAMD4B, GPR50, CCDC9, ZNF219, PWWP3A, ZNF212, CRB3, MTCH1, CRCP, CCNT2, UBE2D3, PLOD3, MSI1, SAT2, SAT1, FADS3, STK10, EFEMP2, SESN2, ZNF207, PIM3, KPNA4, KMT5B, ZNF441, LAG3, ZBTB34, NEAT1, FBXO11, ATXN2L, SLC9A5, SLC9A8, SRSF3, SRSF5, RAD54L2, SRSF6, IL6ST, SQSTM1, ZNF432, KMT2D, DLX2, PFKFB3, KMT2A, KCNE5, KMT2C, KMT2B, LIN7C, GLIS2, SOCS2, TMEM25, RAP1B, SOCS3, ATXN2, ATXN1, SOCS1, NDOR1, HNRNPDL, ZKSCAN8, MBIP, ZNF426, KHDC4, E4F1, SOCS4, BRPF1, ZBTB10, TNFRSF10B, CORO2B, NFKB1, TNFRSF10D, NFKB2, ZC3HC1, C1ORF216, RGCC, SP2, AAK1, MDM4, CNTROB, ZNF655, LRCH4, OGT, PPP1R13B, HSP90AB1, ITGAM, CELF1, FHL3, PIK3CD, NRARP, RESF1, MDK, SLC36A1, MSL2, VPS37D, VEZF1, GIGYF1, SYF2, LCOR, ITGA7, SMCR8, ITGA5, SPACA6, BDP1, PPP1R15A, PPP1R15B, UHRF2, MGRN1, ZBTB48, ZBTB43, LENG8, PPM1J, RCHY1, ZBTB40, LRP6, PARD6B, BAHD1, TP53INP2, PHKG2, FYN, FEM1C, E2F3, IGF2BP2, E2F4, BEND7, E2F6, TRIM44, SLC12A4, MBOAT7, STYK1, FOXJ3, HIP1R, TRIM36, BCAR1, EIF4A2, CPNE7, THUMPD2, JMJD1C, ICAM5, IKZF4, CRKL, SPATA25, CDC26, CHORDC1, EPC1, PIEZO1, CCNL2, CCNL1, CCDC93, ARL14, SFMBT1, ZFP3, CSNK1D, MYO7A, CSNK1E, THAP1, MFSD10, TRIM17, KCTD13, ULK1, FAM76B, TRIB1, STX1A, EPHA2, NUMBL, RRAD, LPAR2, UBE2J2, DHX34, MICAL1, MIER1, DHX38, SNX9, HIVEP3, SCN3B, N4BP3, KCNN4, RBM12, SNX8, RBM10, ATP6V1C1, NTNG1, EGR1, XRCC4, INTS2, EAF1, OSGIN1, MC1R, CTRL, PTK7, ZUP1, INTS6, INTS11, CSRNP1, PPP1R10, OTUD7B, SLC7A11, BMI1, PTPRH, N4BP2L2, SH3RF1, MAP1LC3B, UIMC1, KIF1A, IL11, TNFRSF12A, CACYBP, SYP, CCDC117, GAK, CNKSR1, FAM193B, ARHGEF2, ARHGEF5, STK40, DDR2, SPINDOC, SATB2, SLC43A1, CRYBA2, STX11, RELA, RELB, ARVCF, SERTAD3, NFIL3, SERTAD1, MSX1, PCNT, RELT, CD55, IL32, NPDC1, MAP3K3, GABBR1, PLEKHA6, MYO9B, RSRC2, PLEKHA4, HYPK, MIB1, PER2, RIT1, PER3, KIF26A, CCNYL1, PRDM8, CRTC2, JADE1, INPPL1, ETS1, CELSR3, TEPSIN, GRIP1, KIF5A, PPFIA1, SNIP1, DENND5A, IL6R, PCID2, ZGPAT, COX6B2, GEM, ZNF92, SCNN1D, POLG2, GPD1, PPIF, MZF1, NDRG4, DDX5, KLHL15, SLC41A2, NPR2, KLHL10, SLC41A1, TOR1AIP2, PLD6, CAMTA2, VARS2, WNT3, GGT7, UBE2I, UBE2B, KLHL21, TIMM44, INHBA, CLK4, CLK3, TJAP1, CLK1, AFDN, UVSSA, FGF19, RSRP1, NABP1, PYROXD2, MELTF, GCLM, PHF19, RBM25, DDX47, HP1BP3, CHD3, CHD2, MYSM1, AFF4, TENT4B, CHD1, GPER1, RB1CC1, GET4, ARHGEF10, RBM15, TTC32, PLA2G4C, CIP2A, ETV5, GCNA, SFPQ, ELF1, ELF4, IRF1, CRY1, RBM24, CFAP53, SHANK3, NUP58, CREB5, SHANK1, RBM48, SLC3A2, ASAP1, CBL, ADD1, AGPAT4, IL1RL1, CYTH2, PDLIM3, TAF1D, MAT2A, PABPN1, TDG, PTK2B, CRYM, SMNDC1, PDLIM4, RBM38, RBM39, LAMB3, TAF13, LAMB2, YY1AP1, CLCN7, IRGQ, UFM1, REST, ACIN1, TAF7, NAA16, VIM, TAF4, ASB1, OTUD3, ANKLE2, TRIO, SERPINE2, TMEM200A, HNRNPU, SLC4A3, GABPB1, FNBP1L, ENO2, ELK1, CAPN15, GLS, EPS8, RNF112, RNF114, ZXDB, ADNP2, CEP95, HOXA1, NFRKB, JUNB, IER2, IER3, DDX17, TSPYL2, ZNF165, WSB1, MAP1S, PRKCD, WDR74, HCFC2, GTPBP2, UNC13D, NISCH, TEP1, MAP1B, TSPYL4, ZNF155, FICD, TERC, NAIF1, NEDD4L, AKAP17A, BCL10, GJC1, POM121C, CEP70, S100A13, CHST15, SERPINH1, FAM120AOS, ZNF143, HOMER1, DMPK, TMEM190, BRAF, NFATC1, INO80, PHC3, FOSL1, CYLD, RNF103, SNAI1, ATG2A, REL, FNDC11, OGFR, SETD2, SMG1, GMEB2, ELL, YJEFN3, TCF25, PHF1, ING1, ASGR1, PHF8, PIP4P1, UBL3, CSRP2, ADAMTSL5, TRIM3, PEA15, GPRASP1, GPRASP2, ZNF121, BRD2, BRD1, WDR37, AEN, CDYL2, RNF169, ZEB1, TET3, RARA, PLEKHO1, RNF166, PHLPP2, GRAMD1A, CLDND1, AP5Z1, SGMS2, HSPA13, ADCY6, EPCAM, NSD2, BRD4, AOC3, CCL24, YTHDF2, AOC2, CKM, HSPA1L, YTHDF3, CCL20, PCGF5, WHRN, PCGF2, G0S2, GPR3, GTF2H4, SCAF1, DHRS2, RYBP, CLCF1, FOSB, ZNF335, HSPA1B, HSPA1A, PHLDB1, ANKRD37, DGKD, TXNL4B, CSF1, CLSTN3, IRS2, CLU, HID1, EDC4, ZFP36, GRB10, SLC26A11, ZNF567, PHLDA2, RAB2B, ANKRD49, PPTC7, DYRK1A, LARP4B, C6ORF141, DGKZ, HIC2, DMWD, RAB34, ERF, ZNF558, TNIK, ZNF550, SEMA7A, CCDC24, LSMEM1, INSIG1, UBR2, GPATCH2L, RASAL2, RLF, PHF21A, STIP1, KLC4, HMBOX1, KLC2, BAG2, BAG3, SAFB2, ABL2, DVL3, SKIL, MPDZ, PLXNA3, ZNF783, CCDC17, AKIRIN1, ASNS, CYP4F11, MOB1B, CNOT4, BCL9, LRFN4, MAFG, CDK3, BCL3, CNOT3, MAFF, NF1, SERINC1, MAFK, ZNF776, MAP3K14, ZC3H4, PTPN21, SYNE3, LBH, SIN3B, SNRNP70, TLK2, C3ORF52, WDR6, AMH, ZNF764, CHUK, DNMT3A, PATL1, ZNF75A, DNAJC2, TRAF4, ESPL1, TRAF3, NUMB, NLGN3, NFAT5, NUFIP2, HDAC9, DNAJB1, DNAJB5, HECTD4, DNAJB4, ZNF746, FNIP1, CTNNAL1, ALOXE3, JAZF1, CDRT4, RNF24, NCKAP5L, IRX4, CDC42BPA, FBXL14, CEACAM19, PNRC2, ASXL1, DNAJA1, VAPA, DNAJA4, RAB15, CTH, NPIPB3, PPIL4, GORAB, PITPNB, GOLGA3, PNN, ARFIP2, ZNF844, CHAC1, RECQL, YOD1, HLA-F, MAPK8IP3, CPT1B, JMJD6, UHMK1, ARC, NEIL2, RRAGC, ZNF830, CBLL1, NECAB2, DCUN1D4, STXBP2, LHB, DCUN1D2, NLK, SLC6A20, KLK6, INPP5A, NHLH1, TP53BP2, ZNF821, BANP, GADD45B, SIAH1, SS18L2, RAB39A, LIF, PARP14, PUM1, GADD45G, PUM2, GKAP1, FUBP1, CREBRF, DCP1A, GDI1, ZFAND2A, XPO1, XPO6, ZMYM5, UBXN7, CLIC2, RAB8B, TFE3, SLC35G2, ZDHHC11, IGFN1, LIME1, HNRNPH1, WAC, BEGAIN, ANKMY2, KIAA0753, GPBP1L1, APBB1, C17ORF67, MPP3, PRPF39, TRIML2, AXL, APBA3, KBTBD8, RIPOR1, ZSCAN9, ARID4B, CWC25, PVR, CWC22, POGZ, CA13, CHRNB1, GAS2L3, SZT2, MIGA2, NANOS3, LIFR, ARHGAP45, KCTD7, HGS, PRPF3, LRIF1, ZCCHC8, ISYNA1, PXN, DTX3, AGER, ARHGAP21, UBB, UBC, EP400, PMAIP1, HSPA8, CBX6, TGFB1, SMURF2, HSPA6, HELZ, TRPV1, SMAD7, NFKBIA, ARHGAP33, NR4A1, FER, CLASRP, NFKBIE, ULBP1, NFKBID, ZCCHC3, FGFR1, DOCK6, CREBZF, GPSM1, ABCD4, CXCL6, USP36, C2ORF42, KDM5C, KDM5D, CXCL8, USP34, CGAS, CXCL1, CTDSPL2, CXCL2, CASP9, SENP6, FLCN, RBM4, SPRED1, NFKBIZ, RBM7, RBM5, KDM6B, RHBDF1, AXIN1, TRNAU1AP, SAFB, LATS2, DDAH2, PEAK1, COL6A2, USP12, LCAT, NR2C2, DLL1, CIART, HSPD1, STRN3, BICRA, GNA13, TBRG1, NXF1, MAPK8, RASD1, NRIP3, HES4, CMTM3, B3GAT1, ZFC3H1, NAP1L2, ARID3B, KANSL1, CAPN10, PPP2R2D, ERVH48-1, TBKBP1, LPIN1, HCN2",1120,12657,18976,1.202076773,4.15E-22,4.15E-22,4.05E-22
GOTERM_MF_DIRECT,GO:0003677~DNA binding,134,10.72858287,1.77E-09,"PRDM8, ATF2, ZNF292, SCX, HNRNPU, ARID4B, CRAMP1, ETS1, PNN, ZFP36, ZC3H12A, GPBP1, POGZ, ZNF207, ADNP2, SOX8, HOXA1, PKNOX1, JUNB, NFRKB, IER2, MAP1S, HIC2, DDIT3, TBPL1, RAD54L2, ATF4, ZNF155, KMT2D, ZNF274, KMT2A, KMT2C, KMT2B, GATA6, RLF, PHF21A, DEDD2, ATXN1, HNRNPDL, ZKSCAN8, EP400, CAMTA2, ZNF783, BANP, EGR1, ZNF263, BRPF1, XRCC4, PBX2, NFATC1, INO80, PHC3, NFKB1, SMAD7, SETX, NR4A1, MAFG, MAFF, NABP1, TAF4B, MAFK, ZNF654, ZNF532, PHF19, CREBZF, DDX3Y, KDM5C, KDM5D, PPP1R10, TCF25, PHF1, HP1BP3, CGAS, OTUD7B, CHD3, CHD2, TENT4B, CHD1, MYSM1, SIX4, UIMC1, SNAPC4, RBM5, TGIF2, SPHK1, TFE3, DNMT3A, ASH1L, ZFX, ETV5, ZNF75A, SFPQ, ZEB1, IRF1, CRY1, LCOR, CREB5, UHRF2, PLAG1, SATB2, SRRT, RELA, CENPC, ZBTB40, TAF1D, BTAF1, NFIL3, ZNF507, TDG, PLAGL1, NSD2, BEND4, GPBP1L1, E2F4, MSX1, BEND7, HES4, ZNF222, CENPT, MBD6, MYEF2, TAF13, PCGF2, IRX4, ARID3B, MEIS3, SCAF1, ASXL1, NR6A1, RYBP, ZNF219, FOSB, PAXBP1, TAF4",1120,1347,18976,1.685480963,1.98E-06,6.87E-07,6.70E-07
GOTERM_MF_DIRECT,GO:0003682~chromatin binding,66,5.284227382,1.84E-09,"PRDM8, CRTC2, CCNT2, PHF1, HP1BP3, CGAS, HNRNPU, CRAMP1, CHD3, CHD2, CHD1, ELK1, PHF8, NIPBL, SIN3B, GPER1, ZC3H12A, KMT5B, PKNOX1, TSPYL2, BRD2, SFMBT1, DNMT3A, SIRT6, FOS, ASH1L, SIRT7, SAFB, DNAJC2, SFPQ, ZEB1, RARA, WAC, TSPYL4, ZNF431, NFAT5, ZNF274, DLX2, KMT2A, SATB2, GATA6, RELA, PHF21A, BAHD1, NSD2, EP400, CAMTA2, APBB1, SKIL, BRD4, ZNF143, CBX6, MBD6, PCGF2, NCAPH2, NAP1L2, PBX2, NOC3L, EPOP, MEIS3, PHC3, NFKB1, ASXL1, REST, PHF13, PHF19",1120,502,18976,2.227546955,2.06E-06,6.87E-07,6.70E-07
GOTERM_MF_DIRECT,GO:0046872~metal ion binding,230,18.41473179,6.89E-09,"ATF2, CPNE7, ZNF292, TESK1, JMJD1C, CAPN15, CYB5D1, RNF112, ZFYVE27, RNF114, ZXDB, ZC3H12A, CHORDC1, ZNF844, ADNP2, ZNF721, ZNF165, ZFP3, ZNF281, PRKCD, RC3H1, YOD1, UNC13D, ZSCAN20, TRIM17, EWSR1, PNLDC1, CBLL1, ZNF155, ZNF274, HPX, RNF216, MICAL1, ZNF821, HIVEP3, RIMKLB, RBM10, ZNF267, ZNF266, ZNF143, ZNF264, EGR1, ZNF142, ZNF263, DMPK, SIAH1, RNF223, RNF103, AGO3, ZUP1, AGO2, SNAI1, ZNF256, ZNF254, SMG1, SETD2, GMEB2, PPP1R10, PHF1, ZNF44, BMI1, ING1, SH3RF1, ASGR1, PHF8, CSRP2, UIMC1, TRIM3, IKBKG, ZNF121, BRD1, ASH1L, SIRT7, GMIP, SIRT1, ZFX, RNF169, ZNF236, RNF166, ZNF112, PHLPP2, ZNF473, ZNF518B, ADCY7, ADCY6, FGD1, PRICKLE4, ANKMY2, PLAGL1, KIAA0753, NSD2, P4HTM, ZNF222, MAP3K3, ZNF460, PCGF5, PCGF2, MYO9B, MIB1, RYBP, TTLL3, ZNF219, RLIM, ZNF335, YPEL4, ZNF212, PRDM8, DGKD, ZSCAN9, JADE1, PLOD3, SLC8A2, ZFP36, POGZ, ZNF207, NUDT17, KMT5B, ZNF567, ZNF441, ZGPAT, PPTC7, ZBTB34, DGKZ, ARHGAP45, HIC2, ZNF92, HGS, MFNG, ZNF558, ZNF316, ZNF678, MZF1, ZNF432, DGKH, ZNF431, ZNF671, ZNF550, KMT2D, KMT2C, PXN, DTX3, PLD6, RLF, PHF21A, GLIS2, ZKSCAN8, ZNF426, E4F1, ZNF783, BRPF1, ZBTB10, HELZ, TRPV1, SMAD7, ISG20, CNOT4, MOB1B, SP2, PHF13, MDM4, ZNF776, ZNF655, ZNF654, ZNF532, PHF19, RBM27, ZMYND15, DIDO1, KDM5C, KDM5D, ITGAM, ZC3H4, FHL3, CGAS, CHD3, TENT4A, MYSM1, TENT4B, ZNF528, MAN2C1, ZNF764, ZNF641, RBM5, KDM6B, DNMT3A, MSL2, VEZF1, ZNF75A, LATS2, TRAF4, TRAF3, RASA2, ITGA7, ITGA5, B4GALT5, CREB5, UHRF2, PLAG1, MGRN1, ZBTB46, ZBTB48, USP12, ZBTB43, ASAP1, HDAC9, ZBTB40, GNA13, PDLIM3, MAT2A, ZNF507, NT5DC3, ZNF746, FYN, ZNF621, PDLIM4, ALOXE3, ZNF189, JAZF1, KDM4C, B3GAT1, ZFC3H1, EXOG, ASXL1, DNAJA1, REST, DNAJA4, TRIM36, TBKBP1, ATP13A3, ZNF611",1120,2728,18976,1.428466695,7.73E-06,1.93E-06,1.88E-06
GOTERM_MF_DIRECT,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,122,9.767814251,8.94E-09,"ATF1, ATF2, ZSCAN9, HNRNPU, ETS1, ELK1, IKZF4, SOX8, HOXA1, ZNF567, ZNF721, PKNOX1, JUNB, ZNF165, ZGPAT, ZNF281, ZBTB34, THAP1, HIC2, ZNF91, ZNF92, DMTF1, ZSCAN20, DDIT3, ZNF678, MZF1, ZNF432, ATF3, ZNF431, ATF4, ZNF155, ZNF671, ZNF274, DLX2, GATA6, GLIS2, NHLH1, ZKSCAN8, ZNF426, ZNF821, E4F1, HIVEP3, SKIL, ZNF267, ZNF783, ZNF143, EGR1, ZNF264, ZNF263, PBX2, NFATC1, NFKB1, NFKB2, FOSL1, NR4A1, SP2, MAFG, MAFF, REL, SNAI1, MAFK, ZNF776, ZNF655, ZNF256, ZNF254, GMEB2, CHD2, BMI1, SIX4, ZNF528, NFKBIZ, SNAPC4, ZNF641, KDM6B, ZNF121, TGIF2, TFE3, DNMT3A, FOS, SAFB, SIRT1, ZFX, ELF1, ZEB1, ELF4, IRF1, RARA, ZNF236, ZNF112, CREB5, ZNF473, NFAT5, PLAG1, SATB2, ZBTB48, ZBTB43, NR2C2, RELA, CIART, RELB, ZBTB40, NFIL3, PLAGL1, ZNF746, E2F3, E2F4, ZNF621, E2F6, ZNF189, HES4, ZNF222, ZNF460, FOXJ3, IRX4, MEIS3, REST, NR6A1, ZNF219, FOSB, ZNF611, ZNF335, ZNF212",1120,1222,18976,1.691512743,1.00E-05,2.00E-06,1.95E-06
GOTERM_MF_DIRECT,GO:0000976~transcription regulatory region sequence-specific DNA binding,38,3.042433947,6.78E-08,"CREBZF, KMT2D, DLX2, ZBTB46, ZBTB48, GATA6, ARID4B, CHD3, GABPB1, ETS1, ELK1, RELA, CIART, GLIS2, BAHD1, ZNF746, MSX1, BRD4, EGR1, ZNF263, ZNF281, TFE3, FOS, ETV5, NFKB1, PER2, SFPQ, REST, PER3, DMTF1, IRF1, DDIT3, TAF7, MAFK, MZF1, ZNF335, ATF3, ATF4",1120,239,18976,2.693843395,7.60E-05,1.27E-05,1.23E-05
GOTERM_MF_DIRECT,"GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding",60,4.803843074,8.59E-08,"ATF1, CSRNP1, ATF2, GMEB2, ZNF292, SCX, ETS1, ELK1, SIX4, HOXA1, ZNF721, JUNB, TFE3, VEZF1, FOS, ZFX, ETV5, ELF1, ZNF91, DMTF1, ELF4, IRF1, DDIT3, MZF1, ATF3, ATF4, ZNF112, ZNF473, NFAT5, DLX2, PLAG1, SATB2, NR2C2, RLF, RELA, GLIS2, NHLH1, PLAGL1, E2F3, E4F1, MSX1, E2F4, ZNF267, ZNF143, EGR1, FOXJ3, PBX2, NFATC1, MEIS3, NFKB1, NFKB2, FOSL1, NR4A1, NR6A1, MAFG, MAFF, CREBRF, REL, FOSB, ZNF212",1120,483,18976,2.104702751,9.63E-05,1.38E-05,1.34E-05
GOTERM_MF_DIRECT,"GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding",119,9.527622098,8.38E-07,"ATF1, ATF2, ZNF292, ZSCAN9, SCX, ETS1, ELK1, ADNP2, ZNF844, SOX8, HOXA1, PKNOX1, JUNB, ZNF441, ZNF165, ZGPAT, ZFP3, ZNF281, ZBTB34, THAP1, ZNF92, DMTF1, ZSCAN20, DDIT3, ERF, ZNF316, ZNF558, ZNF678, MZF1, ZNF432, ATF3, ZNF431, ATF4, ZNF155, ZNF550, ZNF274, DLX2, GATA6, RLF, GLIS2, NHLH1, ZKSCAN8, ZNF426, HIVEP3, SKIL, ZNF266, ZNF143, EGR1, ZNF264, ZNF142, ZNF263, PBX2, NFATC1, NFKB1, NFKB2, FOSL1, NR4A1, SP2, MAFG, MAFF, REL, CREBRF, MAFK, ZNF776, ZNF655, ZNF654, ZNF256, ZNF254, CREBZF, CSRNP1, GMEB2, ZNF44, SIX4, ZNF528, ZNF764, ZNF641, ZNF121, TGIF2, TFE3, VEZF1, FOS, ETV5, ZNF75A, ELF1, ZEB1, ELF4, IRF1, RARA, ZNF236, CREB5, NFAT5, ZBTB46, PLAG1, SATB2, ZNF518B, ZBTB43, NR2C2, RELA, RELB, ZBTB40, NFIL3, E2F3, E2F4, MSX1, ZNF621, E2F6, ZNF189, HES4, ZNF222, ZNF460, FOXJ3, IRX4, MEIS3, REST, NR6A1, ZGLP1, ZNF219, FOSB, ZNF611",1120,1286,18976,1.567807154,9.39E-04,1.17E-04,1.15E-04
GOTERM_MF_DIRECT,"GO:0003700~transcription factor activity, sequence-specific DNA binding",68,5.444355484,1.02E-06,"ATF1, CREBZF, CSRNP1, ATF2, ETS1, ELK1, IKZF4, GPBP1, ZNF567, PKNOX1, JUNB, ZGPAT, TGIF2, ZNF281, TFE3, FOS, ETV5, THAP1, ELF1, ZNF91, ZEB1, ZNF92, DMTF1, IRF1, DDIT3, RARA, MZF1, ATF3, ATF4, CREB5, ZNF155, ZNF671, NFAT5, DLX2, PLAG1, ZBTB48, GATA6, NR2C2, RELA, RELB, NFIL3, ZNF746, ZNF821, E2F3, E4F1, E2F4, ZNF783, ZNF222, EGR1, ZNF263, FOXJ3, NFATC1, NFKB1, NFKB2, FOSL1, REST, NR6A1, MAFG, ZNF219, MAFF, CREBRF, REL, SNAI1, FOSB, MAFK, ZNF654, ZNF532, ZNF212",1120,618,18976,1.864262598,0.001140273,1.27E-04,1.24E-04
GOTERM_MF_DIRECT,GO:0003723~RNA binding,132,10.56845476,1.51E-06,"EIF4A2, THUMPD2, GPATCH1, HNRNPU, MSI1, CRKL, PNN, ZFP36, ZC3H12A, GPBP1, CWC22, ZNF207, SNIP1, DDX17, PCID2, NANOS3, NGDN, RC3H1, FNDC3A, LARP4B, CSNK1E, THOC6, JMJD6, UHMK1, ATXN2L, DDX39B, EWSR1, TEP1, PNLDC1, PRPF3, UNC50, SRSF3, SRSF5, SRSF6, ZCCHC8, DDX5, KMT2C, AKAP17A, STIP1, ATXN2, ATXN1, HNRNPDL, DHX34, UBC, SERPINH1, SAFB2, DHX38, KHDC4, RBM12, RBM10, HSPA8, PRPF38B, UBE2I, HELZ, PUM1, LARP6, CLK3, PUM2, SETX, CNOT4, EIF5, AGO3, FUBP1, AGO2, NABP1, ZCCHC3, SUGP2, RBM27, DDX3Y, USP36, DIDO1, SMG1, RBM25, HSP90AB1, DDX47, PPP1R10, CELF1, ZC3H4, CHD3, CHD2, TENT4B, RBM4, XPO1, SNRNP70, WDR6, RBM7, RBM5, RBM33, RBM15, TRNAU1AP, PPRC1, SAFB, PTBP2, PATL1, DNAJC2, SFPQ, SYF2, HNRNPH1, RBM24, RBM48, NUFIP2, SRRT, SLC3A2, ADD1, HSPD1, EXOSC6, NXF1, PABPN1, RNASE7, GPBP1L1, IGF2BP2, SRSF10, SMNDC1, RBM38, RBM39, MYEF2, YTHDF2, YTHDF3, SAMD4A, SAMD4B, RSRC2, NOC3L, SCAF1, SCAF4, CCDC9, RLIM, ESF1, ACIN1, PABPC1L, PPIL4, HSPA1B, HSPA1A",1120,1483,18976,1.508062807,0.001695856,1.70E-04,1.65E-04
