Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:1905037~autophagosome organization	3	3.3707865168539324	2.0052116900700552E-4	ULK3, GBA1, PIK3C2B	73	6	19462	133.3013698630137	0.1295757678627002	0.13876064895284781	0.13876064895284781
GOTERM_BP_DIRECT	GO:0003215~cardiac right ventricle morphogenesis	3	3.3707865168539324	0.0010253636937005363	FOXH1, GATA4, GATA3	73	13	19462	61.52370916754478	0.5083143547747422	0.35477583802038554	0.35477583802038554
GOTERM_BP_DIRECT	GO:0003281~ventricular septum development	3	3.3707865168539324	0.006617223305546348	GATA4, GATA3, CCN1	73	33	19462	24.236612702366124	0.9898910713620788	1.0	1.0
GOTERM_BP_DIRECT	GO:0014065~phosphatidylinositol 3-kinase signaling	3	3.3707865168539324	0.008706212022737789	GATA3, PIK3C2A, PIK3C2B	73	38	19462	21.04758471521269	0.997644678618656	1.0	1.0
GOTERM_BP_DIRECT	GO:0006412~translation	5	5.617977528089887	0.009259522141769455	RPS26, RPS4X, DHPS, RPS3A, RPS4Y1	73	222	19462	6.004566210045661	0.99839950022187	1.0	1.0
GOTERM_BP_DIRECT	GO:0035054~embryonic heart tube anterior/posterior pattern specification	2	2.247191011235955	0.011058108482096304	FOXH1, GATA4	73	3	19462	177.7351598173516	0.9995448279498257	1.0	1.0
GOTERM_BP_DIRECT	GO:0048015~phosphatidylinositol-mediated signaling	3	3.3707865168539324	0.013104335021041946	PIK3C2A, PLCB2, PIK3C2B	73	47	19462	17.017196152725152	0.9998914327139418	1.0	1.0
GOTERM_BP_DIRECT	GO:0006487~protein N-linked glycosylation	3	3.3707865168539324	0.017663711050419924	FUT9, TUSC3, MGAT4A	73	55	19462	14.541967621419676	0.9999955939444107	1.0	1.0
GOTERM_BP_DIRECT	GO:0045893~positive regulation of transcription, DNA-templated	8	8.98876404494382	0.018153971637954125	FOXH1, MBD2, NCOA4, TRIM14, CAPN3, GATA4, GATA3, HINFP	73	730	19462	2.9216738600112593	0.9999968809359342	1.0	1.0
GOTERM_BP_DIRECT	GO:0072676~lymphocyte migration	2	2.247191011235955	0.018363099378727873	GBA1, GATA3	73	5	19462	106.64109589041095	0.9999973084287542	1.0	1.0
GOTERM_BP_DIRECT	GO:0010757~negative regulation of plasminogen activation	2	2.247191011235955	0.029220926021248997	PLAU, PLAT	73	8	19462	66.65068493150685	0.9999999987772967	1.0	1.0
GOTERM_BP_DIRECT	GO:0006012~galactose metabolic process	2	2.247191011235955	0.029220926021248997	GALT, GALK2	73	8	19462	66.65068493150685	0.9999999987772967	1.0	1.0
GOTERM_BP_DIRECT	GO:0043491~protein kinase B signaling	3	3.3707865168539324	0.03624655540962737	GATA3, PIK3C2A, PIK3C2B	73	81	19462	9.87417554540842	0.9999999999919752	1.0	1.0
GOTERM_BP_DIRECT	GO:0014909~smooth muscle cell migration	2	2.247191011235955	0.036393593765125444	PLAU, PLAT	73	10	19462	53.320547945205476	0.9999999999927793	1.0	1.0
GOTERM_BP_DIRECT	GO:0045944~positive regulation of transcription from RNA polymerase II promoter	10	11.235955056179774	0.03735210494265344	MLLT10, GALR1, PLAGL1, FOXH1, GATA4, GATA3, CCN1, PHOX2B, ZNF212, HINFP	73	1232	19462	2.1639832769969756	0.9999999999963736	1.0	1.0
GOTERM_BP_DIRECT	GO:0031639~plasminogen activation	2	2.247191011235955	0.03996030470849652	PLAU, PLAT	73	11	19462	48.47322540473225	0.9999999999994452	1.0	1.0
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	3	3.3707865168539324	0.04474904199181044	RPS26, RPS4X, RPS3A	73	91	19462	8.789101309649254	0.9999999999999826	1.0	1.0
GOTERM_BP_DIRECT	GO:0051918~negative regulation of fibrinolysis	2	2.247191011235955	0.047054715846763184	PLAU, PLAT	73	13	19462	41.01580611169652	0.9999999999999968	1.0	1.0
GOTERM_BP_DIRECT	GO:0007596~blood coagulation	3	3.3707865168539324	0.047430613518022476	PLAU, GATA4, PLAT	73	94	19462	8.508598076362576	0.9999999999999976	1.0	1.0
GOTERM_BP_DIRECT	GO:0060413~atrial septum morphogenesis	2	2.247191011235955	0.05409742419288788	GATA4, CCN1	73	15	19462	35.54703196347032	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:1903830~magnesium ion transmembrane transport	2	2.247191011235955	0.05409742419288788	TUSC3, CLDN16	73	15	19462	35.54703196347032	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0048485~sympathetic nervous system development	2	2.247191011235955	0.05759950603171077	GATA3, PHOX2B	73	16	19462	33.32534246575342	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0008584~male gonad development	3	3.3707865168539324	0.06467446677520469	NCOA4, GATA4, GATA3	73	112	19462	7.14114481409002	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0042730~fibrinolysis	2	2.247191011235955	0.06802921602521164	PLAU, PLAT	73	19	19462	28.063446286950253	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:2000114~regulation of establishment of cell polarity	2	2.247191011235955	0.07148042707427063	PLEKHG3, GATA3	73	20	19462	26.660273972602738	1.0	1.0	1.0
GOTERM_BP_DIRECT	GO:0006486~protein glycosylation	3	3.3707865168539324	0.07503018909593727	FUT9, TUSC3, MGAT4A	73	122	19462	6.5558050752301815	1.0	1.0	1.0
