Sample Name,Treatment,Cell_line
GSM6765206,mock,iPS cell-derived colon organoids
GSM6765207,mock,iPS cell-derived colon organoids
GSM6765208,mock,iPS cell-derived colon organoids
GSM6765209,MPXV clade IIa infected,iPS cell-derived colon organoids
GSM6765210,MPXV clade IIa infected,iPS cell-derived colon organoids
GSM6765211,MPXV clade IIa infected,iPS cell-derived colon organoids
GSM6765212,MPXV clade IIb infected,iPS cell-derived colon organoids
GSM6765213,MPXV clade IIb infected,iPS cell-derived colon organoids
GSM6765214,MPXV clade IIb infected,iPS cell-derived colon organoids
GSM6765215,MPXV clade I infected,iPS cell-derived colon organoids
GSM6765225,MPXV clade I infected,iPS cell-derived colon organoids
GSM6765240,MPXV clade I infected,iPS cell-derived colon organoids
GSM6765254,mock,Normal Human Epidermal Keratinocytes
GSM6765268,mock,Normal Human Epidermal Keratinocytes
GSM6765281,mock,Normal Human Epidermal Keratinocytes
GSM6765294,MPXV clade IIa infected,Normal Human Epidermal Keratinocytes
GSM6765307,MPXV clade IIa infected,Normal Human Epidermal Keratinocytes
GSM6765321,MPXV clade IIa infected,Normal Human Epidermal Keratinocytes
GSM6765335,MPXV clade IIb infected,Normal Human Epidermal Keratinocytes
GSM6765349,MPXV clade IIb infected,Normal Human Epidermal Keratinocytes
GSM6765363,MPXV clade IIb infected,Normal Human Epidermal Keratinocytes
GSM6765379,MPXV clade I infected,Normal Human Epidermal Keratinocytes
GSM6765393,MPXV clade I infected,Normal Human Epidermal Keratinocytes
GSM6765408,MPXV clade I infected,Normal Human Epidermal Keratinocytes
