Sample Name,Treatment,DATASTORE region
GSM6765408,MPXV clade I infected,"s3.us-east-1,ncbi.public,gs.US"
GSM6765393,MPXV clade I infected,"ncbi.public,gs.US,s3.us-east-1"
GSM6765379,MPXV clade I infected,"s3.us-east-1,gs.US,ncbi.public"
GSM6765363,MPXV clade IIb infected,"gs.US,ncbi.public,s3.us-east-1"
GSM6765349,MPXV clade IIb infected,"ncbi.public,s3.us-east-1,gs.US"
GSM6765335,MPXV clade IIb infected,"s3.us-east-1,gs.US,ncbi.public"
GSM6765321,MPXV clade IIa infected,"gs.US,ncbi.public,s3.us-east-1"
GSM6765307,MPXV clade IIa infected,"ncbi.public,gs.US,s3.us-east-1"
GSM6765294,MPXV clade IIa infected,"ncbi.public,gs.US,s3.us-east-1"
GSM6765281,mock,"ncbi.public,s3.us-east-1,gs.US"
GSM6765268,mock,"ncbi.public,s3.us-east-1,gs.US"
GSM6765254,mock,"ncbi.public,s3.us-east-1,gs.US"
GSM6765240,MPXV clade I infected,"ncbi.public,s3.us-east-1,gs.US"
GSM6765225,MPXV clade I infected,"gs.US,ncbi.public,s3.us-east-1"
GSM6765215,MPXV clade I infected,"gs.US,ncbi.public,s3.us-east-1"
GSM6765214,MPXV clade IIb infected,"ncbi.public,s3.us-east-1,gs.US"
GSM6765213,MPXV clade IIb infected,"s3.us-east-1,gs.US,ncbi.public"
GSM6765212,MPXV clade IIb infected,"gs.US,ncbi.public,s3.us-east-1"
GSM6765211,MPXV clade IIa infected,"ncbi.public,s3.us-east-1,gs.US"
GSM6765210,MPXV clade IIa infected,"gs.US,ncbi.public,s3.us-east-1"
GSM6765209,MPXV clade IIa infected,"s3.us-east-1,gs.US,ncbi.public"
GSM6765208,mock,"gs.US,s3.us-east-1,ncbi.public"
GSM6765207,mock,"s3.us-east-1,ncbi.public,gs.US"
GSM6765206,mock,"s3.us-east-1,ncbi.public,gs.US"
