baseMean,log2FoldChange,lfcSE,pvalue,padj,diffexpressed,delabel
33.99891937,0.068613856,0.41169485,0.462316345,0.674118983,NO,NA
135.329304,0.195668817,0.346279309,0.374909385,0.597142766,NO,NA
8.807051825,-0.017854436,0.322880202,0.921583812,0.960279906,NO,NA
4.82162832,0.008730476,0.338466308,0.972275578,0.987259428,NO,NA
0.262780725,0.00453835,0.41999617,0.94705265,NA,NO,NA
177.6247358,0.129530021,0.441873084,0.057130479,0.202334669,NO,NA
38.73257509,-0.138397295,0.303817376,0.522547171,0.71965795,NO,NA
47.35310401,0.610754159,0.284705174,0.00917897,0.072227778,NO,NA
5.721436236,-0.206331636,0.366478231,0.351671208,0.576270861,NO,NA
19.38943315,-0.040971048,0.359256857,0.802377499,0.900703063,NO,NA
17.98677076,-0.363310042,0.29510516,0.108539453,0.292194105,NO,NA
9.277170501,0.054843327,0.425220056,0.027832296,0.135210119,NO,NA
22.2827884,-0.157483679,0.439608533,0.122008413,0.310856424,NO,NA
29.27858776,0.039307284,0.423104085,0.012382477,0.085633012,NO,NA
39.93234498,-0.093995767,0.258887845,0.652029697,0.810086308,NO,NA
279.2610144,0.187220327,0.407633362,0.263397009,0.488056968,NO,NA
17.61727187,0.012892306,0.266764094,0.943842122,0.972822911,NO,NA
9.460453844,0.318371518,0.360737337,0.178143762,0.388229314,NO,NA
46.00931694,-0.217895076,0.360396289,0.280217014,0.505054866,NO,NA
33.91713499,-0.090901449,0.37539705,0.57951621,0.760893754,NO,NA
233.1625524,0.163649069,0.458030069,0.027771418,0.135167328,NO,NA
0.50891662,-0.125906056,0.439595211,0.211270767,NA,NO,NA
1.500985509,0.064313361,0.423172955,0.207312726,NA,NO,NA
0.219958501,0.005055166,0.420316081,0.950914685,NA,NO,NA
0.39760018,0.002117899,0.418827224,0.958730153,NA,NO,NA
9.281144815,-0.155397821,0.30796769,0.471093059,0.680542917,NO,NA
166.5774987,0.153681371,0.415915578,0.272523129,0.496492933,NO,NA
20.14264738,-0.077975141,0.302277031,0.712106847,0.846826827,NO,NA
6.884647238,0.049164626,0.424244906,0.040008508,0.166210696,NO,NA
89.4464305,-0.035244201,0.225038357,0.863035246,0.933994708,NO,NA
4.889139122,0.062763322,0.418200306,0.348726666,0.573769,NO,NA
4.930388778,0.184951613,0.42121694,0.249367891,0.473744286,NO,NA
13.5026188,0.015675172,0.371055594,0.926501585,0.963094792,NO,NA
13.13839086,-0.270996188,0.403018313,0.196305236,0.411974423,NO,NA
31.63238812,0.599699861,0.258241985,0.006112011,0.057880438,NO,NA
5.789211456,-0.20451968,0.392707372,0.323395301,0.548058021,NO,NA
22.63040806,0.083533089,0.324692327,0.678673163,0.827415646,NO,NA
36.72872338,0.100466757,0.438083143,8.29E-05,0.003264403,UP,NA
16.61985381,0.038854087,0.255939903,0.848399775,0.925905147,NO,NA
177.2992052,1.792235483,1.134579974,0.002264622,0.031473678,UP,NA
0.489836514,0.043623371,0.419007472,0.597957007,NA,NO,NA
29.69809806,0.052787809,0.425175182,0.003788821,0.043426995,DOWN,NA
143.8014184,-0.318113729,0.167572961,0.039307944,0.164892165,NO,NA
5.439324363,0.227319461,0.494882134,0.007316182,0.064280517,NO,NA
157.5269072,-0.179724023,0.323268302,0.379644499,0.602009077,NO,NA
9.784078344,0.150490025,0.455514556,0.003336779,0.040023896,UP,NA
38.74906827,-0.431771563,0.28369327,0.050335948,0.189136255,NO,NA
0.305514226,-0.01094397,0.420584652,0.95542122,NA,NO,NA
257.7118584,0.120866229,0.402876994,0.422252818,0.639051818,NO,NA
60.56441193,0.001062234,0.209334154,0.99514578,0.998045745,NO,NA
49.79079048,0.855021368,0.198005838,2.96E-06,0.000322504,UP,NA
2.473697981,-0.088851929,0.414773724,0.443822631,NA,NO,NA
270.5259925,0.323088399,0.586143347,0.014179493,0.09207518,NO,NA
9.892410639,-0.286950158,0.383389066,0.225616927,0.447496409,NO,NA
0.964780168,0.09127526,0.422821286,0.402446056,NA,NO,NA
6.419396626,1.422864924,0.901973277,0.00580871,0.056271341,NO,NA
98.02016248,-0.226874877,0.307129716,0.288905699,0.513357164,NO,NA
1.505976144,-0.092563022,0.414381148,0.426036404,NA,NO,NA
1.685383043,0.25066129,0.505855647,0.062553768,NA,NO,NA
0.207075675,0.001202082,0.420424371,0.97882623,NA,NO,NA
44.66694355,-0.250683984,0.318262949,0.249640978,0.473778075,NO,NA
12.91386373,-0.01613846,0.268796489,0.941560771,0.972187886,NO,NA
33.92402189,-0.042220974,0.260285227,0.838392137,0.920119205,NO,NA
0.25317363,0.014081558,0.420786082,0.812137498,NA,NO,NA
