gene_name,Clade IIb,Clade IIa,Cllade I,Zaire
ATP1B3,-1.144211404,-1.608414577,-1.440193368,-1.01029
ATP5F1B,-2.466838036,-1.89379263,-1.5243839,-1.20413
ATP5MG,-1.615252965,-1.69920464,-1.213483723,-1.06308
BSG,-1.582876471,-1.758346968,-1.481498492,-1.28254
CBX6,2.767893219,3.508650356,1.591060738,1.65625
CLDN15,2.145900327,4.546563365,4.292611331,1.315833
CNOT4,1.081502602,2.007101737,1.777948655,1.242125
DHX38,1.109044206,3.008945599,2.523324963,6.635417
ELL,1.310338168,2.859738218,2.596006446,1.6145
FGFR1OP2,1.065310977,1.406177687,1.580783837,1.260083
GATA6,4.460966833,2.585095858,3.771586809,9.008542
GM2A,-3.939552955,-3.067953628,-2.436603584,-1.66829
ICAM5,3.934532074,3.311193663,3.432103271,8.508833
IDH2,-4.078690882,-3.610467398,-2.212255702,-1.10133
INHBA,2.070767069,2.300620714,1.730946746,1.156542
ITGB6,-3.699426983,-4.047974154,-1.94465238,-1.0965
NEFM,4.8996443,9.250634372,10.53287478,1.189542
NFAT5,1.766349359,3.07840342,3.337139058,8.256875
OGFR,1.418981981,1.276161972,1.376410241,1.459375
OVGP1,2.752447102,5.383021401,5.327093421,1.036958
PLAGL1,1.133508099,1.564846451,1.341955133,8.04175
SLC8A2,4.601283629,7.313946918,6.832609434,1.22825
TUBA1B,-1.063502499,-1.596936532,-1.437092184,-1.05025
UBXN7,1.113397081,2.624848549,2.448091198,2.592208
WDR37,1.195237194,2.560121403,2.583005195,1.672042
XRCC4,1.02173421,2.394149491,1.69485242,1.018625
ZNF212,1.151547602,2.430985965,1.816901245,6.071417
