ID,GSM283173,GSM283177,GSM283187,GSM283189,GSM283192,GSM283196,GSM283203,GSM283222,GSM283397,GSM283398,GSM283400,GSM283401,GSM283403,GSM283405
ATP1B3,4.532082498,4.824350368,4.888759501,3.998144041,4.860710711,4.648913456,4.583779317,4.344828777,2.896719781,4.219368583,3.33441649,1.921046817,2.153037312,1.525858002
ATP5F1B,0.290765316,0.165072114,0.478703764,0.238785714,0.675713437,0.31105704,0.648642237,0.421639757,-0.111566241,-0.482781272,-0.917172189,-1.146880444,-1.374303761,-0.921350182
BSG,3.371417443,3.764677133,2.642233076,1.732596754,3.494604412,2.148333008,2.738567729,1.789619803,0.531789364,1.501841399,1.479764185,1.057717572,1.495462062,-0.666665478
GATA6,-4.528685628,-3.810476804,-4.849221615,-3.804641974,-4.058492375,-3.667074636,-3.802637995,-3.674327438,0.934233279,2.641702075,4.423268624,4.059875209,5.217358854,4.683070587
GM2A,0.042329345,-0.566571429,-0.801097308,0.81169574,-0.656053102,-0.395516007,-0.687984873,-0.821319352,-2.447356892,-2.417166133,-1.767605206,-1.727560582,-4.841476399,-0.933602658
IDH2,0.743463462,0.880839856,0.880235879,0.965879414,1.337249122,0.624533035,0.796168153,0.825967665,0.252970031,0.274285714,0.39236591,-0.595515881,-0.470911737,-1.055857805
INHBA,-0.543570928,-0.116810134,-0.006469837,-0.569320722,-0.020819873,0.608447305,0.008808097,-0.460428571,0.570867247,0.561910175,0.893454268,0.485038711,0.894022334,1.647372817
ITGB6,0.014773914,0.166699731,-0.121641343,0.006867575,0.17598931,0.267933031,0.58361852,0.761656308,-0.567364265,-0.632071429,-1.010327501,-1.183582631,-0.571671631,-1.411657483
NEFM,-0.39764062,1.16778784,-0.96986449,-0.846933517,0.495438591,0.138233584,-0.781388316,-0.44035915,0.104174673,0.824664276,0.760894072,0.525535866,1.007062141,1.582269537
CNOT4,0.018846385,0.426644245,1.037128115,-0.485373255,0.367700768,0.023067131,0.1855,0.228745715,0.851294603,2.564617061,0.365695426,0.215220917,1.801477364,1.670786874
OVGP1,-0.666209117,-0.632924126,-0.580071429,-1.081571269,-0.526470611,-0.493758589,-0.780752881,-0.365004931,0.501106382,-0.053285714,-0.007714286,0.147575058,1.044354918,0.624245669
PLAGL1,-3.606901924,-3.179226367,-4.117223751,-2.778655765,-3.308071474,-2.975131299,-3.54901276,-3.709097791,1.374209774,2.991118531,4.178987214,3.348674794,3.613962263,3.565440698
SLC8A2,-1.979360651,-0.205380261,-0.591,0.166855846,-1.107142617,-0.173302985,-1.369421116,-1.281981722,0.062910602,-0.26468936,-0.223965078,0.311071429,0.645216947,1.235911716
ICAM5,-3.473378075,-4.033336319,-4.043690246,-3.797237901,-3.59616414,-3.078858057,-4.095727952,-4.26674636,0.9902041,2.379067655,4.332285501,3.812753115,5.019795708,3.202755715
XRCC4,-1.007367864,-0.444214286,0.106324844,-1.072217043,-0.257565248,-1.878416925,-0.923745623,-0.602050774,0.236299641,-0.150594961,-0.185042658,0.10193759,0.233492488,0.864824854
ZNF212,-0.978853605,-2.388228613,-2.356894693,-1.367316296,-2.726735605,-2.036957474,-2.176289571,-2.81602766,-0.011714286,0.953822457,3.480924555,3.587682726,4.178323039,3.893663548
ELL,-0.79744425,0.764420742,-0.331044503,-1.228593963,-0.464403083,-0.845197628,-0.398860309,-0.591,0.261928571,0.362020707,0.015928571,0.803823929,1.226304563,2.143579362
DHX38,-0.686202808,-2.20650562,-2.675783512,-2.107642276,-2.927931826,-2.576996532,-3.027287132,-2.981162169,0.057928571,1.941771124,3.884638932,4.114478882,3.482126537,3.899007603
TUBA1B,1.75583958,1.704255429,1.961129947,1.37587795,1.841206204,1.032802662,2.902196114,2.427073491,0.799362951,1.891516008,0.937972893,0.447870475,0.210751587,-0.786485636
ATP5MG,-0.358779856,-0.834607054,-0.32070659,-0.692080337,-0.510746551,0.367558575,0.502,1.452086515,-0.964214246,-0.846164085,-1.096368087,-0.849250335,-1.03859089,-2.889864887
NFAT5,-7.070818634,-3.051268524,-3.888674304,-3.086367021,-3.058772261,-2.967052984,-2.840137611,-3.342810321,0.708748232,2.000981181,4.440128995,4.504622764,4.478334791,3.242672216
OGFR,-0.663,-0.881785714,-0.29145745,-1.100640907,0.866263555,-0.167714286,-1.131651928,-0.738232805,0.085787835,0.456714286,0.605994594,0.540040644,1.276191384,1.508362655
WDR37,-0.835409818,-1.007297563,-1.414473796,-0.403694866,-1.267187951,-0.555973496,-0.621295039,-1.302474569,-0.05122112,1.107366262,0.178123487,-0.137210011,0.883850362,1.446873312
CBX6,-0.005710867,-0.272990664,0.03,0.10806043,-0.598781878,0.233980302,-0.964649401,-0.262662299,2.089392169,1.988751504,0.896340094,0.779637526,1.483235097,1.105323394
CLDN15,0.647371624,-0.38927958,-0.013570703,-0.481532481,-1.119472157,-0.534441622,-0.924817767,-1.053974531,0.085787835,0.482285714,0.540028928,0.483239787,0.390069651,1.841336783
UBXN7,0.472386217,-0.663183244,-0.672417098,-0.674729453,-0.703714286,-0.60165728,-0.846074086,-1.137332714,0.101888103,0.16314361,1.501047824,2.127878291,1.919803198,2.430669298
FGFR1OP2,-0.770984249,-1.240176209,-1.288454854,-0.605482285,-1.508678054,-0.653142857,-1.160103422,-1.400710119,-0.861095698,-0.598959865,-0.938880727,0.065335097,0.778076703,1.361068682
