"","ATP1B3","ATP5F1B","ATP5MG","BSG","CBX6","CLDN15","CNOT4","DHX38","ELL","FGFR1OP2","GATA6","GM2A","ICAM5","IDH2","INHBA","ITGB6","NEFM","NFAT5","OGFR","OVGP1","PLAGL1","SLC8A2","TUBA1B","UBXN7","WDR37","XRCC4","ZNF212"
"ATP1B3",1,0.133351069462342,0.51732185577207,0.781953100264164,-0.510825341233661,-0.982081570894433,-0.937661306539987,0.42798470166064,-0.926627515722494,-0.671388870018213,0.867645497218514,0.231240674009995,0.781206940859879,0.415460086883541,-0.710337020041026,0.536805754775921,-0.91768840387732,0.541934486390631,0.956992263771699,-0.962442536202823,0.672960828680101,-0.936556783134251,0.983278521170903,-0.373566093950728,-0.847255616410186,-0.962497640094708,0.524262980220216
"ATP5F1B",0.133351069462342,1,0.846283323210822,0.67179932060435,-0.673204715133008,-0.0892659595391969,0.21308035736621,0.851851151594017,0.249040965072215,0.553756386994732,0.577876437773478,0.994499750803452,0.629942888945794,0.951464224435655,-0.781051801474075,0.85367364368819,-0.178778626219212,0.845615087616035,0.232435090820886,-0.190555821190086,0.719915262295897,-0.37518500290382,-0.0455548844780209,0.837658264873098,0.403008402640157,-0.00155109780099234,0.784436497458029
"ATP5MG",0.51732185577207,0.846283323210822,1,0.937959622007407,-0.950346493622265,-0.41215395852436,-0.240202133290856,0.707653302284721,-0.185648198749429,0.284224996403702,0.755574764090837,0.871052402805703,0.707538734104766,0.958163243703318,-0.953718000863549,0.998834171261903,-0.384738168268216,0.785487893983317,0.670526245817383,-0.456684820046526,0.717438851373466,-0.599348168750508,0.381592715514381,0.426191307263306,0.00609720638517465,-0.479490581919465,0.681496894919622
"BSG",0.781953100264164,0.67179932060435,0.937959622007407,1,-0.898090235140518,-0.698615863151486,-0.554171147507843,0.691255570638533,-0.510116671140602,-0.0652316756264437,0.903053552780747,0.729578139841462,0.833629131764862,0.867151037678441,-0.983008599313732,0.945150071934062,-0.653357517436164,0.793753704318499,0.875408401733414,-0.723492979279155,0.797283699963726,-0.817111649287713,0.675954130415108,0.161073243664399,-0.338442283779373,-0.738270368262596,0.711214936621638
"CBX6",-0.510825341233661,-0.673204715133008,-0.950346493622265,-0.898090235140518,1,0.364805493613753,0.310820824920813,-0.455984539798234,0.245843649202371,-0.269799301035909,-0.623598490342331,-0.692003544362675,-0.523799913571358,-0.824545299802188,0.861854365777683,-0.936672057702781,0.265547996258016,-0.564349345233469,-0.716929606227179,0.370108020252982,-0.50325944825556,0.485499311656768,-0.415957900621257,-0.209408073476768,0.0511892934228093,0.558341227342566,-0.433715420255849
"CLDN15",-0.982081570894433,-0.0892659595391969,-0.41215395852436,-0.698615863151486,0.364805493613753,1,0.923031532587466,-0.463142738565749,0.92522195102092,0.752370400372131,-0.864147186821071,-0.192191530733839,-0.805337778155554,-0.351672734739261,0.645348306201093,-0.439152772424436,0.971082077872429,-0.556729613886886,-0.885768613945705,0.991076557995423,-0.703572653438979,0.953800925310715,-0.966326222411713,0.360084751074259,0.873324499909198,0.906687946971515,-0.567783541914226
"CNOT4",-0.937661306539987,0.21308035736621,-0.240202133290856,-0.554171147507843,0.310820824920813,0.923031532587466,1,-0.100071103017834,0.997352774810725,0.827262362715808,-0.643026853737974,0.117072814573218,-0.529696413305009,-0.0877081231252381,0.438142126138149,-0.253909570517661,0.814990024408688,-0.221236978422331,-0.879165924862928,0.863513814292191,-0.389017830520853,0.775893576458543,-0.985267980147105,0.671832189955221,0.965079780615417,0.962009829088347,-0.215562281799453
"DHX38",0.42798470166064,0.851851151594017,0.707653302284721,0.691255570638533,-0.455984539798234,-0.463142738565749,-0.100071103017834,1,-0.0936751273642293,0.0841076772698097,0.817167825226678,0.892351905629984,0.896929469860038,0.861344081771988,-0.806898103033934,0.738173975003247,-0.60228272351672,0.987794312714908,0.381797647572082,-0.572339352826204,0.955444667779643,-0.70467018452603,0.262363028158755,0.659112907833454,0.011016138576056,-0.20962386213644,0.991425306466253
"ELL",-0.926627515722494,0.249040965072215,-0.185648198749429,-0.510116671140602,0.245843649202371,0.92522195102092,0.997352774810725,-0.0936751273642293,1,0.864954855462114,-0.628075320815927,0.151405410318491,-0.523326566477518,-0.0453882429116346,0.398281356563581,-0.201736563940409,0.827632809196648,-0.207747107032827,-0.847922516181623,0.867334599385898,-0.383250858821536,0.772069925871407,-0.9782810558816,0.683638854650501,0.980478331670173,0.940784886477109,-0.213211071603929
"FGFR1OP2",-0.671388870018213,0.553756386994732,0.284224996403702,-0.0652316756264437,-0.269799301035909,0.752370400372131,0.827262362715808,0.0841076772698097,0.864954855462114,1,-0.34149241793706,0.464196045201521,-0.297844410159835,0.343565136969761,-0.0176124795253707,0.258574688288252,0.719821705339278,0.0310099426423509,-0.477240919263343,0.699898348793689,-0.174261177325643,0.551804263985874,-0.762568333310956,0.745476680185357,0.944445201355853,0.643691232869599,-0.0461009784721038
"GATA6",0.867645497218514,0.577876437773478,0.755574764090837,0.903053552780747,-0.623598490342331,-0.864147186821071,-0.643026853737974,0.817167825226678,-0.628075320815927,-0.34149241793706,1,0.659712314625343,0.981933178100923,0.764929680301414,-0.917565152641335,0.782305541791252,-0.890553046102435,0.887904595296815,0.833081063037197,-0.909865962715923,0.945562939460743,-0.972275102320445,0.763590807532303,0.135195030465451,-0.510477109388787,-0.734202182945301,0.869210128014593
"GM2A",0.231240674009995,0.994499750803452,0.871052402805703,0.729578139841462,-0.692003544362675,-0.192191530733839,0.117072814573218,0.892351905629984,0.151405410318491,0.464196045201521,0.659712314625343,1,0.707235146958529,0.971951126747068,-0.833508434748434,0.881694433608001,-0.280393168299381,0.894254575301465,0.315307641058994,-0.292224089960215,0.786235240486373,-0.470078223063675,0.0528197707338925,0.792234143418845,0.306882773041416,-0.090348151165246,0.837066198383231
"ICAM5",0.781206940859879,0.629942888945794,0.707538734104766,0.833629131764862,-0.523799913571358,-0.805337778155554,-0.529696413305009,0.896929469860038,-0.523326566477518,-0.297844410159835,0.981933178100923,0.707235146958529,1,0.771421973927823,-0.880878022798267,0.739775897857965,-0.876483450240978,0.940028091600457,0.714823098028517,-0.872082121175479,0.987399190939935,-0.945605857607699,0.661330937480954,0.262863117164001,-0.42033336324243,-0.605316749275642,0.941151392651508
"IDH2",0.415460086883541,0.951464224435655,0.958163243703318,0.867151037678441,-0.824545299802188,-0.351672734739261,-0.0877081231252381,0.861344081771988,-0.0453882429116346,0.343565136969761,0.764929680301414,0.971951126747068,0.771421973927823,1,-0.933786939699559,0.9662537942788,-0.393538948605898,0.899565490362672,0.520135628352571,-0.430293694526129,0.816831577346849,-0.593221678564969,0.251040689866194,0.630309992070114,0.129223708847106,-0.308040019370299,0.824505950222673
"INHBA",-0.710337020041026,-0.781051801474075,-0.953718000863549,-0.983008599313732,0.861854365777683,0.645348306201093,0.438142126138149,-0.806898103033934,0.398281356563581,-0.0176124795253707,-0.917565152641335,-0.833508434748434,-0.880878022798267,-0.933786939699559,1,-0.96537810291395,0.641780949188072,-0.886044310940063,-0.78703804291248,0.693879621352384,-0.870792144185439,0.809566033768211,-0.579689043005356,-0.324298370458025,0.228028993679365,0.625212164148713,-0.814632433541572
"ITGB6",0.536805754775921,0.85367364368819,0.998834171261903,0.945150071934062,-0.936672057702781,-0.439152772424436,-0.253909570517661,0.738173975003247,-0.201736563940409,0.258574688288252,0.782305541791252,0.881694433608001,0.739775897857965,0.9662537942788,-0.96537810291395,1,-0.420161608111686,0.813526744727041,0.677819652608288,-0.487340067298931,0.75022161201967,-0.629491604322501,0.398255179197492,0.433871855177442,-0.0125182134269186,-0.487119180458151,0.715099066219354
"NEFM",-0.91768840387732,-0.178778626219212,-0.384738168268216,-0.653357517436164,0.265547996258016,0.971082077872429,0.814990024408688,-0.60228272351672,0.827632809196648,0.719821705339278,-0.890553046102435,-0.280393168299381,-0.876483450240978,-0.393538948605898,0.641780949188072,-0.420161608111686,1,-0.664459438633631,-0.778016883490604,0.990651166797053,-0.802350327875316,0.969414014016658,-0.877570830505665,0.19668615427051,0.789295837417694,0.7819268616919,-0.70032778972243
"NFAT5",0.541934486390631,0.845615087616035,0.785487893983317,0.793753704318499,-0.564349345233469,-0.556729613886886,-0.221236978422331,0.987794312714908,-0.207747107032827,0.0310099426423509,0.887904595296815,0.894254575301465,0.940028091600457,0.899565490362672,-0.886044310940063,0.813526744727041,-0.664459438633631,1,0.516840368278722,-0.653001419002843,0.978816779577131,-0.78048392997139,0.382156605833238,0.571843567291391,-0.0857621000111687,-0.347110631832577,0.988134324760361
"OGFR",0.956992263771699,0.232435090820886,0.670526245817383,0.875408401733414,-0.716929606227179,-0.885768613945705,-0.879165924862928,0.381797647572082,-0.847922516181623,-0.477240919263343,0.833081063037197,0.315307641058994,0.714823098028517,0.520135628352571,-0.78703804291248,0.677819652608288,-0.778016883490604,0.516840368278722,1,-0.856335529835308,0.609178023201843,-0.857325030955567,0.93218488376579,-0.328175925835738,-0.727301705226389,-0.972197669776905,0.455545986373118
"OVGP1",-0.962442536202823,-0.190555821190086,-0.456684820046526,-0.723492979279155,0.370108020252982,0.991076557995423,0.863513814292191,-0.572339352826204,0.867334599385898,0.699898348793689,-0.909865962715923,-0.292224089960215,-0.872082121175479,-0.430293694526129,0.693879621352384,-0.487340067298931,0.990651166797053,-0.653001419002843,-0.856335529835308,1,-0.787416883837554,0.981435642618994,-0.925333163171196,0.239396264857013,0.810568810673234,0.855130828849384,-0.669524373413586
"PLAGL1",0.672960828680101,0.719915262295897,0.717438851373466,0.797283699963726,-0.50325944825556,-0.703572653438979,-0.389017830520853,0.955444667779643,-0.383250858821536,-0.174261177325643,0.945562939460743,0.786235240486373,0.987399190939935,0.816831577346849,-0.870792144185439,0.75022161201967,-0.802350327875316,0.978816779577131,0.609178023201843,-0.787416883837554,1,-0.882706192784743,0.534297527066687,0.409459255016532,-0.278917256795985,-0.47596582267387,0.9824906596798
