Gene,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
WDR37,12.38181513,11.32926974,13.36458061,77.40704052,74.88407499,78.41678523,30.51024634,31.1495428,29.00016996,70.44886912,80.42240887,83.42558572
OGFR,23.63801069,21.52561251,25.61544617,64.13726215,57.26429264,58.53647349,61.02049267,72.68226654,64.69268684,57.17589378,62.66681211,72.9973875
ATP1B3,290.4098457,305.8902831,298.4756336,105.0524121,85.89643896,98.29709698,139.1564894,124.5981712,136.0777206,116.3937838,100.2668994,108.4532614
CNOT4,18.00991291,15.86097764,15.59201071,68.56052161,72.6816022,68.47662936,38.69592218,36.34113327,35.69251688,53.09190137,63.71125897,62.56918929
OVGP1,5.628097784,3.398780923,4.454860203,179.1420081,224.652225,189.9674234,34.97516043,31.89119858,32.71814047,173.5696775,176.5115208,221.0778021
NFAT5,22.51239114,21.52561251,20.04687091,176.9303783,181.7040055,195.4897322,80.36845376,76.39054545,68.41065735,217.472596,212.0227143,232.5488202
NEFM,0,1.132926974,0,286.4060499,307.2449547,339.0697615,20.83626579,17.05808296,17.10266434,679.9847367,687.2460394,838.4271364
ICAM5,1.125619557,0,0,9.952333782,5.506181985,8.835694111,5.953218797,15.5747714,12.64109973,7.146986722,8.355574948,10.42819821
ELL,21.38677158,21.52561251,20.04687091,180.2478229,148.6669136,142.4755675,49.11405508,57.84915092,55.76955762,133.7507515,115.9336024,143.9091354
CLDN15,4.502478227,4.531707898,6.682290305,131.5919689,124.4397129,134.7443352,19.34796109,25.95795234,31.97454637,93.9318255,105.4891337,129.3096579
ATP5F1B,1312.472403,1314.19529,1310.842615,371.5537945,377.7240841,304.8314468,221.7574002,238.8131615,248.3604299,467.6171313,444.934366,449.455343
FGFR1OP2,18.00991291,18.12683159,14.47829566,47.55003918,44.04945588,51.9097029,35.71931278,31.89119858,45.3592402,46.96591275,58.48902463,56.31227036
ITGB6,31.51734759,30.58902831,33.41145152,0,3.303709191,1.104461764,1.488304699,2.966623124,1.487188203,8.167984826,6.266681211,5.214099107
SLC8A2,0,0,0,32.06863107,24.22720073,24.29815881,7.441523497,5.191590467,5.948752813,19.39896396,19.8444905,21.89921625
PLAGL1,9.004956455,9.063415796,8.909720406,30.96281621,29.73338272,28.71600586,25.30117989,20.02470609,20.82063485,22.46195827,30.28895918,23.98485589
INHBA,6.753717341,6.797561847,5.568575254,27.64537162,36.3408011,41.96954703,32.74270338,31.1495428,26.76938766,28.58794689,19.8444905,23.98485589
TUBA1B,256.641259,260.5732041,246.1310262,81.83029998,85.89643896,80.62570876,118.3202236,117.1816134,124.9238091,93.9318255,98.17800563,85.51122536
DHX38,42.77354316,45.31707898,44.54860203,363.8130905,350.1931742,367.7857674,99.71641485,101.606842,89.9748863,256.2705239,246.489461,271.1331536
GATA6,0,0,0,1.105814865,2.202472794,6.626770583,6.697371147,5.191590467,8.92312922,5.104990516,4.177787474,6.256918929
XRCC4,16.88429335,15.86097764,14.47829566,95.10007836,79.28902058,87.25247935,37.20761748,35.59947749,29.00016996,63.3018824,52.22234342,46.92689196
UBXN7,32.64296715,32.85488226,35.63888162,215.6338986,211.4373882,209.8477351,78.13599671,72.68226654,73.61581606,179.6956662,179.6448614,204.392685
ATP5MG,159.8379771,147.2805067,139.2143813,45.33840945,40.74574669,47.49185585,46.88159803,48.20762577,46.8464284,60.23888809,65.80015271,61.52636946
ZNF212,20.26115202,16.99390462,18.93315586,117.2163757,105.7186941,93.87924993,40.92837923,52.65756045,37.92329918,64.3228805,74.15572766,69.86892804
BSG,274.6511719,277.5671087,298.4756336,84.04192971,85.89643896,77.31232347,89.29828196,100.1235304,89.9748863,95.9738217,113.8447087,89.68250464
IDH2,52.90411917,61.17805662,56.79946759,6.634889188,3.303709191,2.208923528,2.232457049,5.191590467,1.487188203,11.23097914,12.53336242,8.342558572
CBX6,4.502478227,4.531707898,5.568575254,60.81981755,67.17542021,54.11862643,37.20761748,36.34113327,37.17970508,16.33596965,15.66670303,18.77075679
GM2A,360.1982582,381.7963904,373.094542,34.2802608,47.35316507,48.59631761,27.53363694,20.02470609,23.79501125,76.57485774,57.44457776,67.78328839
