"","ATP1B3","ATP5F1B","BSG","GATA6","GM2A","IDH2","INHBA","ITGB6","NEFM","CNOT4","OVGP1","PLAGL1","SLC8A2","ICAM5","XRCC4","ZNF212","ELL","DHX38","TUBA1B","ATP5MG","NFAT5","OGFR","WDR37","CBX6","CLDN15","UBXN7","FGFR1OP2"
"ATP1B3",1,0.871042523019625,0.836782296427151,-0.871471854543941,0.54587061365833,0.93444039799924,-0.722272466170698,0.820814022618808,-0.54159765097271,-0.354775387384518,-0.831802934046268,-0.836536029004047,-0.758491266397718,-0.843946071374285,-0.66229770199587,-0.8957725387702,-0.752344355256213,-0.856341545206125,0.86098919432841,0.662518111554197,-0.824483873596656,-0.681807135278737,-0.743987733542075,-0.637981951183581,-0.706566476380161,-0.893195892518681,-0.858702127627653
"ATP5F1B",0.871042523019625,1,0.661862903045393,-0.959077283652477,0.699797471244829,0.873858409699472,-0.734725236728968,0.857172307053528,-0.678968076118795,-0.502925866644923,-0.819328301979575,-0.940835726229532,-0.724460353511245,-0.960110760896806,-0.595250802252758,-0.974338739933287,-0.744397174709035,-0.967093442845428,0.778676241457138,0.637588366994036,-0.91500765861949,-0.719368077858306,-0.801893813121153,-0.720505277163643,-0.7355587359503,-0.923115310950309,-0.782703599843602
"BSG",0.836782296427151,0.661862903045393,1,-0.749099910267679,0.373909039714324,0.803548825794217,-0.721206195857548,0.712843243289492,-0.356512793981394,-0.413294683145999,-0.699142240527157,-0.741736698874374,-0.734485509648665,-0.701745661039554,-0.54866861746339,-0.702660042837841,-0.561863846220737,-0.67784279030998,0.72616173639205,0.534521611727704,-0.71835343601458,-0.550905446142033,-0.753061064766588,-0.708343029105685,-0.630345883898978,-0.640013322728332,-0.715841152468396
"GATA6",-0.871471854543941,-0.959077283652477,-0.749099910267679,1,-0.731279889943307,-0.863285020938037,0.82235396809036,-0.872475268961759,0.697944337992618,0.587034859704701,0.863431207252528,0.991472886530512,0.707202229518819,0.990391199734538,0.662035290613415,0.962048072086392,0.758750140684782,0.961773523180289,-0.740465678268296,-0.650159695133607,0.966976689453451,0.783088274620865,0.863404654370378,0.776514725896749,0.710222496539735,0.886901142783631,0.735327352290091
"GM2A",0.54587061365833,0.699797471244829,0.373909039714324,-0.731279889943307,1,0.555897135849358,-0.567068723808167,0.448187039604895,-0.484670943498154,-0.685072395628677,-0.851784658889237,-0.700941619950418,-0.414723072529363,-0.75481298501395,-0.548166192564053,-0.635801129948999,-0.577330498840096,-0.616215289479021,0.381902596944931,0.252178485720686,-0.722887749386938,-0.62777904023378,-0.567390226238532,-0.687246267233495,-0.311027743880429,-0.530332968456229,-0.428271627549242
"IDH2",0.93444039799924,0.873858409699472,0.803548825794217,-0.863285020938037,0.555897135849358,1,-0.800639124594185,0.816168278129601,-0.610230768737665,-0.521808404882129,-0.830356090308047,-0.823225292706947,-0.743891791572562,-0.833592680296409,-0.627095611379282,-0.885931403891024,-0.836504837668242,-0.863429303921584,0.832260613748775,0.65557264541266,-0.793667375804531,-0.687977039237022,-0.810799869940815,-0.647876902816042,-0.802981886881146,-0.8994328981119,-0.916760706288476
"INHBA",-0.722272466170698,-0.734725236728968,-0.721206195857548,0.82235396809036,-0.567068723808167,-0.800639124594185,1,-0.771589320161613,0.727900487771375,0.607888356235805,0.799493707109029,0.808361576183816,0.742424483825617,0.804106648200618,0.572384175347668,0.770969134151581,0.772399223329285,0.749296714768876,-0.779000848107626,-0.684692433412555,0.808422109775528,0.820580772163777,0.800426732952985,0.641594422352482,0.677831174697828,0.7438429235946,0.719527047307218
"ITGB6",0.820814022618808,0.857172307053528,0.712843243289492,-0.872475268961759,0.448187039604895,0.816168278129601,-0.771589320161613,1,-0.624517542225903,-0.487098292541427,-0.69845539292884,-0.893509460167127,-0.722561923490869,-0.881177926540417,-0.707955280096582,-0.898961948012928,-0.716141247706121,-0.922854875959915,0.818757531722815,0.84932772423914,-0.82027989522331,-0.749693241541707,-0.761907661607788,-0.72773094697565,-0.866918632519555,-0.897333052605318,-0.712952679883342
"NEFM",-0.54159765097271,-0.678968076118795,-0.356512793981394,0.697944337992618,-0.484670943498154,-0.610230768737665,0.727900487771375,-0.624517542225903,1,0.541678681481328,0.657528476005901,0.68885031591459,0.60494192908181,0.66874910294087,0.51893299214662,0.631402657960364,0.814201003040735,0.665830972821946,-0.658150267243865,-0.678877797684422,0.663220706692558,0.735908923998141,0.64850928493114,0.48848920883076,0.541039509114578,0.640643142158833,0.564213444864823
"CNOT4",-0.354775387384518,-0.502925866644923,-0.413294683145999,0.587034859704701,-0.685072395628677,-0.521808404882129,0.607888356235805,-0.487098292541427,0.541678681481328,1,0.659845969704126,0.582067502804116,0.423964731085166,0.575480078177579,0.646217722604887,0.475330843020047,0.662521127964118,0.506211043993026,-0.315320282168483,-0.472397364750478,0.528516154884186,0.626281693621902,0.689991096542205,0.676095820551577,0.525403678625979,0.402805382287385,0.465940110070871
