ID,ATP1B3,ATP5F1B,BSG,GATA6,GM2A,IDH2,INHBA,ITGB6,NEFM,CNOT4,OVGP1,PLAGL1,SLC8A2,ICAM5,XRCC4,ZNF212,ELL,DHX38,TUBA1B,ATP5MG,NFAT5,OGFR,WDR37,CBX6,CLDN15,UBXN7,FGFR1OP2
GSM283173,4.532082498,0.290765316,3.371417443,-4.528685628,0.042329345,0.743463462,-0.543570928,0.014773914,-0.39764062,0.018846385,-0.666209117,-3.606901924,-1.979360651,-3.473378075,-1.007367864,-0.978853605,-0.79744425,-0.686202808,1.75583958,-0.358779856,-7.070818634,-0.663,-0.835409818,-0.005710867,0.647371624,0.472386217,-0.770984249
GSM283177,4.824350368,0.165072114,3.764677133,-3.810476804,-0.566571429,0.880839856,-0.116810134,0.166699731,1.16778784,0.426644245,-0.632924126,-3.179226367,-0.205380261,-4.033336319,-0.444214286,-2.388228613,0.764420742,-2.20650562,1.704255429,-0.834607054,-3.051268524,-0.881785714,-1.007297563,-0.272990664,-0.38927958,-0.663183244,-1.240176209
GSM283187,4.888759501,0.478703764,2.642233076,-4.849221615,-0.801097308,0.880235879,-0.006469837,-0.121641343,-0.96986449,1.037128115,-0.580071429,-4.117223751,-0.591,-4.043690246,0.106324844,-2.356894693,-0.331044503,-2.675783512,1.961129947,-0.32070659,-3.888674304,-0.29145745,-1.414473796,0.03,-0.013570703,-0.672417098,-1.288454854
GSM283189,3.998144041,0.238785714,1.732596754,-3.804641974,0.81169574,0.965879414,-0.569320722,0.006867575,-0.846933517,-0.485373255,-1.081571269,-2.778655765,0.166855846,-3.797237901,-1.072217043,-1.367316296,-1.228593963,-2.107642276,1.37587795,-0.692080337,-3.086367021,-1.100640907,-0.403694866,0.10806043,-0.481532481,-0.674729453,-0.605482285
GSM283192,4.860710711,0.675713437,3.494604412,-4.058492375,-0.656053102,1.337249122,-0.020819873,0.17598931,0.495438591,0.367700768,-0.526470611,-3.308071474,-1.107142617,-3.59616414,-0.257565248,-2.726735605,-0.464403083,-2.927931826,1.841206204,-0.510746551,-3.058772261,0.866263555,-1.267187951,-0.598781878,-1.119472157,-0.703714286,-1.508678054
GSM283196,4.648913456,0.31105704,2.148333008,-3.667074636,-0.395516007,0.624533035,0.608447305,0.267933031,0.138233584,0.023067131,-0.493758589,-2.975131299,-0.173302985,-3.078858057,-1.878416925,-2.036957474,-0.845197628,-2.576996532,1.032802662,0.367558575,-2.967052984,-0.167714286,-0.555973496,0.233980302,-0.534441622,-0.60165728,-0.653142857
GSM283203,4.583779317,0.648642237,2.738567729,-3.802637995,-0.687984873,0.796168153,0.008808097,0.58361852,-0.781388316,0.1855,-0.780752881,-3.54901276,-1.369421116,-4.095727952,-0.923745623,-2.176289571,-0.398860309,-3.027287132,2.902196114,0.502,-2.840137611,-1.131651928,-0.621295039,-0.964649401,-0.924817767,-0.846074086,-1.160103422
GSM283222,4.344828777,0.421639757,1.789619803,-3.674327438,-0.821319352,0.825967665,-0.460428571,0.761656308,-0.44035915,0.228745715,-0.365004931,-3.709097791,-1.281981722,-4.26674636,-0.602050774,-2.81602766,-0.591,-2.981162169,2.427073491,1.452086515,-3.342810321,-0.738232805,-1.302474569,-0.262662299,-1.053974531,-1.137332714,-1.400710119
GSM283397,2.896719781,-0.111566241,0.531789364,0.934233279,-2.447356892,0.252970031,0.570867247,-0.567364265,0.104174673,0.851294603,0.501106382,1.374209774,0.062910602,0.9902041,0.236299641,-0.011714286,0.261928571,0.057928571,0.799362951,-0.964214246,0.708748232,0.085787835,-0.05122112,2.089392169,0.085787835,0.101888103,-0.861095698
GSM283398,4.219368583,-0.482781272,1.501841399,2.641702075,-2.417166133,0.274285714,0.561910175,-0.632071429,0.824664276,2.564617061,-0.053285714,2.991118531,-0.26468936,2.379067655,-0.150594961,0.953822457,0.362020707,1.941771124,1.891516008,-0.846164085,2.000981181,0.456714286,1.107366262,1.988751504,0.482285714,0.16314361,-0.598959865
GSM283400,3.33441649,-0.917172189,1.479764185,4.423268624,-1.767605206,0.39236591,0.893454268,-1.010327501,0.760894072,0.365695426,-0.007714286,4.178987214,-0.223965078,4.332285501,-0.185042658,3.480924555,0.015928571,3.884638932,0.937972893,-1.096368087,4.440128995,0.605994594,0.178123487,0.896340094,0.540028928,1.501047824,-0.938880727
GSM283401,1.921046817,-1.146880444,1.057717572,4.059875209,-1.727560582,-0.595515881,0.485038711,-1.183582631,0.525535866,0.215220917,0.147575058,3.348674794,0.311071429,3.812753115,0.10193759,3.587682726,0.803823929,4.114478882,0.447870475,-0.849250335,4.504622764,0.540040644,-0.137210011,0.779637526,0.483239787,2.127878291,0.065335097
GSM283403,2.153037312,-1.374303761,1.495462062,5.217358854,-4.841476399,-0.470911737,0.894022334,-0.571671631,1.007062141,1.801477364,1.044354918,3.613962263,0.645216947,5.019795708,0.233492488,4.178323039,1.226304563,3.482126537,0.210751587,-1.03859089,4.478334791,1.276191384,0.883850362,1.483235097,0.390069651,1.919803198,0.778076703
GSM283405,1.525858002,-0.921350182,-0.666665478,4.683070587,-0.933602658,-1.055857805,1.647372817,-1.411657483,1.582269537,1.670786874,0.624245669,3.565440698,1.235911716,3.202755715,0.864824854,3.893663548,2.143579362,3.899007603,-0.786485636,-2.889864887,3.242672216,1.508362655,1.446873312,1.105323394,1.841336783,2.430669298,1.361068682
