"","ID","log2FoldChange","gene_name"
"1","ENSG00000047056",2.560121403,"WDR37"
"2","ENSG00000060491",1.276161972,"OGFR"
"3","ENSG00000069849",-1.608414577,"ATP1B3"
"4","ENSG00000080802",2.007101737,"CNOT4"
"5","ENSG00000085465",5.383021401,"OVGP1"
"6","ENSG00000102908",3.07840342,"NFAT5"
"7","ENSG00000104722",9.250634372,"NEFM"
"8","ENSG00000105376",3.311193663,"ICAM5"
"9","ENSG00000105656",2.859738218,"ELL"
"10","ENSG00000106404",4.546563365,"CLDN15"
"11","ENSG00000110955",-1.89379263,"ATP5F1B"
"12","ENSG00000111790",1.406177687,"FGFR1OP2"
"13","ENSG00000115221",-4.047974154,"ITGB6"
"14","ENSG00000118160",7.313946918,"SLC8A2"
"15","ENSG00000118495",1.564846451,"PLAGL1"
"16","ENSG00000122641",2.300620714,"INHBA"
"17","ENSG00000123416",-1.596936532,"TUBA1B"
"18","ENSG00000140829",3.008945599,"DHX38"
"19","ENSG00000141448",2.585095858,"GATA6"
"20","ENSG00000152422",2.394149491,"XRCC4"
"21","ENSG00000163960",2.624848549,"UBXN7"
"22","ENSG00000167283",-1.69920464,"ATP5MG"
"23","ENSG00000170260",2.430985965,"ZNF212"
"24","ENSG00000172270",-1.758346968,"BSG"
"25","ENSG00000182054",-3.610467398,"IDH2"
"26","ENSG00000183741",3.508650356,"CBX6"
"27","ENSG00000196743",-3.067953628,"GM2A"
