,ID,log2FoldChange,gene_name
1,ENSG00000047056,2.583005195,WDR37
2,ENSG00000060491,1.376410241,OGFR
3,ENSG00000069849,-1.440193368,ATP1B3
4,ENSG00000080802,1.777948655,CNOT4
5,ENSG00000085465,5.327093421,OVGP1
6,ENSG00000102908,3.337139058,NFAT5
7,ENSG00000104722,10.53287478,NEFM
8,ENSG00000105376,3.432103271,ICAM5
9,ENSG00000105656,2.596006446,ELL
10,ENSG00000106404,4.292611331,CLDN15
11,ENSG00000110955,-1.5243839,ATP5F1B
12,ENSG00000111790,1.580783837,FGFR1OP2
13,ENSG00000115221,-1.94465238,ITGB6
14,ENSG00000118160,6.832609434,SLC8A2
15,ENSG00000118495,1.341955133,PLAGL1
16,ENSG00000122641,1.730946746,INHBA
17,ENSG00000123416,-1.437092184,TUBA1B
18,ENSG00000140829,2.523324963,DHX38
19,ENSG00000141448,3.771586809,GATA6
20,ENSG00000152422,1.69485242,XRCC4
21,ENSG00000163960,2.448091198,UBXN7
22,ENSG00000167283,-1.213483723,ATP5MG
23,ENSG00000170260,1.816901245,ZNF212
24,ENSG00000172270,-1.481498492,BSG
25,ENSG00000182054,-2.212255702,IDH2
26,ENSG00000183741,1.591060738,CBX6
27,ENSG00000196743,-2.436603584,GM2A
