ID,logFC,common,gene_id,gene_name,gene_name_old
39487,9.3885,WDR37,4963,OFC1,ABCC9
39527,9.564,OGFR,2549,GAB1,SLC9A1
14326,8.174166667,CNOT4,23731,TMEM245,PAPOLA
21537,7.429625,OVGP1,22884,WDR37,KCND1
14286,8.051583333,NFAT5,4739,NEDD9,PLEKHM2
35927,8.920958333,NEFM,10667,FARS2,TNFAIP3
31387,7.790083333,ICAM5,4730,NDUFV2P1,CCN1
17897,7.025166667,ELL,4736,RPL10A,USP21
12517,9.540916667,CLDN15,4741,NEFM,ILF2
11607,9.866916667,FGFR1OP2,4745,NELL1,SPATA2
26036,7.616625,SLC8A2,3658,IREB2,PCBP2
10730,9.9005,PLAGL1,4747,NEFL,AIMP2
23336,7.065833333,INHBA,4761,NEUROD2,SP110
8057,8.6145,DHX38,825,CAPN3,AFG3L2
27830,8.7475,GATA6,826,CAPNS1,
18837,10.649,XRCC4,827,CAPN6,
3493,8.845458333,UBXN7,828,CAPS,
27790,8.3515,ZNF212,829,CAPZA1,
11647,9.64725,CBX6,5862,RAB2A,
43093,7.028333333,ATP1B3,2592,GALT,
3533,9.486125,ATP5F1B,2591,GALNT3,
43133,7.175833333,ITGB6,2590,GALNT2,
34126,9.926125,TUBA1B,27285,TEKT2,
17935,7.99625,ATP5MG,2589,GALNT1,
18830,8.558125,BSG,2588,GALNS,
10690,9.787041667,IDH2,830,CAPZA2,
25130,8.613583333,GM2A,2587,GALR1,
13390,9.559333333,,831,CAST,
17940,6.600666667,,2585,GALK2,
25132,9.890416667,,832,CAPZB,
27792,9.861708333,,5616,PRKY,
17892,8.922041667,,4528,MTIF2,
17932,8.577166667,,3690,ITGB3,
5332,8.340791667,,4541,MT-ND6,
17937,7.563125,,5863,RGL2,
32327,8.773833333,,7804,LRP8,
8907,8.980583333,,22822,PHLDA1,
21497,7.447666667,,5652,PRSS8,
8947,9.584125,,10844,TUBGCP2,
25996,7.14275,,4558,MT-TF,
39529,9.130625,,10840,ALDH1L1,
25089,9.651875,,23328,SASH1,
17037,7.685333333,,23329,TBC1D30,
7086,8.518333333,,8930,MBD4,
18797,9.96225,,6992,PPP1R11,
25092,10.08925,,3486,IGFBP3,
39489,9.198333333,,3485,IGFBP2,
17895,8.14875,,25987,TSKU,
25090,8.671625,,23325,WASHC4,
3515,8.694416667,,25989,ULK3,
25129,9.556375,,23326,USP22,
34086,9.868333333,,25988,HINFP,
7126,8.214041667,,8929,PHOX2B,
16090,8.433916667,,8927,BSN,
5292,8.34475,,8928,FOXH1,
13430,9.330458333,,8925,HERC1,
27832,9.961083333,,8926,SNURF,
26032,8.55725,,5430,POLR2A,
18790,8.4075,,23331,TTC28,
32287,9.168625,,23332,CLASP1,
19727,9.305958333,,3492,IGH,
15197,8.0325,,3491,CCN1,
38593,7.182125,,3490,IGFBP7,
2626,8.873541667,,3489,IGFBP6,
11638,9.069666667,,3488,IGFBP5,
6193,8.769083333,,25992,SNED1,
34127,7.368333333,,3487,IGFBP4,
21521,9.47675,,5425,POLD2,
6233,9.031583333,,8932,MBD2,
9786,7.797208333,,5427,POLE2,
29626,9.972,,5428,POLG,
15187,9.257791667,,23548,TTC33,
23332,8.460916667,,5684,PSMA3,
1729,7.893375,,23782,AP1B1P1,
9826,7.732791667,,23301,EHBP1,
1689,7.748375,,23781,AP1B1P2,
29627,7.290333333,,11320,MGAT4A,
4429,7.375333333,,6543,SLC8A2,
28700,9.559666667,,10691,GMEB1,
17900,5.808791667,,7402,UTRN,
19687,9.319,,10690,FUT9,
18801,8.622208333,,10692,RRH,
27789,9.528625,,6548,SLC9A1,
35027,8.523875,,9832,JAKMIP2,
28719,9.332041667,,9830,TRIM14,
6215,8.947125,,9831,ZNF623,
14335,9.589,,23531,MMD,
3531,8.119666667,,9825,SPATA2,
792,8.486833333,,9826,ARHGEF11,
25992,8.385416667,,9829,DNAJC6,
14295,9.344,,9827,RGP1,
2586,8.665541667,,9828,ARHGEF17,
11598,9.0015,,7661,ZNF90P1,
7131,8.525416667,,4161,MC5R,
7128,9.693916667,,23751,TOP3BP1,
16101,8.586625,,10686,CLDN16,
30533,7.201666667,,10688,CRSP5,
22440,8.062458333,,10687,PNMA2,
38633,7.259958333,,23287,AGTPBP1,
15227,9.231458333,,23288,IQCE,
832,8.929916667,,28732,TRAJ23,
43127,7.021041667,,28730,TRAJ25,
26039,8.445458333,,28731,TRAJ24,
27853,10.05808333,,23286,WWC1,
7088,9.05925,,5016,OVGP1,
34087,7.059958333,,7453,WARS1,
16141,8.835458333,,7454,WAS,
2628,9.75425,,24146,CLDN15,
25113,10.27233333,,24147,FJX1,
6191,7.680083333,,23291,FBXW11,
15237,8.118125,,28981,IFT81,
27829,9.316208333,,7208,TRL-TAG1-1,
35915,9.658625,,5286,PIK3C2A,
7091,8.635041667,,11280,SCN11A,
39528,9.63175,,5287,PIK3C2B,
16136,9.204166667,,5288,PIK3C2G,
16230,1.90275,,5289,PIK3C3,
35955,9.491041667,,28729,TRAJ26,
28729,7.949458333,,11054,OGFR,
18836,9.548958333,,5290,PIK3CA,
5285,8.389166667,,28727,TRAJ28,
33228,8.33175,,5291,PIK3CB,
21533,9.066583333,,5292,PIM1,
8038,8.22225,,28725,TRAJ30,
5297,8.071208333,,28726,TRAJ29,
6255,8.68725,,11260,XPOT,
16130,8.3065,,5078,PAX4,
28740,9.188416667,,9435,CHST2,
1726,9.685291667,,7266,DNAJC7,
5325,8.04175,,8110,DPF3,
16997,7.351916667,,7265,TTC1,
11629,8.774708333,,7268,TTC4,
837,9.431916667,,7267,TTC3,
26900,7.019666667,,23464,GCAT,
1686,9.94375,,23466,CBX6,
29586,9.959375,,23467,NPTXR,
34129,8.629,,23468,CBX5,
4386,9.825791667,,23469,PHF3,
6231,8.228375,,11247,NXPH4,
25999,7.699708333,,6185,RPN2,
8889,8.362583333,,6188,RPS3,
16097,9.337541667,,6187,RPS2,
8017,8.710541667,,6189,RPS3A,
19697,7.535,,8126,MRST,
35934,6.112916667,,9457,FHL5,
11589,8.679916667,,7270,TTF1,
30491,8.249541667,,5094,PCBP2,
32288,8.254333333,,7272,TTK,
3491,8.093,,23471,TRAM1,
40439,8.275333333,,1729,DIAPH1,
18796,9.400583333,,1728,NQO1,
27813,9.479791667,,11258,DCTN3,
32351,9.064333333,,1727,CYB5R3,
33193,6.534541667,,1725,DHPS,
2588,9.635958333,,11259,FILIP1L,
32328,7.894375,,10807,ENTR1,
2631,8.724625,,6191,RPS4X,
7998,8.017333333,,27005,USP21,
19714,9.955708333,,8130,MCOPCT1,
14334,6.73025,,6192,RPS4Y1,
9835,8.521541667,,1730,DIAPH2,
43125,7.098666667,,3912,LAMB1,
38626,8.034916667,,9478,CABP1,
35935,6.755958333,,10828,NPM1P19,
30488,8.69875,,10827,FAM114A2,
2591,8.609958333,,9002,F2RL3,
35028,7.906083333,,9497,SLC4A7,
21493,8.797125,,7088,TLE1,
9834,5.962083333,,8178,ELL,
32311,8.641458333,,7087,ICAM5,
8060,8.110875,,7089,TLE2,
23331,9.373166667,,7086,TKT,
