ID,ATP1B3,ATP5F1B,BSG,GATA6,GM2A,IDH2,INHBA,ITGB6,NEFM,CNOT4,OVGP1,PLAGL1,SLC8A2,ICAM5,XRCC4,ZNF212,ELL,DHX38,TUBA1B,ATP5MG,NFAT5,OGFR,WDR37,CBX6,CLDN15,UBXN7,FGFR1OP2,condition
GSM283161,4.014948246,0.18475246,1.159736503,-3.077378174,-0.506099521,0.365487684,-0.174623173,-0.22911681,0.060475099,1.660946323,0.024164597,-2.662542681,-0.143239799,-2.96483667,-0.122809265,-1.464096897,0.196548673,-1.733235841,0.732012255,-0.831002679,-2.905206238,0.818793399,0.965281594,1.173490836,1.501441968,0.408192724,-0.951501318,0
GSM283162,4.201607062,-0.108550133,2.090219072,-3.516818813,-1.223225671,0.797618931,0.055159554,0.051313838,-0.147097612,-1.309504054,0.718455868,-5.949094453,-1.57537872,-4.806311267,-0.116481217,-1.821017756,-0.399928508,-4.057477634,1.246403774,-0.460001945,NA,0.189005629,0.65231296,1.28830868,0.56262009,-0.067151201,-1.195226971,0
GSM283163,3.48749859,-0.469926816,1.240104378,-2.880897073,-0.940640534,-0.457340341,1.323237675,-0.117472784,-0.336323317,1.607632926,0.921603448,-2.779315137,-0.174811959,-2.997556416,-0.322945965,-2.123735529,0.056392021,-1.546622691,0.607490711,-0.248684567,-3.991118403,0.68558887,1.092963934,1.698321021,1.881233457,-0.684744358,-0.582659722,0
GSM283164,3.536908781,-0.740355414,2.49346269,-3.330733119,-0.919210433,-0.146548527,0.398618578,-0.02050782,0.367362978,1.163635144,0.256235075,-3.179304555,-0.128636323,-3.351565053,-0.780905395,-2.46658447,0.170897373,-2.114184376,1.546333196,0.420983479,-3.036887392,-0.097539204,0.205829376,1.178466461,0.110224674,-0.067137496,-1.101887132,0
GSM283165,3.760727684,-0.416257566,-0.389859093,0.466439177,2.307402154,0.827271255,0.295567676,0.501859168,-0.121612345,-0.146908099,-0.696886984,0.614639463,-1.123434993,0.652956226,1.33432228,-2.108348586,0.259864823,0.665127763,1.386411753,-1.844663374,0.564693195,-0.598033195,-1.798006163,-0.247699076,-0.720121129,0.002474946,0.113216567,0
GSM283166,3.268596689,-0.394667424,1.230740267,-2.561443574,-0.492032754,-0.704519669,-0.160108294,0.366614161,-0.400508953,1.032027576,0.854552539,-2.465446791,0.509634955,-2.66895229,0.024289542,-1.596850723,-0.32069244,-2.103687136,1.235464503,0.808575905,-3.187404774,-0.479039753,1.344794325,0.754697682,0.892797131,-0.793553845,-1.191809983,0
GSM283167,3.622694988,0.006876278,-0.834569635,2.072123411,1.901128962,0.631209406,-0.301454096,0.490906325,-1.089466754,0.054999883,-0.960532531,1.315151905,-1.470586171,1.215677402,0.77737728,-0.174174503,-0.048206943,1.616670811,1.20410845,-1.954510084,1.2879693,-0.466697127,-1.04752471,0.380544344,-1.150791901,-0.404890545,-1.037832395,0
GSM283168,3.420280914,-0.207548595,-0.833952322,2.803198119,2.273577571,0.671556652,-0.144221601,0.292978442,-0.728133312,-0.410287882,-0.841509208,1.975977214,-0.374273535,2.628787609,0.952872339,0.443142735,0.115429597,2.404713564,1.328496326,-1.902080289,2.922948043,-0.85596877,-0.593511724,-0.213186099,-1.621015742,-0.317869045,-1.557176249,0
GSM283169,2.913075938,-0.088415375,-0.87978741,2.663863804,1.140568734,0.263043723,0.112374007,0.186878064,-0.874833783,0.002362692,-0.923039078,1.735000834,-0.243945229,2.40896088,0.590787822,0.534293088,0.507598147,2.348642177,0.618787019,-1.673084556,2.293804626,-0.479729969,0.125363335,-0.290463859,-0.697774664,-0.166678989,-0.751755148,0
GSM283170,3.283165256,-0.008027332,-0.542372905,3.1086983,1.378701469,-0.66565687,-0.993190649,0.196868305,-1.841108011,0.280123625,-0.934111246,2.504172826,-1.17870765,2.739751671,0.45039405,0.887919251,0.35102792,3.112355167,0.497015135,-1.11150437,2.338679177,-0.865889158,-0.602703336,-0.305418609,-1.367271792,-0.33306688,-1.396711944,0
