ID,GSM6765206,GSM6765207,GSM6765208,GSM6765209,GSM6765210,GSM6765211,GSM6765212,GSM6765213,GSM6765214,GSM6765215,GSM6765225,GSM6765240,GSM6765254,GSM6765268,GSM6765281,GSM6765294,GSM6765307,GSM6765321,GSM6765335,GSM6765349,GSM6765363,GSM6765379,GSM6765393,GSM6765408
WDR37,16.4958672,16.157817,16.7740202,18.7168711,16.442284,19.1126776,18.8064409,16.98456,17.8140336,18.010873,18.884071,17.566318,12.381815,11.32927,13.364581,77.407041,74.884075,78.416785,30.510246,31.149543,29.00017,70.448869,80.422409,83.425586
OGFR,28.1400087,35.345225,31.5746263,29.5529544,29.982988,32.4915519,35.6332565,33.96912,32.6590615,30.72443,29.375222,32.032698,23.638011,21.525613,25.615446,64.137262,57.264293,58.536473,61.020493,72.682267,64.692687,57.175894,62.666812,72.997388
OVGP1,21.3475928,19.187408,18.7474344,19.7019696,18.37667,19.1126776,18.8064409,22.9791106,19.7933706,23.308188,23.080531,24.799508,5.628098,3.398781,4.45486,179.142008,224.652225,189.967423,34.97516,31.891199,32.71814,173.569678,176.511521,221.077802
ATP5F1B,981.9892691,1026.021398,988.6804867,950.6200329,900.456826,891.606409,926.4646696,994.0963051,939.1954357,922.792355,891.747804,820.450383,1312.472403,1314.19529,1310.842615,371.553794,377.724084,304.831447,221.7574,238.813162,248.36043,467.617131,444.934366,449.455343
ITGB6,16.4958672,16.157817,14.8006061,14.7764772,13.540704,14.3345082,15.8370029,12.9881929,13.8553594,12.713557,10.491151,14.46638,31.517348,30.589028,33.411452,0,3.303709,1.104462,1.488305,2.966623,1.487188,8.167985,6.266681,5.214099
SLC8A2,0.9703451,2.019727,0.9867071,0.9850985,1.934386,0.9556339,0.9898127,0.9990918,0.9896685,1.059463,2.09823,2.066626,0,0,0,32.068631,24.227201,24.298159,7.441523,5.19159,5.948753,19.398964,19.84449,21.899216
PLAGL1,14.5551769,17.167681,13.813899,14.7764772,13.540704,15.2901421,14.8471902,14.9863765,15.8346965,18.010873,17.834956,16.533005,9.004956,9.063416,8.90972,30.962816,29.733383,28.716006,25.30118,20.024706,20.820635,22.461958,30.288959,23.984856
GATA6,60.1613979,64.631269,61.1758385,55.1655149,57.064396,51.6042295,58.3989482,51.9527717,56.4111063,43.437987,50.357523,48.565703,0,0,0,1.105815,2.202473,6.626771,6.697371,5.19159,8.923129,5.104991,4.177787,6.256919
XRCC4,20.3772477,15.147954,17.7607273,18.7168711,22.245443,21.0239453,17.8166283,18.9827435,20.7830392,22.248725,24.129646,25.832821,16.884293,15.860978,14.478296,95.100078,79.289021,87.252479,37.207617,35.599477,29.00017,63.301882,52.222343,46.926892
GM2A,82.4793358,84.828541,80.9099799,84.7184692,76.408259,80.2732458,77.2053891,77.9291576,76.2044769,80.519195,83.929205,83.698339,360.198258,381.79639,373.094542,34.280261,47.353165,48.596318,27.533637,20.024706,23.795011,76.574858,57.444578,67.783288
