ID,GSM283161,GSM283162,GSM283163,GSM283164,GSM283165,GSM283166,GSM283167,GSM283168,GSM283169,GSM283170,GSM283171,GSM283172,GSM283173,GSM283175,GSM283177,GSM283186,GSM283187,GSM283188,GSM283189,GSM283190,GSM283192,GSM283194,GSM283196,GSM283199,GSM283203,GSM283221,GSM283222,GSM283223,GSM283225,GSM283227,GSM283230,GSM283235,GSM283252,GSM283253,GSM283255,GSM283257,GSM283258,GSM283277,GSM283278,GSM283280,GSM283319,GSM283320,GSM283321,GSM283322,GSM283323,GSM283324,GSM283325,GSM283326,GSM283327,GSM283328,GSM283329,GSM283330,GSM283331,GSM283332,GSM283333,GSM283334,GSM283335,GSM283336,GSM283337,GSM283338,GSM283339,GSM283340,GSM283341,GSM283342,GSM283343,GSM283344,GSM283345,GSM283346,GSM283347,GSM283348,GSM283349,GSM283350,GSM283351,GSM283352,GSM283353,GSM283354,GSM283355,GSM283356,GSM283357,GSM283358,GSM283359,GSM283360,GSM283363,GSM283364,GSM283365,GSM283366,GSM283367,GSM283368,GSM283369,GSM283370,GSM283371,GSM283372,GSM283373,GSM283374,GSM283375,GSM283376,GSM283377,GSM283378,GSM283379,GSM283380,GSM283381,GSM283382,GSM283383,GSM283384,GSM283396,GSM283397,GSM283398,GSM283399,GSM283400,GSM283401,GSM283402,GSM283403,GSM283404,GSM283405,GSM283406,GSM283407,GSM283408,GSM283409,GSM283410,GSM283411,GSM283412,GSM283413,GSM283414,GSM283416
ATP5F1B,0.18475246,-0.108550133,-0.469926816,-0.740355414,-0.416257566,-0.394667424,0.006876278,-0.207548595,-0.088415375,-0.008027332,0.005660807,-0.522915337,0.345152942,0.014032126,0.217416808,-0.187657358,0.534907392,-0.048920775,0.292053684,-0.166603671,0.732962112,-0.179744158,0.365265023,-0.086309571,0.70566434,0.036146478,0.47732129,0.470328924,-0.071996264,0.479656222,0.420324085,-0.434176047,0.231508331,-0.118366439,0.17182825,-0.163253126,0.074303709,-0.099965795,-0.781408874,-0.292478684,0.766254578,0.927133323,0.850726432,1.104894385,0.22039769,-0.060159117,0.424104629,1.013848415,0.898417694,1.245091803,0.303597116,0.899542061,-0.048122842,0.761425341,0.293374065,-0.035078503,0.023989537,0.265558439,-0.664630745,0.732543838,-0.129691553,-0.026995204,-0.427050674,-0.775590429,-0.014868193,-0.666346459,-0.321996963,0.141844686,-0.066230038,-0.440273258,0.160189944,0.266625936,-0.413831106,-0.467829625,0.259194976,-0.06344685,0.226452177,1.061524966,-0.565309026,0.398889494,-0.137903922,0.864480477,0.660190491,NA,-0.648926631,-0.247937775,0.488995739,0.602997466,-0.029825646,-0.38260605,0.388555072,-1.435116322,-0.347281235,-1.962759497,0.461823094,-1.67710051,0.004987763,-0.224899219,0.339661683,0.400589755,-0.189855755,0.272085419,-0.430676467,-0.061347089,0.042717842,-0.068660075,-0.45631177,0.362825827,-0.907907929,-1.14455527,0.052219645,-1.369144159,-0.159040025,-0.912092676,0.102894655,-0.483622808,0.022706232,0.222161402,-0.265169731,0.077341297,-0.429178399,0.238021049,-0.258506945,0.012350362
GATA6,-3.077378174,-3.516818813,-2.880897073,-3.330733119,0.466439177,-2.561443574,2.072123411,2.803198119,2.663863804,3.1086983,-4.763294929,NA,-4.244714211,3.256949173,-3.571487541,4.320007282,-4.556206622,3.548526146,-3.565151999,3.500418478,-3.80807403,3.927828079,-3.441738178,-3.484978392,-3.563634942,-4.684361186,-3.448247965,-5.338760533,-4.062302187,-3.973525989,-3.467851707,-3.957534914,-2.469991358,-3.953972794,-1.621350786,-3.403980632,-0.250934854,0.946954229,1.759548554,0.767579021,-4.164970196,-3.644684011,-3.817433122,-3.488928269,NA,-4.289403541,-0.927762938,-3.503980876,-2.463537481,-4.038350428,0.918470718,-3.963986491,0.696481924,-3.295470726,1.360673419,-1.928043686,1.888047954,0.030426138,1.402876495,-1.847447113,0.637438432,2.75648813,2.322435495,2.904261108,1.656185252,2.067251933,-0.153704031,-2.546313799,2.465827454,-3.529175672,1.95460712,1.828923469,2.955550403,-3.571986501,-2.829515172,-3.732672189,-1.764169277,-1.951646,2.598385419,-1.599384563,2.721670695,2.208697424,-4.167918176,-2.950605599,-1.488687101,-2.225382791,2.427800719,-1.083114941,-2.622098313,0.773963891,2.730138309,3.267977813,-2.290939453,-0.657666792,2.977255443,2.919336838,0.219097996,-2.967069269,3.037651489,1.355740515,-4.626358415,3.748140776,-4.130989778,-3.090456587,-4.285505454,0.987488243,2.453197064,-3.873347148,4.061901863,3.713028614,-3.876328765,4.875735729,-3.493829854,4.310604052,-1.192346293,-5.04284263,-0.785763078,NA,-0.449286208,-0.047745677,0.388166827,-1.334012631,-4.068887217,-3.255039921
GM2A,-0.506099521,-1.223225671,-0.940640534,-0.919210433,2.307402154,-0.492032754,1.901128962,2.273577571,1.140568734,1.378701469,3.04083243,2.102604221,0.090414603,2.827431902,-0.542558133,0.86436893,-0.787537338,0.456570183,0.867702684,1.348314525,-0.636195994,1.928834985,-0.364316504,2.238319242,-0.669660938,2.780665581,-0.808713069,0.591968259,-1.529502419,1.764003733,-1.042253539,1.268034358,-0.801925379,2.017349556,-0.5653846,2.594710015,-0.353100143,-1.12426492,-0.318800033,-0.380413571,1.38802199,1.287162352,1.866387699,2.239663286,2.008837411,1.514254134,1.042878927,1.410632807,0.382409786,1.994906721,1.174737574,1.646898362,0.926262143,1.375426802,0.657557317,0.772776921,1.051641688,1.556263224,0.10994601,0.633637866,1.26211375,0.897477122,1.099761697,0.140869686,-0.247307616,0.358373237,2.062732857,2.754061803,0.473698187,2.224609345,0.105070616,1.496691426,0.614580694,0.952167751,1.394232911,1.230909477,1.814368048,1.527978945,0.713079522,0.588383561,0.685036273,3.50311315,-0.041504345,-1.210986065,-0.125551311,1.320879357,0.447910695,-1.476712727,1.201345675,-0.10635868,0.658942994,-0.266747993,0.466765105,1.370080821,0.917992773,-0.4220674,0.845952817,-0.469497116,0.29425673,1.04962054,2.990104517,0.69113676,1.597014748,0.028578614,-1.897148789,-2.336282489,-2.310250616,2.946685981,-1.733049209,-1.698774039,3.266565652,-4.549429589,2.267441877,-0.925060365,3.393925908,-1.07811516,2.898606117,NA,2.463963594,-1.51195405,1.068244812,3.153094537,3.075835774,2.28763753
ITGB6,-0.22911681,0.051313838,-0.117472784,-0.02050782,0.501859168,0.366614161,0.490906325,0.292978442,0.186878064,0.196868305,0.048915173,0.966085937,0.062113208,0.025568739,0.219224049,0.400401469,-0.07886376,0.058576189,0.054131415,0.301977241,0.228427622,-0.1765343,0.321989662,0.563605089,0.640458472,0.539538731,0.818263986,1.082061116,-0.463772575,0.698537816,0.100655695,0.709202585,0.063658613,0.368103624,-0.430937288,0.949619771,-0.413523123,-0.43799527,-0.040573662,0.383714586,0.1471565,0.314137741,0.51344659,0.115206448,0.211024724,0.222558884,0.396292304,0.552561365,-0.493120043,-0.058752984,-0.015016827,0.634821233,-0.712285331,1.006157862,0.533134624,0.354090303,-0.334131575,-0.219726937,-0.751291912,-0.324244627,-0.213149393,-0.607840413,-0.336726179,-0.549480761,-0.069199469,-0.535665814,0.082426679,0.473786643,-0.323277428,0.481859599,-0.403318608,-0.682975715,-0.027927844,-0.369842844,0.249773608,0.37167967,0.488240154,0.563702302,-0.32848833,0.010609897,-1.022778192,-0.270127682,-0.244955613,-0.005422718,-0.140196575,0.581730723,0.037645155,0.03847914,-0.260194284,-0.559894455,0.166154899,-0.50611152,-0.884444477,-2.204188606,1.229646425,-1.108334881,0.405114471,-0.373316469,-0.316065931,-0.038238384,0.530069939,0.115363949,0.791902249,0.946834774,-0.210354626,-0.543371509,-0.610775042,0.437419954,-1.005081046,-1.181998114,0.225849777,-0.547859518,0.840806979,-1.404207537,0.333016289,-0.332000259,0.239467909,-0.242676575,0.248676617,-0.245113846,0.183838641,-0.003690313,0.024011999,0.513466353
OVGP1,0.024164597,0.718455868,0.921603448,0.256235075,-0.696886984,0.854552539,-0.960532531,-0.841509208,-0.923039078,-0.934111246,-0.461253099,-0.461009358,-0.647282753,-0.58411194,-0.611466056,-0.693523951,-0.556821591,-0.550462623,-1.078619795,-1.206457616,-0.501513628,-0.55278863,-0.467856843,-0.600521285,-0.765800866,-0.556219521,-0.332340756,-0.695277154,-0.133212406,-0.844842352,-0.787092613,-0.617612521,-0.38893427,-0.302983764,-0.592427592,-0.611795934,-0.542128062,0.789752787,0.046607299,-0.481526799,0.138382903,-0.375570958,-0.173539813,0.213045208,-0.209451888,-1.118242693,1.508790844,-0.279146946,0.819281785,0.342389414,1.181910645,-0.931656323,0.280921359,0.070538388,0.716238244,1.018954583,0.212021733,-0.187728098,0.143650273,0.456358698,0.465443756,0.521561719,0.33734365,0.45706124,-0.046685839,-0.349946841,NA,-0.608570925,-0.014336035,-0.905770025,-0.204138005,-0.080675359,0.031245541,3.680139645,-0.43156562,-0.585440199,-0.068899006,-0.047315607,0.278646433,-0.395739616,0.234349152,0.363619538,-0.900833103,0.762600205,0.515793591,0.260526632,-0.279621816,-0.314178514,-0.479200853,1.067989273,0.246954593,0.947714899,0.580815426,0.803870683,0.270152136,0.906999271,0.078313522,0.097643653,0.032820774,0.645376826,-0.423623604,0.716922851,-0.402202024,-0.772304895,0.266863858,0.557449294,-0.00783663,-0.783737439,0.038883966,0.199383129,-0.591684736,1.093070127,-0.291498874,0.681351843,-0.4219618,-1.091212945,-0.642169793,2.112099058,-0.902110036,0.38120668,-0.817001667,-0.787443496,-0.54879582,-0.761454564
PLAGL1,-2.662542681,-5.949094453,-2.779315137,-3.179304555,0.614639463,-2.465446791,1.315151905,1.975977214,1.735000834,2.504172826,-3.387705552,-3.946258614,-3.385041686,3.46075668,-2.994171563,3.074889113,-3.860899949,2.836688983,-2.632434377,2.939176764,-3.110799795,2.992681171,-2.80808467,-3.214698441,-3.332831932,-2.996575165,-3.479277744,-3.1577896,-3.489328917,-3.29233249,-3.168933869,-3.296014065,-2.425229541,-3.163302,-1.234968938,-3.220640208,0.20720817,0.980224577,2.135943099,1.721041476,-3.186647453,-2.749789471,-1.175310988,-2.472208332,-2.743695011,-3.352331981,-1.320866749,-2.327842193,-2.868997453,-2.963750563,1.732595318,-3.559028369,1.711468947,-1.957482894,1.834048246,0.41922334,3.108531931,0.424084238,1.217413897,-2.493117105,1.131638224,1.593702622,2.628834057,2.045727807,1.91978323,2.120323476,0.164098408,-3.311954929,1.767052122,-3.155154409,1.962917544,2.397866401,2.514156209,-1.237248704,-1.755123107,-2.853883017,-1.026182212,-1.220597844,2.262970965,-0.798943689,2.151564899,2.356848541,-3.488287348,-3.042833703,-1.067659929,-0.70610873,4.186436291,-0.838875521,-1.482625647,1.11207716,2.711315239,1.644964111,-2.44845644,-0.482517516,3.211168209,2.369242518,1.498698898,-3.24424779,2.495107388,2.634968546,-3.303530438,3.031862707,-3.67549718,-3.312185165,-3.543499706,1.395733544,2.750663258,-3.030394464,3.824540744,3.074952403,-3.789240845,3.312271874,-3.568458696,3.269635164,-1.243133376,NA,-0.405168553,NA,-0.217856419,0.254250763,0.377184278,-1.087756229,-3.541375426,-3.249319025
SLC8A2,-0.143239799,-1.57537872,-0.174811959,-0.128636323,-1.123434993,0.509634955,-1.470586171,-0.374273535,-0.243945229,-1.17870765,-0.698496196,-0.578303998,-1.921354239,-0.417558204,-0.16589825,-0.615688967,-0.567892579,-0.463053019,0.219388245,-2.23362219,-1.105339671,-1.877509355,-0.132251676,-1.312739774,-1.363685532,-1.406220766,-1.279146988,-1.495861475,-1.870471987,-0.603540827,-0.983541351,-0.729415659,-0.145622496,NA,0.703782835,-0.989640163,0.155607863,0.615175191,0.611014957,-0.02455258,-0.23086803,0.63459476,0.506276012,1.082482326,-0.769987455,1.240916816,2.13682167,-4.494302073,0.129508539,-0.753148268,1.226399595,-1.514036337,1.550510626,NA,1.558826867,1.070795918,1.483711187,0.435693798,1.076574088,0.535160719,0.887864577,1.242609387,1.359799782,1.839679825,-0.379516816,0.698381647,-0.17727315,0.339970265,-0.661862132,-0.997350431,-0.402359841,-0.907674078,-2.267239946,-0.557128008,-0.985704286,-1.107666961,-0.380772792,-1.356355445,0.385196808,-0.046030288,-3.778698235,-0.21499182,-0.021019505,-0.778055976,0.793648496,0.349495981,0.095478876,-0.433853169,-3.127548612,0.48959984,0.013830841,0.904063417,-0.268804189,1.400564936,0.37768123,0.925051077,-1.602989187,0.399979612,0.809228427,1.438078587,-0.590202686,0.365404679,-0.096073151,-0.455649274,NA,0.11148215,-0.227963948,-0.389240886,-0.185378083,0.365367945,-0.826367285,0.702152409,-0.584303674,1.270109891,-1.411919612,NA,-1.466237298,0.150816467,-0.758732153,-0.789554376,-0.712425424,-1.392736875,-0.43755852,-0.786168605
XRCC4,-0.122809265,-0.116481217,-0.322945965,-0.780905395,1.33432228,0.024289542,0.77737728,0.952872339,0.590787822,0.45039405,1.229671515,1.70783255,-1.001660163,1.170577179,-0.415677851,0.778664101,0.156128866,0.673635704,-1.069230202,0.86508367,-0.220501063,0.747071483,-1.830886535,1.423936751,-0.914766369,1.003356534,-0.579417232,1.388247161,-0.520614067,0.920541674,-0.503003103,1.823991908,-0.55710142,0.648436081,-0.427903607,0.670687143,-0.501629349,-0.206752424,-0.330407898,-0.637169647,0.36532021,0.314137741,0.411155119,0.498584617,0.437626228,0.156815967,1.000502289,0.798049614,0.341944201,0.54922503,1.981218809,0.492171425,-0.296388562,1.180624692,0.74844566,1.420671757,0.930096497,0.264310942,0.2629557,0.989276826,-0.098229171,0.60046454,0.79947341,0.290500554,0.780579882,-0.072416943,0.827358572,1.347212533,0.87402002,0.849956713,0.305282825,0.373402733,0.511272294,0.266719383,0.757373389,0.494910246,0.295244672,1.520994611,1.202751225,0.445376792,0.710113328,0.782871021,-0.350098632,-0.606221007,0.041721905,1.5638271,0.474465776,-0.094280832,0.460605794,0.100816965,0.693570967,0.11220969,0.007823713,0.501020563,0.49292209,-0.560528378,0.362595091,-0.258790647,-0.106677954,0.358905238,0.756390182,0.650701745,1.422376538,0.836729183,0.582697001,0.289434385,-0.109009903,0.561288514,-0.144509086,0.151677685,0.930423729,0.286399443,0.878128163,0.920172248,0.888031369,-0.586048529,0.822127928,-0.476234705,0.660171223,-0.283320161,1.01809675,1.254747242,1.359832826,1.563042169
OGFR,0.818793399,0.189005629,0.68558887,-0.097539204,-0.598033195,-0.479039753,-0.466697127,-0.85596877,-0.479729969,-0.865889158,-0.349061467,-0.396398078,-0.643777171,-0.506467559,-0.871221803,-1.012932192,-0.255562547,0.230887225,-1.098625606,0.040967605,0.921482531,-0.01847729,-0.12681035,-0.370493884,-1.129899917,-0.88479935,-0.721690459,-0.174179784,-0.771190205,-0.160606938,-0.995183241,-0.93358273,-0.207442996,-0.317488023,-0.037158219,-0.64775963,-0.021291227,0.814021355,0.219654735,-0.153502435,1.07416726,0.000327528,1.400610385,0.197778373,0.573599888,0.035821682,2.254387958,-0.018639117,1.506351325,1.561585846,1.811160899,1.296508481,2.094871077,0.81825054,1.708874428,2.140374617,1.527171754,-0.274352086,1.236440481,3.021521105,3.067009242,1.276080067,0.576777013,0.969299257,0.483671492,0.628422094,-0.05018135,-0.672782802,0.871789139,-0.656177107,-0.491960918,-0.40885853,0.516665783,-0.364513787,0.478691151,1.165999636,-0.653503951,1.843277434,NA,0.224751823,0.977905759,0.20850794,-0.127821568,-0.433787159,0.444273053,-0.000113485,0.956136817,0.261154203,-0.175541856,1.41825595,0.361854952,0.949707864,1.547244968,2.063824525,1.48341422,1.158785708,2.077743124,-0.304465711,0.655002162,1.937229916,-0.466571359,1.154927145,-0.226189877,-0.299958258,-0.105160369,0.134918852,0.512902418,-0.922667406,0.6628919,0.59683882,-0.632367964,1.306687805,-0.410999922,1.514117111,-0.714265641,-0.283377327,-0.954909396,0.407158696,-0.42824643,0.04034139,-0.313608158,-0.866217084,-0.634186135,-0.176164875
WDR37,0.965281594,0.65231296,1.092963934,0.205829376,-1.798006163,1.344794325,-1.04752471,-0.593511724,0.125363335,-0.602703336,-0.503162435,0.15906325,-0.823869151,-0.437715373,-1.001583138,-1.310954889,-1.40697722,-0.472538261,-0.372896575,-0.613376362,-1.264981337,-0.346477515,-0.531887311,0.031576489,-0.599392946,-0.562425653,-1.299662921,-0.658018388,-1.46077823,-0.381398761,-1.466891133,-0.367885784,0.242936668,-0.757328734,0.107898543,-0.194866257,-0.249474311,0.34926586,-0.011381762,-1.889143767,1.096241628,-0.742119691,0.364960494,0.992702364,0.952659072,0.629278913,2.344890379,2.179164884,0.830828758,1.118566511,0.902367264,1.630697855,2.212705807,0.814958135,1.966250756,2.526498507,1.262066211,0.165630477,1.965388856,0.633637866,1.591330239,1.902561283,0.542591234,1.283235059,0.96934025,0.84295143,1.43113465,-0.262027857,0.646416281,-0.75717126,0.851426593,1.709695389,0.543206,1.61981849,1.113850388,0.641355699,0.516647639,0.262983057,1.193312056,0.166734317,1.418047517,1.426340062,-1.062791198,NA,0.765422117,0.155116337,0.128482459,-0.818360733,0.853948194,1.67314683,1.278282941,0.739977538,2.110098996,1.005517475,0.081108648,1.102590123,0.332075962,1.190966115,0.883153656,1.136943774,-0.739634185,0.555360075,-0.75739831,0.060557875,-0.302843018,-0.005793658,1.152301935,-0.662894609,0.23066431,-0.095171766,-0.583869926,0.939454778,-0.287605372,1.460088199,-0.278587264,1.142286983,-0.483978605,1.38137598,-0.284316008,1.619384391,-0.486732872,-0.641104342,2.026804423,0.170973077
