ID,ATP5F1B,GATA6,GM2A,ITGB6,OVGP1,PLAGL1,SLC8A2,XRCC4,OGFR,WDR37
GSM283161,0.18475246,-3.077378174,-0.506099521,-0.22911681,0.024164597,-2.662542681,-0.143239799,-0.122809265,0.818793399,0.965281594
GSM283162,-0.108550133,-3.516818813,-1.223225671,0.051313838,0.718455868,-5.949094453,-1.57537872,-0.116481217,0.189005629,0.65231296
GSM283163,-0.469926816,-2.880897073,-0.940640534,-0.117472784,0.921603448,-2.779315137,-0.174811959,-0.322945965,0.68558887,1.092963934
GSM283164,-0.740355414,-3.330733119,-0.919210433,-0.02050782,0.256235075,-3.179304555,-0.128636323,-0.780905395,-0.097539204,0.205829376
GSM283165,-0.416257566,0.466439177,2.307402154,0.501859168,-0.696886984,0.614639463,-1.123434993,1.33432228,-0.598033195,-1.798006163
GSM283166,-0.394667424,-2.561443574,-0.492032754,0.366614161,0.854552539,-2.465446791,0.509634955,0.024289542,-0.479039753,1.344794325
GSM283167,0.006876278,2.072123411,1.901128962,0.490906325,-0.960532531,1.315151905,-1.470586171,0.77737728,-0.466697127,-1.04752471
GSM283168,-0.207548595,2.803198119,2.273577571,0.292978442,-0.841509208,1.975977214,-0.374273535,0.952872339,-0.85596877,-0.593511724
GSM283169,-0.088415375,2.663863804,1.140568734,0.186878064,-0.923039078,1.735000834,-0.243945229,0.590787822,-0.479729969,0.125363335
GSM283170,-0.008027332,3.1086983,1.378701469,0.196868305,-0.934111246,2.504172826,-1.17870765,0.45039405,-0.865889158,-0.602703336
GSM283171,0.005660807,-4.763294929,3.04083243,0.048915173,-0.461253099,-3.387705552,-0.698496196,1.229671515,-0.349061467,-0.503162435
GSM283172,-0.522915337,NA,2.102604221,0.966085937,-0.461009358,-3.946258614,-0.578303998,1.70783255,-0.396398078,0.15906325
GSM283173,0.345152942,-4.244714211,0.090414603,0.062113208,-0.647282753,-3.385041686,-1.921354239,-1.001660163,-0.643777171,-0.823869151
GSM283175,0.014032126,3.256949173,2.827431902,0.025568739,-0.58411194,3.46075668,-0.417558204,1.170577179,-0.506467559,-0.437715373
GSM283177,0.217416808,-3.571487541,-0.542558133,0.219224049,-0.611466056,-2.994171563,-0.16589825,-0.415677851,-0.871221803,-1.001583138
GSM283186,-0.187657358,4.320007282,0.86436893,0.400401469,-0.693523951,3.074889113,-0.615688967,0.778664101,-1.012932192,-1.310954889
GSM283187,0.534907392,-4.556206622,-0.787537338,-0.07886376,-0.556821591,-3.860899949,-0.567892579,0.156128866,-0.255562547,-1.40697722
GSM283188,-0.048920775,3.548526146,0.456570183,0.058576189,-0.550462623,2.836688983,-0.463053019,0.673635704,0.230887225,-0.472538261
GSM283189,0.292053684,-3.565151999,0.867702684,0.054131415,-1.078619795,-2.632434377,0.219388245,-1.069230202,-1.098625606,-0.372896575
GSM283190,-0.166603671,3.500418478,1.348314525,0.301977241,-1.206457616,2.939176764,-2.23362219,0.86508367,0.040967605,-0.613376362
GSM283192,0.732962112,-3.80807403,-0.636195994,0.228427622,-0.501513628,-3.110799795,-1.105339671,-0.220501063,0.921482531,-1.264981337
GSM283194,-0.179744158,3.927828079,1.928834985,-0.1765343,-0.55278863,2.992681171,-1.877509355,0.747071483,-0.01847729,-0.346477515
GSM283196,0.365265023,-3.441738178,-0.364316504,0.321989662,-0.467856843,-2.80808467,-0.132251676,-1.830886535,-0.12681035,-0.531887311
GSM283199,-0.086309571,-3.484978392,2.238319242,0.563605089,-0.600521285,-3.214698441,-1.312739774,1.423936751,-0.370493884,0.031576489
GSM283203,0.70566434,-3.563634942,-0.669660938,0.640458472,-0.765800866,-3.332831932,-1.363685532,-0.914766369,-1.129899917,-0.599392946
GSM283221,0.036146478,-4.684361186,2.780665581,0.539538731,-0.556219521,-2.996575165,-1.406220766,1.003356534,-0.88479935,-0.562425653
GSM283222,0.47732129,-3.448247965,-0.808713069,0.818263986,-0.332340756,-3.479277744,-1.279146988,-0.579417232,-0.721690459,-1.299662921
GSM283223,0.470328924,-5.338760533,0.591968259,1.082061116,-0.695277154,-3.1577896,-1.495861475,1.388247161,-0.174179784,-0.658018388
GSM283225,-0.071996264,-4.062302187,-1.529502419,-0.463772575,-0.133212406,-3.489328917,-1.870471987,-0.520614067,-0.771190205,-1.46077823
GSM283227,0.479656222,-3.973525989,1.764003733,0.698537816,-0.844842352,-3.29233249,-0.603540827,0.920541674,-0.160606938,-0.381398761
GSM283230,0.420324085,-3.467851707,-1.042253539,0.100655695,-0.787092613,-3.168933869,-0.983541351,-0.503003103,-0.995183241,-1.466891133
GSM283235,-0.434176047,-3.957534914,1.268034358,0.709202585,-0.617612521,-3.296014065,-0.729415659,1.823991908,-0.93358273,-0.367885784
GSM283252,0.231508331,-2.469991358,-0.801925379,0.063658613,-0.38893427,-2.425229541,-0.145622496,-0.55710142,-0.207442996,0.242936668
GSM283253,-0.118366439,-3.953972794,2.017349556,0.368103624,-0.302983764,-3.163302,NA,0.648436081,-0.317488023,-0.757328734
GSM283255,0.17182825,-1.621350786,-0.5653846,-0.430937288,-0.592427592,-1.234968938,0.703782835,-0.427903607,-0.037158219,0.107898543
GSM283257,-0.163253126,-3.403980632,2.594710015,0.949619771,-0.611795934,-3.220640208,-0.989640163,0.670687143,-0.64775963,-0.194866257
GSM283258,0.074303709,-0.250934854,-0.353100143,-0.413523123,-0.542128062,0.20720817,0.155607863,-0.501629349,-0.021291227,-0.249474311
GSM283277,-0.099965795,0.946954229,-1.12426492,-0.43799527,0.789752787,0.980224577,0.615175191,-0.206752424,0.814021355,0.34926586
GSM283278,-0.781408874,1.759548554,-0.318800033,-0.040573662,0.046607299,2.135943099,0.611014957,-0.330407898,0.219654735,-0.011381762
GSM283280,-0.292478684,0.767579021,-0.380413571,0.383714586,-0.481526799,1.721041476,-0.02455258,-0.637169647,-0.153502435,-1.889143767
GSM283319,0.766254578,-4.164970196,1.38802199,0.1471565,0.138382903,-3.186647453,-0.23086803,0.36532021,1.07416726,1.096241628
GSM283320,0.927133323,-3.644684011,1.287162352,0.314137741,-0.375570958,-2.749789471,0.63459476,0.314137741,0.000327528,-0.742119691
GSM283321,0.850726432,-3.817433122,1.866387699,0.51344659,-0.173539813,-1.175310988,0.506276012,0.411155119,1.400610385,0.364960494
GSM283322,1.104894385,-3.488928269,2.239663286,0.115206448,0.213045208,-2.472208332,1.082482326,0.498584617,0.197778373,0.992702364
GSM283323,0.22039769,NA,2.008837411,0.211024724,-0.209451888,-2.743695011,-0.769987455,0.437626228,0.573599888,0.952659072
GSM283324,-0.060159117,-4.289403541,1.514254134,0.222558884,-1.118242693,-3.352331981,1.240916816,0.156815967,0.035821682,0.629278913
GSM283325,0.424104629,-0.927762938,1.042878927,0.396292304,1.508790844,-1.320866749,2.13682167,1.000502289,2.254387958,2.344890379
GSM283326,1.013848415,-3.503980876,1.410632807,0.552561365,-0.279146946,-2.327842193,-4.494302073,0.798049614,-0.018639117,2.179164884
