ID,WDR37,OGFR,OVGP1,ATP5F1B,ITGB6,SLC8A2,PLAGL1,GATA6,XRCC4,GM2A
GSM6765206,16.4958672,28.1400087,21.3475928,981.9892691,16.4958672,0.9703451,14.5551769,60.1613979,20.3772477,82.4793358
GSM6765207,16.157817,35.345225,19.187408,1026.021398,16.157817,2.019727,17.167681,64.631269,15.147954,84.828541
GSM6765208,16.7740202,31.5746263,18.7474344,988.6804867,14.8006061,0.9867071,13.813899,61.1758385,17.7607273,80.9099799
GSM6765209,18.7168711,29.5529544,19.7019696,950.6200329,14.7764772,0.9850985,14.7764772,55.1655149,18.7168711,84.7184692
GSM6765210,16.442284,29.982988,18.37667,900.456826,13.540704,1.934386,13.540704,57.064396,22.245443,76.408259
GSM6765211,19.1126776,32.4915519,19.1126776,891.606409,14.3345082,0.9556339,15.2901421,51.6042295,21.0239453,80.2732458
GSM6765212,18.8064409,35.6332565,18.8064409,926.4646696,15.8370029,0.9898127,14.8471902,58.3989482,17.8166283,77.2053891
GSM6765213,16.98456,33.96912,22.9791106,994.0963051,12.9881929,0.9990918,14.9863765,51.9527717,18.9827435,77.9291576
GSM6765214,17.8140336,32.6590615,19.7933706,939.1954357,13.8553594,0.9896685,15.8346965,56.4111063,20.7830392,76.2044769
GSM6765215,18.010873,30.72443,23.308188,922.792355,12.713557,1.059463,18.010873,43.437987,22.248725,80.519195
GSM6765225,18.884071,29.375222,23.080531,891.747804,10.491151,2.09823,17.834956,50.357523,24.129646,83.929205
GSM6765240,17.566318,32.032698,24.799508,820.450383,14.46638,2.066626,16.533005,48.565703,25.832821,83.698339
GSM6765254,12.381815,23.638011,5.628098,1312.472403,31.517348,0,9.004956,0,16.884293,360.198258
GSM6765268,11.32927,21.525613,3.398781,1314.19529,30.589028,0,9.063416,0,15.860978,381.79639
GSM6765281,13.364581,25.615446,4.45486,1310.842615,33.411452,0,8.90972,0,14.478296,373.094542
GSM6765294,77.407041,64.137262,179.142008,371.553794,0,32.068631,30.962816,1.105815,95.100078,34.280261
GSM6765307,74.884075,57.264293,224.652225,377.724084,3.303709,24.227201,29.733383,2.202473,79.289021,47.353165
GSM6765321,78.416785,58.536473,189.967423,304.831447,1.104462,24.298159,28.716006,6.626771,87.252479,48.596318
GSM6765335,30.510246,61.020493,34.97516,221.7574,1.488305,7.441523,25.30118,6.697371,37.207617,27.533637
GSM6765349,31.149543,72.682267,31.891199,238.813162,2.966623,5.19159,20.024706,5.19159,35.599477,20.024706
GSM6765363,29.00017,64.692687,32.71814,248.36043,1.487188,5.948753,20.820635,8.923129,29.00017,23.795011
GSM6765379,70.448869,57.175894,173.569678,467.617131,8.167985,19.398964,22.461958,5.104991,63.301882,76.574858
GSM6765393,80.422409,62.666812,176.511521,444.934366,6.266681,19.84449,30.288959,4.177787,52.222343,57.444578
GSM6765408,83.425586,72.997388,221.077802,449.455343,5.214099,21.899216,23.984856,6.256919,46.926892,67.783288
