,,,,,RNA-Seq,,,,,,,,,,,,,,Microarray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,,DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kera,,,,,,,Colon,,,,,,,,Entrenz,,,,,,,,Gene Id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Fibroblast,,,Monocyte,,,,,Fibroblast,,,,,Monocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clade IIa,,Clade IIb,,Clade I,,,Clade IIa,,Clade IIb,,Clade I,,,,Zaire,,,Zaire,,,,Zaire,,,,,Zaire,,,,,,,,Keratinocyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UP,,,,,,,,,,,DOWN,,,
UP,Down,UP,Down,UP,Down,,UP,Down,UP,Down,UP,Down,,,UP,Down,,UP,Down,,,,UP,,Down,,,UP,,Down,,,,,1510,,"396 elements included exclusively in ""clade IIb"":",,"19 common elements in ""clade IIa"", ""clade IIb"", ""clade I"" and ""Zaire"":",,"11 common elements in ""clade IIa"", ""clade I"" and ""Zaire"":",,,,,,"402 elements included exclusively in ""clade IIb"":",,,"8 common elements in ""clade IIa"", ""clade IIb"", ""clade I"" and ""Zaire"":",,,"3 common elements in ""clade IIa"", ""clade I"" and ""Zaire"":",,,,,,,,402+5,,,,,,,,,,,,,,,,,,,,,,,
3292,2439,2147,1890,2785,1909,,0,0,5,0,3,4,,,1348,344,,424,127,,,,340,139,,,,95,,28,,,,,Common elements in IIa IIb I :,,HCCS,,WDR37,,ABCC9,,,,,,WDR54,,,ATP1B3,,,AIMP2,,,,,,,,5 Elements excluded from 407,,,,,,,,,,,,,,,,,,,,,,,
RBM5,TSPAN6,RBM5,TSPAN6,NFYA,FUCA2,,,,EGR1,,TFF1,MT1G,,,39487,10242,,26031,1067,,,4963,OFC1,9744,ACAP1,,6231,RPS26,,26791,SNORD58A,,,,RBM5,,SPATA20,,OGFR,,SLC9A1,,,,,,TSPAN9,,,ATP5F1B,,,SP110,,,,,,,,TESK2,,,,,,,,,,,,,,,,,,,,,,,
FKBP4,FUCA2,RECQL,LAS1L,ALS2,SEMA3F,,,,FOS,,FABP1,MT1B,,,39527,563,,29586,43048,,,2549,GAB1,4298,MLLT1,,28732,TRAJ23,,3237,HOXD11,,,,RECQL,,KDM7A,,CNOT4,,PAPOLA,,,,,,POLA2,,,ITGB6,,,AFG3L2,,,,,,,,BLMH,,,,,,,,"545 elements included exclusively in ""Clade IIa"":",,"190 elements included exclusively in ""Clade I"":",,"293 elements included exclusively in ""Fibroblast"":",,,,,,,"414 elements included exclusively in ""Clade IIa"":",,"141 elements included exclusively in ""Clade I"":",,"122 elements included exclusively in ""Fibroblast"":"
RECQL,LAS1L,ARHGAP33,SEMA3F,RBM5,BAD,,,,HSPA6,,DDIT4,MT1H,,,14326,494,,10692,2039,,,23731,TMEM245,590,BCHE,,8890,EIF2B4,,1058,CENPA,,,,ARHGAP33,,PRSS21,,OVGP1,,KCND1,,,,,,CLCA4,,,TUBA1B,,,,,,,,,,,BCHE,,,,,,,,SYN1,,NFYA,,OFC1,,,,,,,PNPLA4,,GPC1,,ACAP1
