NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CYP4F11	cytochrome P450 family 4 subfamily F member 11 [Source:HGNC Symbol;Acc:HGNC:13265]	14	4.944272041320801	0.013780155	No	
row_1	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	33	4.902825832366943	0.02728677	No	
row_2	DHRS2	dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349]	150	4.601232528686523	0.036158763	No	
row_3	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	213	4.4863152503967285	0.046770524	No	
row_4	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	246	4.410280227661133	0.058313515	No	
row_5	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	257	4.392180442810059	0.07064846	No	
row_6	SNX10	sorting nexin 10 [Source:HGNC Symbol;Acc:HGNC:14974]	293	4.330934524536133	0.08184654	No	
row_7	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	393	4.163111686706543	0.09010231	No	
row_8	ZFP36	ZFP36 ring finger protein [Source:HGNC Symbol;Acc:HGNC:12862]	430	4.098175048828125	0.10058799	No	
row_9	DUSP2	dual specificity phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:3068]	455	4.056736469268799	0.11141424	No	
row_10	MDK	midkine [Source:HGNC Symbol;Acc:HGNC:6972]	511	3.992431163787842	0.12086449	No	
row_11	OVOL2	ovo like zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:15804]	614	3.8656394481658936	0.1281437	No	
row_12	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	787	3.6665337085723877	0.13215972	No	
row_13	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	844	3.601731061935425	0.14044021	No	
row_14	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	914	3.5410497188568115	0.14804603	No	
row_15	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	975	3.4872076511383057	0.15584137	No	
row_16	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	989	3.4745967388153076	0.16540407	No	
row_17	HOMER2	homer scaffold protein 2 [Source:HGNC Symbol;Acc:HGNC:17513]	1210	3.316580057144165	0.16656443	No	
row_18	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	1336	3.2357327938079834	0.17113684	No	
row_19	MEST	mesoderm specific transcript [Source:HGNC Symbol;Acc:HGNC:7028]	1359	3.218379497528076	0.17961216	No	
row_20	SLC1A4	solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]	1456	3.152669668197632	0.18505706	No	
row_21	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	1504	3.1244497299194336	0.19230087	No	
row_22	TPBG	trophoblast glycoprotein [Source:HGNC Symbol;Acc:HGNC:12004]	1605	3.0647523403167725	0.19733766	No	
row_23	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1811	2.957768201828003	0.1980347	No	
row_24	ABCA3	ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]	1840	2.9388210773468018	0.2054702	No	
row_25	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	1899	2.9044086933135986	0.21165465	No	
row_26	ASS1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:758]	1918	2.8966400623321533	0.21935181	No	
row_27	RPS6KA2	ribosomal protein S6 kinase A2 [Source:HGNC Symbol;Acc:HGNC:10431]	1974	2.8683815002441406	0.22554706	No	
