NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	160	4.574868679046631	0.03540933	Yes	
row_1	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	203	4.500567436218262	0.074653596	Yes	
row_2	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	298	4.322971343994141	0.110298745	Yes	
row_3	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	560	3.9308509826660156	0.13600299	Yes	
row_4	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	571	3.916926383972168	0.17117272	Yes	
row_5	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	662	3.7852773666381836	0.20209037	Yes	
row_6	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	799	3.6509995460510254	0.23003137	Yes	
row_7	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	989	3.4745967388153076	0.2543459	Yes	
row_8	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	997	3.4700660705566406	0.28557435	Yes	
row_9	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1015	3.4555821418762207	0.3162892	Yes	
row_10	IL15RA	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	1680	3.018373727798462	0.3183109	Yes	
row_11	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	1884	2.9101033210754395	0.33696678	Yes	
row_12	IL17RA	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	2561	2.588784694671631	0.33463073	Yes	
row_13	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	2971	2.4079113006591797	0.3408563	Yes	
row_14	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	3260	2.2923905849456787	0.3506573	Yes	
row_15	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	3581	2.1617555618286133	0.35804975	Yes	
row_16	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	3640	2.1356711387634277	0.37521768	Yes	
row_17	PTPN1	protein tyrosine phosphatase non-receptor type 1 [Source:HGNC Symbol;Acc:HGNC:9642]	3838	2.0637776851654053	0.3864212	Yes	
row_18	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	4042	1.9906996488571167	0.39673218	Yes	
row_19	OSMR	oncostatin M receptor [Source:HGNC Symbol;Acc:HGNC:8507]	4288	1.9034043550491333	0.40464577	Yes	
row_20	TLR2	toll like receptor 2 [Source:HGNC Symbol;Acc:HGNC:11848]	4700	1.768393635749817	0.40499035	Yes	
row_21	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	4864	1.7140250205993652	0.41431868	Yes	
row_22	BAK1	BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	4865	1.7137891054153442	0.42987382	Yes	
row_23	IFNAR1	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	5581	1.4869170188903809	0.41604635	No	
row_24	LTBR	lymphotoxin beta receptor [Source:HGNC Symbol;Acc:HGNC:6718]	5925	1.3809940814971924	0.41547328	No	
row_25	HAX1	HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]	6149	1.3137208223342896	0.41887537	No	
row_26	MYD88	MYD88 innate immune signal transduction adaptor [Source:HGNC Symbol;Acc:HGNC:7562]	6596	1.1919867992401123	0.4126507	No	
row_27	PTPN11	protein tyrosine phosphatase non-receptor type 11 [Source:HGNC Symbol;Acc:HGNC:9644]	6632	1.1797668933868408	0.4220213	No	
row_28	PTPN2	protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]	6795	1.129963994026184	0.42608663	No	
row_29	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	7125	1.0427576303482056	0.42297858	No	
row_30	CSF2	colony stimulating factor 2 [Source:HGNC Symbol;Acc:HGNC:2434]	7318	0.9869072437286377	0.42459902	No	
row_31	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	8052	0.8079381585121155	0.40392092	No	
row_32	IRF9	interferon regulatory factor 9 [Source:HGNC Symbol;Acc:HGNC:6131]	8203	0.7751653790473938	0.4052245	No	
row_33	IL1R1	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	8397	0.7300539016723633	0.4044754	No	
row_34	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	8533	0.6944507956504822	0.4056196	No	
row_35	IL10RB	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	8832	0.6315693259239197	0.39996406	No	
row_36	GRB2	growth factor receptor bound protein 2 [Source:HGNC Symbol;Acc:HGNC:4566]	9751	0.46672096848487854	0.36911923	No	
row_37	TNFRSF1A	TNF receptor superfamily member 1A [Source:HGNC Symbol;Acc:HGNC:11916]	9847	0.45271119475364685	0.36959785	No	
row_38	PLA2G2A	phospholipase A2 group IIA [Source:HGNC Symbol;Acc:HGNC:9031]	10278	0.3888292908668518	0.35669476	No	
row_39	STAT3	signal transducer and activator of transcription 3 [Source:HGNC Symbol;Acc:HGNC:11364]	10339	0.382290244102478	0.35787174	No	
row_40	CD38	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]	10369	0.38012009859085083	0.36021367	No	
row_41	INHBE	inhibin subunit beta E [Source:HGNC Symbol;Acc:HGNC:24029]	10477	0.36803120374679565	0.35946512	No	
row_42	CNTFR	ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:HGNC:2170]	10592	0.3566243052482605	0.35834554	No	
row_43	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	10650	0.3485589027404785	0.35933098	No	
row_44	EBI3	Epstein-Barr virus induced 3 [Source:HGNC Symbol;Acc:HGNC:3129]	10698	0.3439468443393707	0.36065674	No	
row_45	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	10998	0.2971951365470886	0.35192806	No	
row_46	CSF2RA	colony stimulating factor 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:2435]	11272	0.2572726011276245	0.3438306	No	
row_47	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	11282	0.2549760937690735	0.34580094	No	
row_48	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	11467	0.22515659034252167	0.34081307	No	
row_49	ACVR1B	activin A receptor type 1B [Source:HGNC Symbol;Acc:HGNC:172]	11479	0.22329504787921906	0.34241945	No	
row_50	IL18R1	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	11900	0.13860225677490234	0.32762733	No	
row_51	A2M	alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]	12302	0.018999319523572922	0.3124757	No	
row_52	IL2RA	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	12809	0.0	0.29313913	No	
row_53	ACVRL1	activin A receptor like type 1 [Source:HGNC Symbol;Acc:HGNC:175]	13103	0.0	0.28194225	No	
row_54	DNTT	DNA nucleotidylexotransferase [Source:HGNC Symbol;Acc:HGNC:2983]	13349	0.0	0.27257967	No	
row_55	LTB	lymphotoxin beta [Source:HGNC Symbol;Acc:HGNC:6711]	13762	0.0	0.25683522	No	
row_56	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	13796	0.0	0.25557417	No	
row_57	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	13970	0.0	0.24896303	No	
row_58	IL12RB1	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	14057	0.0	0.24567656	No	
row_59	PF4	platelet factor 4 [Source:HGNC Symbol;Acc:HGNC:8861]	14222	0.0	0.23940937	No	
row_60	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	16548	0.0	0.1505604	No	
row_61	CRLF2	cytokine receptor like factor 2 [Source:HGNC Symbol;Acc:HGNC:14281]	16699	0.0	0.1448282	No	
row_62	TNFRSF1B	TNF receptor superfamily member 1B [Source:HGNC Symbol;Acc:HGNC:11917]	19189	0.0	0.049712032	No	
row_63	CSF3R	colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]	19516	0.0	0.037254065	No	
row_64	REG1A	regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]	19575	0.0	0.035037618	No	
row_65	IL9R	interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]	20051	-0.03616982698440552	0.017213972	No	
row_66	ITGA4	integrin subunit alpha 4 [Source:HGNC Symbol;Acc:HGNC:6140]	20106	-0.04609706997871399	0.015568782	No	
row_67	PIK3R5	phosphoinositide-3-kinase regulatory subunit 5 [Source:HGNC Symbol;Acc:HGNC:30035]	20120	-0.04913731664419174	0.015517985	No	
row_68	LEPR	leptin receptor [Source:HGNC Symbol;Acc:HGNC:6554]	20364	-0.08682657778263092	0.0070199133	No	
row_69	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	20370	-0.088023342192173	0.0076277815	No	
row_70	CXCL11	C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]	20816	-0.16260352730751038	-0.007901855	No	
row_71	CCR1	C-C motif chemokine receptor 1 [Source:HGNC Symbol;Acc:HGNC:1602]	21026	-0.19944827258586884	-0.014078422	No	
row_72	IL17RB	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	21355	-0.2646511197090149	-0.024210718	No	
row_73	IL3RA	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	21765	-0.35810333490371704	-0.03659018	No	
row_74	CD44	CD44 molecule (Indian blood group) [Source:HGNC Symbol;Acc:HGNC:1681]	22877	-0.731826901435852	-0.072404206	No	
row_75	CXCL10	C-X-C motif chemokine ligand 10 [Source:HGNC Symbol;Acc:HGNC:10637]	22883	-0.7340085506439209	-0.06593307	No	
row_76	CD14	CD14 molecule [Source:HGNC Symbol;Acc:HGNC:1628]	22999	-0.7919151782989502	-0.06313996	No	
row_77	STAM2	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	23011	-0.7965393662452698	-0.05633055	No	
row_78	IL13RA1	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	23168	-0.8668352961540222	-0.054424226	No	
row_79	IFNGR1	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	23516	-1.0416605472564697	-0.05823009	No	
row_80	PIM1	Pim-1 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:8986]	23751	-1.1726667881011963	-0.056528635	No	
