NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNA1	cyclin A1 [Source:HGNC Symbol;Acc:HGNC:1577]	33	4.902825832366943	0.017302992	No	
row_1	GPRC5C	G protein-coupled receptor class C group 5 member C [Source:HGNC Symbol;Acc:HGNC:13309]	262	4.381152153015137	0.025145968	No	
row_2	GPR3	G protein-coupled receptor 3 [Source:HGNC Symbol;Acc:HGNC:4484]	373	4.191402435302734	0.036799144	No	
row_3	CKM	creatine kinase, M-type [Source:HGNC Symbol;Acc:HGNC:1994]	544	3.956326961517334	0.045259144	No	
row_4	DLK2	delta like non-canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:21113]	559	3.9308817386627197	0.059610106	No	
row_5	CLSTN3	calsyntenin 3 [Source:HGNC Symbol;Acc:HGNC:18371]	623	3.8481388092041016	0.07176704	No	
row_6	MTHFR	methylenetetrahydrofolate reductase [Source:HGNC Symbol;Acc:HGNC:7436]	646	3.8138997554779053	0.08536789	No	
row_7	SKIL	SKI like proto-oncogene [Source:HGNC Symbol;Acc:HGNC:10897]	667	3.78078556060791	0.09892008	No	
row_8	THNSL2	threonine synthase like 2 [Source:HGNC Symbol;Acc:HGNC:25602]	695	3.7620177268981934	0.11213252	No	
row_9	BMPR1B	bone morphogenetic protein receptor type 1B [Source:HGNC Symbol;Acc:HGNC:1077]	712	3.742083787918091	0.12569165	No	
row_10	PTPRJ	protein tyrosine phosphatase receptor type J [Source:HGNC Symbol;Acc:HGNC:9673]	827	3.6191580295562744	0.13502392	No	
row_11	NR6A1	nuclear receptor subfamily 6 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7985]	838	3.610562801361084	0.14831519	No	
row_12	TCF7L1	transcription factor 7 like 1 [Source:HGNC Symbol;Acc:HGNC:11640]	961	3.5016307830810547	0.15689528	No	
row_13	PLAG1	PLAG1 zinc finger [Source:HGNC Symbol;Acc:HGNC:9045]	995	3.4706735610961914	0.16877396	No	
row_14	SPHK2	sphingosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:18859]	1174	3.3412837982177734	0.17459743	No	
row_15	MYO15A	myosin XVA [Source:HGNC Symbol;Acc:HGNC:7594]	1218	3.31361985206604	0.18549748	No	
row_16	ZNF112	zinc finger protein 112 [Source:HGNC Symbol;Acc:HGNC:12892]	1364	3.212916612625122	0.1921013	No	
row_17	NR4A2	nuclear receptor subfamily 4 group A member 2 [Source:HGNC Symbol;Acc:HGNC:7981]	1620	3.054292917251587	0.19388251	No	
row_18	SYNPO	synaptopodin [Source:HGNC Symbol;Acc:HGNC:30672]	1626	3.0523781776428223	0.20525154	No	
row_19	RYR1	ryanodine receptor 1 [Source:HGNC Symbol;Acc:HGNC:10483]	1650	3.033430814743042	0.21585797	No	
row_20	KMT2D	lysine methyltransferase 2D [Source:HGNC Symbol;Acc:HGNC:7133]	2018	2.8516464233398438	0.21257305	No	
row_21	ADRA2C	adrenoceptor alpha 2C [Source:HGNC Symbol;Acc:HGNC:283]	2859	2.4639124870300293	0.18966566	No	
row_22	KCND1	potassium voltage-gated channel subfamily D member 1 [Source:HGNC Symbol;Acc:HGNC:6237]	3115	2.350036382675171	0.18877949	No	
row_23	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2 [Source:HGNC Symbol;Acc:HGNC:5209]	3225	2.30399751663208	0.19332246	No	
row_24	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	3503	2.189072608947754	0.19098225	No	
row_25	YBX2	Y-box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]	3653	2.1310479640960693	0.19333497	No	
row_26	CALCB	calcitonin related polypeptide beta [Source:HGNC Symbol;Acc:HGNC:1438]	3948	2.022566795349121	0.18971166	No	
row_27	IDUA	alpha-L-iduronidase [Source:HGNC Symbol;Acc:HGNC:5391]	5653	1.46431565284729	0.12985766	No	
row_28	ZC2HC1C	zinc finger C2HC-type containing 1C [Source:HGNC Symbol;Acc:HGNC:20354]	5825	1.4074816703796387	0.12862548	No	
row_29	GTF3C5	general transcription factor IIIC subunit 5 [Source:HGNC Symbol;Acc:HGNC:4668]	5969	1.3705922365188599	0.12832823	No	
row_30	TG	thyroglobulin [Source:HGNC Symbol;Acc:HGNC:11764]	5983	1.3657547235488892	0.13300212	No	
row_31	NPHS1	NPHS1 adhesion molecule, nephrin [Source:HGNC Symbol;Acc:HGNC:7908]	6007	1.3587919473648071	0.13726582	No	
row_32	TFCP2L1	transcription factor CP2 like 1 [Source:HGNC Symbol;Acc:HGNC:17925]	6082	1.3342236280441284	0.13947907	No	
row_33	ENTPD7	ectonucleoside triphosphate diphosphohydrolase 7 [Source:HGNC Symbol;Acc:HGNC:19745]	6116	1.3232005834579468	0.14322416	No	
row_34	ASB7	ankyrin repeat and SOCS box containing 7 [Source:HGNC Symbol;Acc:HGNC:17182]	6241	1.2847704887390137	0.1433311	No	
row_35	SLC30A3	solute carrier family 30 member 3 [Source:HGNC Symbol;Acc:HGNC:11014]	6319	1.2641454935073853	0.14516377	No	
row_36	CPEB3	cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]	6571	1.1984301805496216	0.14006938	No	
row_37	SHOX2	short stature homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10854]	6657	1.172776222229004	0.14124897	No	
row_38	CACNA1F	calcium voltage-gated channel subunit alpha1 F [Source:HGNC Symbol;Acc:HGNC:1393]	6731	1.1492886543273926	0.14280015	No	
row_39	THRB	thyroid hormone receptor beta [Source:HGNC Symbol;Acc:HGNC:11799]	6817	1.1248201131820679	0.1437981	No	
row_40	EDN2	endothelin 2 [Source:HGNC Symbol;Acc:HGNC:3177]	6885	1.1045353412628174	0.14541006	No	
row_41	TENT5C	terminal nucleotidyltransferase 5C [Source:HGNC Symbol;Acc:HGNC:24712]	7208	1.0158449411392212	0.13689913	No	
row_42	MFSD6	major facilitator superfamily domain containing 6 [Source:HGNC Symbol;Acc:HGNC:24711]	7392	0.9706589579582214	0.13355191	No	
row_43	NUDT11	nudix hydrolase 11 [Source:HGNC Symbol;Acc:HGNC:18011]	7926	0.8324193358421326	0.11624799	No	
row_44	COQ8A	coenzyme Q8A [Source:HGNC Symbol;Acc:HGNC:16812]	7984	0.8217546939849854	0.11717272	No	
row_45	RGS11	regulator of G protein signaling 11 [Source:HGNC Symbol;Acc:HGNC:9993]	8023	0.8147647976875305	0.1188002	No	
row_46	ITGB1BP2	integrin subunit beta 1 binding protein 2 [Source:HGNC Symbol;Acc:HGNC:6154]	8106	0.7955216765403748	0.11866607	No	
