NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	53	4.823783874511719	0.06513429	Yes	
row_1	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	378	4.184389591217041	0.111028604	Yes	
row_2	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	541	3.959911584854126	0.15997791	Yes	
row_3	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	1136	3.3634257316589355	0.18414263	Yes	
row_4	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	1350	3.2245728969573975	0.22090904	Yes	
row_5	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	1383	3.1994571685791016	0.26423076	Yes	
row_6	NUMB	NUMB endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8060]	1973	2.8684468269348145	0.2816952	Yes	
row_7	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	2195	2.7634921073913574	0.3117373	Yes	
row_8	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	3098	2.3578286170959473	0.3101523	Yes	
row_9	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	3178	2.321709632873535	0.33946112	Yes	
row_10	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	3783	2.0838944911956787	0.34543085	Yes	
row_11	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	4111	1.9669182300567627	0.36033934	Yes	
row_12	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	4132	1.9567350149154663	0.3868178	Yes	
row_13	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	4468	1.8421231508255005	0.3996837	Yes	
row_14	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	4496	1.8328496217727661	0.42417043	Yes	
row_15	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	4649	1.7847199440002441	0.44321844	Yes	
row_16	MAML1	mastermind like transcriptional coactivator 1 [Source:HGNC Symbol;Acc:HGNC:13632]	4657	1.7825771570205688	0.46776825	Yes	
row_17	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	5827	1.4071215391159058	0.44276184	Yes	
row_18	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	5964	1.3726764917373657	0.4566838	Yes	
row_19	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	6046	1.3440693616867065	0.47230574	Yes	
row_20	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	6418	1.238355040550232	0.4753927	Yes	
row_21	HDAC11	histone deacetylase 11 [Source:HGNC Symbol;Acc:HGNC:19086]	6712	1.1560741662979126	0.48030978	Yes	
row_22	CCND2	cyclin D2 [Source:HGNC Symbol;Acc:HGNC:1583]	7427	0.9635816812515259	0.46648625	No	
row_23	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	9288	0.5302718877792358	0.40291148	No	
row_24	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	10828	0.32195165753364563	0.34868234	No	
row_25	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	10951	0.3047925531864166	0.34827143	No	
row_26	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	11038	0.29099902510643005	0.34904188	No	
row_27	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	12267	0.03010585904121399	0.30261403	No	
row_28	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	18010	0.0	0.08356241	No	
row_29	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	20248	-0.06870365142822266	-8.2043954E-4	No	
row_30	DKK4	dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]	21348	-0.2631697356700897	-0.039082382	No	
row_31	HDAC2	histone deacetylase 2 [Source:HGNC Symbol;Acc:HGNC:4853]	22266	-0.49493855237960815	-0.06717455	No	
row_32	FZD1	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	22740	-0.6673867702484131	-0.07592774	No	
row_33	NKD1	NKD inhibitor of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:17045]	23257	-0.9068418145179749	-0.08298768	No	
row_34	TP53	tumor protein p53 [Source:HGNC Symbol;Acc:HGNC:11998]	23346	-0.9467339515686035	-0.07316447	No	
row_35	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	24127	-1.4086692333221436	-0.08330937	No	
row_36	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	24219	-1.4698289632797241	-0.06631813	No	
row_37	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	24267	-1.5112292766571045	-0.047071967	No	
row_38	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	24702	-1.860317587852478	-0.037729505	No	
row_39	MYC	MYC proto-oncogene, bHLH transcription factor [Source:HGNC Symbol;Acc:HGNC:7553]	25061	-2.207906484603882	-0.020648625	No	
row_40	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	25142	-2.302963972091675	0.008361062	No	
row_41	SKP2	S-phase kinase associated protein 2 [Source:HGNC Symbol;Acc:HGNC:10901]	25265	-2.443812370300293	0.037729368	No	
