NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	199	0.5892962	1.6176438	0.0	0.00254432	0.004	5249	tags=54%, list=20%, signal=67%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.50922763	1.2749794	0.098434	0.593243	0.848	7713	tags=70%, list=29%, signal=99%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.46533504	1.2681507	0.046153847	0.42772207	0.867	5416	tags=44%, list=21%, signal=55%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	157	0.4567639	1.245722	0.039674465	0.42870453	0.945	6657	tags=51%, list=25%, signal=68%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.45183343	1.238466	0.027383367	0.37231126	0.961	3751	tags=35%, list=14%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.4608049	1.2324474	0.08939709	0.33439592	0.969	7024	tags=48%, list=27%, signal=65%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.5233377	1.2271382	0.15494637	0.30598915	0.973	8164	tags=58%, list=31%, signal=85%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	0.45417017	1.2015618	0.11697722	0.36198017	0.988	7712	tags=52%, list=29%, signal=74%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.48030978	1.1571277	0.2363847	0.51530313	0.999	6712	tags=52%, list=26%, signal=70%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	198	0.41733387	1.1452527	0.14012097	0.521063	0.999	7443	tags=43%, list=28%, signal=60%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	0.42987382	1.124038	0.23248407	0.5797138	1.0	4865	tags=26%, list=19%, signal=32%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	200	0.4073022	1.1112387	0.1809909	0.59342927	1.0	4617	tags=29%, list=18%, signal=35%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	199	0.40072727	1.1016812	0.24064712	0.59630954	1.0	5991	tags=35%, list=23%, signal=45%	
