NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.5761382	-2.3139641	0.0	0.0	0.0	4263	tags=63%, list=16%, signal=74%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.46586463	-1.7772323	0.0	0.0054535014	0.001	3873	tags=52%, list=15%, signal=60%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	-0.47531965	-1.6788573	0.0	0.007271336	0.002	2449	tags=38%, list=9%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.45877692	-1.662185	0.0	0.0054535014	0.002	3387	tags=35%, list=13%, signal=40%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	200	-0.39489633	-1.4904166	0.0	0.02999945	0.016	2855	tags=25%, list=11%, signal=28%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	-0.38900426	-1.4875247	0.0	0.024999544	0.016	3528	tags=41%, list=13%, signal=46%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.36165223	-1.3683708	0.0	0.06467038	0.047	3205	tags=35%, list=12%, signal=40%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	199	-0.3443828	-1.3221986	0.0	0.0815818	0.064	2408	tags=25%, list=9%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.33589345	-1.2835501	0.0	0.10006743	0.085	3528	tags=33%, list=13%, signal=38%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	103	-0.35452706	-1.2630216	0.01754386	0.10031327	0.096	2798	tags=29%, list=11%, signal=32%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	199	-0.32758462	-1.2447633	0.0	0.10613317	0.111	2770	tags=27%, list=11%, signal=30%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	-0.32585528	-1.2403153	0.0	0.09925806	0.115	3203	tags=33%, list=12%, signal=37%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.31664833	-1.1895615	0.0	0.14081621	0.173	2002	tags=26%, list=8%, signal=28%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	-0.37386367	-1.1744077	0.18461539	0.14914404	0.199	3827	tags=20%, list=15%, signal=23%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	138	-0.31372634	-1.1668137	0.04	0.14761163	0.208	3231	tags=25%, list=12%, signal=29%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	-0.2737838	-1.0555197	0.0	0.3312919	0.432	2742	tags=30%, list=10%, signal=33%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.26636198	-0.97538275	0.6666667	0.5950885	0.663	3050	tags=28%, list=12%, signal=31%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	-0.31407344	-0.96905506	0.48872182	0.5814685	0.674	1950	tags=23%, list=7%, signal=25%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	-0.28687066	-0.9580933	0.5294118	0.5859875	0.698	3011	tags=32%, list=11%, signal=37%	
