NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	287	4.406183242797852	0.0029646053	No	
row_1	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	315	4.332455158233643	0.01567418	No	
row_2	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	443	4.089099884033203	0.02377361	No	
row_3	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	686	3.7640621662139893	0.026428035	No	
row_4	PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	708	3.7406649589538574	0.037490282	No	
row_5	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	1211	3.184709072113037	0.028327666	No	
row_6	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	1232	3.16676664352417	0.037607454	No	
row_7	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	1243	3.157850980758667	0.047242753	No	
row_8	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	1657	2.7892744541168213	0.04024137	No	
row_9	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	1743	2.725015878677368	0.045624863	No	
row_10	MAP4K3	mitogen-activated protein kinase kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6865]	1861	2.6278016567230225	0.04947175	No	
row_11	PIM3	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]	1883	2.613562822341919	0.05695797	No	
row_12	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	1930	2.5768864154815674	0.06336832	No	
row_13	BAZ2A	bromodomain adjacent to zinc finger domain 2A [Source:HGNC Symbol;Acc:HGNC:962]	1947	2.558709144592285	0.0708724	No	
row_14	LIPE	lipase E, hormone sensitive type [Source:HGNC Symbol;Acc:HGNC:6621]	2010	2.5093228816986084	0.076454304	No	
row_15	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	2083	2.450273275375366	0.08146505	No	
row_16	UBQLN1	ubiquilin 1 [Source:HGNC Symbol;Acc:HGNC:12508]	2231	2.3392679691314697	0.083245076	No	
row_17	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	2363	2.2512571811676025	0.08535995	No	
row_18	COL4A1	collagen type IV alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2202]	2377	2.2431044578552246	0.09197784	No	
row_19	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	2642	2.0672214031219482	0.08840423	No	
row_20	MCCC1	methylcrotonyl-CoA carboxylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:6936]	2791	1.995280385017395	0.08905449	No	
row_21	CCNG2	cyclin G2 [Source:HGNC Symbol;Acc:HGNC:1593]	3297	1.7294098138809204	0.07515941	No	
row_22	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	3387	1.6871016025543213	0.07709633	No	
row_23	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	3454	1.6516159772872925	0.07980341	No	
row_24	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	3481	1.640354871749878	0.084009975	No	
row_25	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	3727	1.499165654182434	0.07936328	No	
