NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL11	interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]	55	4.891740322113037	0.019128982	Yes	
row_1	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	139	4.7177581787109375	0.036427885	Yes	
row_2	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	194	4.610278129577637	0.054373138	Yes	
row_3	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	324	4.311822891235352	0.06814398	Yes	
row_4	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	345	4.27208948135376	0.08592575	Yes	
row_5	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	350	4.265792369842529	0.10429427	Yes	
row_6	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	404	4.15757417678833	0.120312266	Yes	
row_7	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	442	4.093081951141357	0.13666433	Yes	
row_8	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	499	4.0032758712768555	0.15189722	Yes	
row_9	APBB1	amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]	600	3.8675243854522705	0.16485195	Yes	
row_10	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	778	3.651754856109619	0.17391452	Yes	
row_11	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	1231	3.1692123413085938	0.17032729	Yes	
row_12	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	1249	3.150237798690796	0.18335314	Yes	
row_13	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	1307	3.10262131690979	0.19463702	Yes	
row_14	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	1335	3.0790398120880127	0.20696992	Yes	
row_15	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	1365	3.0433478355407715	0.21907108	Yes	
