NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	21	4.960032939910889	0.017020434	Yes	
row_1	ITGAM	integrin subunit alpha M [Source:HGNC Symbol;Acc:HGNC:6149]	59	4.881539821624756	0.03314468	Yes	
row_2	ZEB1	zinc finger E-box binding homeobox 1 [Source:HGNC Symbol;Acc:HGNC:11642]	115	4.758942604064941	0.048137456	Yes	
row_3	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	130	4.739109039306641	0.06463255	Yes	
row_4	TFPI2	tissue factor pathway inhibitor 2 [Source:HGNC Symbol;Acc:HGNC:11761]	131	4.737616539001465	0.08165961	Yes	
row_5	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	168	4.673600196838379	0.09707489	Yes	
row_6	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	196	4.603959083557129	0.112585306	Yes	
row_7	HSPA1A	heat shock protein family A (Hsp70) member 1A [Source:HGNC Symbol;Acc:HGNC:5232]	216	4.569805145263672	0.12828001	Yes	
row_8	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	234	4.528544902801514	0.1439032	Yes	
row_9	DOCK4	dedicator of cytokinesis 4 [Source:HGNC Symbol;Acc:HGNC:19192]	426	4.122530460357666	0.15138899	Yes	
row_10	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	968	3.437894105911255	0.14298105	Yes	
row_11	BRPF3	bromodomain and PHD finger containing 3 [Source:HGNC Symbol;Acc:HGNC:14256]	1349	3.064828872680664	0.13941155	Yes	
row_12	S100A13	S100 calcium binding protein A13 [Source:HGNC Symbol;Acc:HGNC:10490]	1387	3.0192320346832275	0.14884263	Yes	
row_13	CD55	CD55 molecule (Cromer blood group) [Source:HGNC Symbol;Acc:HGNC:2665]	1809	2.666454792022705	0.14226778	Yes	
row_14	RCE1	Ras converting CAAX endopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:13721]	1939	2.563734531402588	0.1465308	Yes	
row_15	SPOCK2	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2 [Source:HGNC Symbol;Acc:HGNC:13564]	1980	2.5299031734466553	0.1540881	Yes	
