NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX39A	DExD-box helicase 39A [Source:HGNC Symbol;Acc:HGNC:17821]	599	3.8683199882507324	-0.010158445	No	
row_1	ING3	inhibitor of growth family member 3 [Source:HGNC Symbol;Acc:HGNC:14587]	691	3.756708860397339	-0.0011898915	No	
row_2	ESPL1	extra spindle pole bodies like 1, separase [Source:HGNC Symbol;Acc:HGNC:16856]	725	3.714590549468994	0.009865013	No	
row_3	PNN	pinin, desmosome associated protein [Source:HGNC Symbol;Acc:HGNC:9162]	817	3.613556385040283	0.018358724	No	
row_4	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	933	3.4794416427612305	0.025486441	No	
row_5	LUC7L3	LUC7 like 3 pre-mRNA splicing factor [Source:HGNC Symbol;Acc:HGNC:24309]	972	3.433136463165283	0.03541585	No	
row_6	TRA2B	transformer 2 beta homolog [Source:HGNC Symbol;Acc:HGNC:10781]	991	3.4043593406677246	0.04601741	No	
row_7	WDR90	WD repeat domain 90 [Source:HGNC Symbol;Acc:HGNC:26960]	1277	3.1335935592651367	0.045473274	No	
row_8	UBE2S	ubiquitin conjugating enzyme E2 S [Source:HGNC Symbol;Acc:HGNC:17895]	1324	3.090303897857666	0.05395845	No	
row_9	SRSF2	serine and arginine rich splicing factor 2 [Source:HGNC Symbol;Acc:HGNC:10783]	1404	3.0027964115142822	0.060886808	No	
row_10	SPAG5	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	1443	2.9713938236236572	0.069284596	No	
row_11	SRSF1	serine and arginine rich splicing factor 1 [Source:HGNC Symbol;Acc:HGNC:10780]	1711	2.7492504119873047	0.06815642	No	
row_12	XPO1	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	2082	2.4508142471313477	0.06208515	No	
row_13	MCM7	minichromosome maintenance complex component 7 [Source:HGNC Symbol;Acc:HGNC:6950]	2094	2.443552255630493	0.06976833	No	
row_14	TACC3	transforming acidic coiled-coil containing protein 3 [Source:HGNC Symbol;Acc:HGNC:11524]	2104	2.4383339881896973	0.07751097	No	
row_15	HNRNPD	heterogeneous nuclear ribonucleoprotein D [Source:HGNC Symbol;Acc:HGNC:5036]	2359	2.2535104751586914	0.075237356	No	
row_16	ILF3	interleukin enhancer binding factor 3 [Source:HGNC Symbol;Acc:HGNC:6038]	2470	2.1794285774230957	0.078244776	No	
row_17	POLE	DNA polymerase epsilon, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9177]	2636	2.072887659072876	0.07878787	No	
row_18	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527]	2644	2.0662617683410645	0.08537309	No	
row_19	SMC4	structural maintenance of chromosomes 4 [Source:HGNC Symbol;Acc:HGNC:14013]	2758	2.0074732303619385	0.08769499	No	
row_20	H2AZ1	H2A.Z variant histone 1 [Source:HGNC Symbol;Acc:HGNC:4741]	2879	1.9473050832748413	0.08954864	No	
row_21	CKS2	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	2968	1.9009736776351929	0.09247678	No	
row_22	HUS1	HUS1 checkpoint clamp component [Source:HGNC Symbol;Acc:HGNC:5309]	3024	1.8682407140731812	0.09656289	No	
row_23	PAN2	poly(A) specific ribonuclease subunit PAN2 [Source:HGNC Symbol;Acc:HGNC:20074]	3248	1.7550288438796997	0.09382558	No	
row_24	HMGB2	high mobility group box 2 [Source:HGNC Symbol;Acc:HGNC:5000]	3384	1.687497854232788	0.09424174	No	
row_25	RAD21	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	3512	1.621894359588623	0.09474733	No	
row_26	PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D [Source:HGNC Symbol;Acc:HGNC:9277]	3660	1.5307992696762085	0.09418314	No	
row_27	GINS3	GINS complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25851]	3793	1.4717189073562622	0.09399869	No	
row_28	SMC3	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:HGNC:2468]	3899	1.4259620904922485	0.094698735	No	
row_29	EXOSC8	exosome component 8 [Source:HGNC Symbol;Acc:HGNC:17035]	4110	1.3386380672454834	0.09107918	No	
row_30	NASP	nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]	4208	1.297263264656067	0.09165937	No	
row_31	NUP153	nucleoporin 153 [Source:HGNC Symbol;Acc:HGNC:8062]	4322	1.2461763620376587	0.091456	No	
row_32	STAG1	stromal antigen 1 [Source:HGNC Symbol;Acc:HGNC:11354]	4490	1.1658328771591187	0.088913605	No	
row_33	ATAD2	ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]	4494	1.1628607511520386	0.092655726	No	
row_34	TIPIN	TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]	4678	1.0899611711502075	0.08924757	No	
row_35	PSMC3IP	PSMC3 interacting protein [Source:HGNC Symbol;Acc:HGNC:17928]	4709	1.0777618885040283	0.09167114	No	
row_36	PDS5B	PDS5 cohesin associated factor B [Source:HGNC Symbol;Acc:HGNC:20418]	4752	1.0646462440490723	0.09359064	No	
row_37	RAD1	RAD1 checkpoint DNA exonuclease [Source:HGNC Symbol;Acc:HGNC:9806]	4935	0.9942604303359985	0.08990342	No	
row_38	DEK	DEK proto-oncogene [Source:HGNC Symbol;Acc:HGNC:2768]	4969	0.9810909628868103	0.09189119	No	
row_39	MRE11	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	4985	0.975789487361908	0.09455223	No	
row_40	EIF2S1	eukaryotic translation initiation factor 2 subunit alpha [Source:HGNC Symbol;Acc:HGNC:3265]	5314	0.8803187012672424	0.084883526	No	
row_41	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	5653	0.796068012714386	0.07455156	No	
row_42	KPNA2	karyopherin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:6395]	5773	0.7650259137153625	0.07252192	No	
row_43	TBRG4	transforming growth factor beta regulator 4 [Source:HGNC Symbol;Acc:HGNC:17443]	5908	0.7326996922492981	0.06980935	No	
row_44	MXD3	MAX dimerization protein 3 [Source:HGNC Symbol;Acc:HGNC:14008]	5948	0.7233474850654602	0.07071189	No	
row_45	DONSON	DNA replication fork stabilization factor DONSON [Source:HGNC Symbol;Acc:HGNC:2993]	6090	0.6824369430541992	0.067563936	No	
row_46	CDKN2C	cyclin dependent kinase inhibitor 2C [Source:HGNC Symbol;Acc:HGNC:1789]	6134	0.6709428429603577	0.06813913	No	
row_47	POLD1	DNA polymerase delta 1, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9175]	6162	0.6621025800704956	0.06929908	No	
