NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DHRS2	dehydrogenase/reductase 2 [Source:HGNC Symbol;Acc:HGNC:18349]	36	4.935912132263184	0.015387286	No	
row_1	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	38	4.933154106140137	0.032108516	No	
row_2	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	39	4.93228816986084	0.04886518	No	
row_3	TGIF2	TGFB induced factor homeobox 2 [Source:HGNC Symbol;Acc:HGNC:15764]	263	4.455715656280518	0.05544395	No	
row_4	ELOVL2	ELOVL fatty acid elongase 2 [Source:HGNC Symbol;Acc:HGNC:14416]	270	4.445321559906006	0.07031594	No	
row_5	HES1	hes family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5192]	653	3.7948014736175537	0.068546884	No	
row_6	RARA	retinoic acid receptor alpha [Source:HGNC Symbol;Acc:HGNC:9864]	730	3.7074801921844482	0.07822555	No	
row_7	PMAIP1	phorbol-12-myristate-13-acetate-induced protein 1 [Source:HGNC Symbol;Acc:HGNC:9108]	839	3.5857651233673096	0.08626255	No	
row_8	MED13L	mediator complex subunit 13L [Source:HGNC Symbol;Acc:HGNC:22962]	843	3.57942533493042	0.09830794	No	
row_9	MICB	MHC class I polypeptide-related sequence B [Source:HGNC Symbol;Acc:HGNC:7091]	888	3.5289955139160156	0.1086084	No	
row_10	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	934	3.4793665409088135	0.11870188	No	
row_11	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1117	3.276865243911743	0.122849286	No	
row_12	NRIP1	nuclear receptor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8001]	1553	2.874798059463501	0.11592051	No	
row_13	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1774	2.6964805126190186	0.1166377	No	
row_14	ELOVL5	ELOVL fatty acid elongase 5 [Source:HGNC Symbol;Acc:HGNC:21308]	1825	2.657193422317505	0.123746075	No	
row_15	FARP1	FERM, ARH/RhoGEF and pleckstrin domain protein 1 [Source:HGNC Symbol;Acc:HGNC:3591]	1838	2.6434946060180664	0.13226636	No	
row_16	CYP26B1	cytochrome P450 family 26 subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:20581]	1963	2.5409326553344727	0.13613962	No	
row_17	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	2158	2.396631956100464	0.136836	No	
row_18	TIPARP	TCDD inducible poly(ADP-ribose) polymerase [Source:HGNC Symbol;Acc:HGNC:23696]	2655	2.0570666790008545	0.124787904	No	
row_19	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	2686	2.0383729934692383	0.13056155	No	
row_20	ELF1	E74 like ETS transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:3316]	2704	2.0311334133148193	0.13680953	No	
row_21	RRP12	ribosomal RNA processing 12 homolog [Source:HGNC Symbol;Acc:HGNC:29100]	2835	1.9753999710083008	0.1385312	No	
row_22	SLC37A1	solute carrier family 37 member 1 [Source:HGNC Symbol;Acc:HGNC:11024]	3022	1.8689510822296143	0.13774192	No	
row_23	NPY1R	neuropeptide Y receptor Y1 [Source:HGNC Symbol;Acc:HGNC:7956]	3091	1.8313795328140259	0.14135388	No	
row_24	EGR3	early growth response 3 [Source:HGNC Symbol;Acc:HGNC:3240]	3200	1.781705379486084	0.14326186	No	
row_25	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	3239	1.759892463684082	0.14778236	No	
row_26	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	3402	1.6770243644714355	0.14726217	No	
row_27	SLC22A5	solute carrier family 22 member 5 [Source:HGNC Symbol;Acc:HGNC:10969]	3535	1.6067405939102173	0.14765461	No	
row_28	AREG	amphiregulin [Source:HGNC Symbol;Acc:HGNC:651]	3619	1.557515025138855	0.14976045	No	
row_29	SYT12	synaptotagmin 12 [Source:HGNC Symbol;Acc:HGNC:18381]	3629	1.549224853515625	0.15467827	No	
