NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	HOMER1	homer scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:17512]	688	3.7617862224578857	-0.013741684	No	
row_1	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	696	3.7533490657806396	-0.0013747544	No	
row_2	B3GAT1	beta-1,3-glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:921]	881	3.5337109565734863	0.0034594461	No	
row_3	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	934	3.4793665409088135	0.013176902	No	
row_4	IER3	immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]	1344	3.072391986846924	0.0078225015	No	
row_5	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	1362	3.051985263824463	0.017444497	No	
row_6	PHKA2	phosphorylase kinase regulatory subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8926]	1480	2.945035219192505	0.022868413	No	
row_7	ZNF292	zinc finger protein 292 [Source:HGNC Symbol;Acc:HGNC:18410]	1730	2.7335658073425293	0.022514215	No	
row_8	DPYSL4	dihydropyrimidinase like 4 [Source:HGNC Symbol;Acc:HGNC:3016]	1815	2.663451671600342	0.028256737	No	
row_9	MIOX	myo-inositol oxygenase [Source:HGNC Symbol;Acc:HGNC:14522]	1819	2.661245107650757	0.037100635	No	
row_10	IRS2	insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]	1859	2.6279826164245605	0.044450864	No	
row_11	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	2148	2.4011380672454834	0.04148072	No	
row_12	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	2158	2.396631956100464	0.049203523	No	
row_13	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group) [Source:HGNC Symbol;Acc:HGNC:47]	2355	2.255514621734619	0.049274128	No	
row_14	MERTK	MER proto-oncogene, tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7027]	2527	2.144660234451294	0.049931057	No	
row_15	PSMC4	proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]	2544	2.1342954635620117	0.056502044	No	
row_16	P4HA2	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]	2605	2.0926620960235596	0.061244138	No	
row_17	ARTN	artemin [Source:HGNC Symbol;Acc:HGNC:727]	2630	2.078645944595337	0.06732074	No	
row_18	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	2642	2.0672214031219482	0.07385782	No	
row_19	MED24	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]	2686	2.0383729934692383	0.07906962	No	
row_20	AGRN	agrin [Source:HGNC Symbol;Acc:HGNC:329]	3054	1.8515676259994507	0.071217306	No	
row_21	TPST1	tyrosylprotein sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:12020]	3083	1.833519458770752	0.07631517	No	
row_22	CHPF2	chondroitin polymerizing factor 2 [Source:HGNC Symbol;Acc:HGNC:29270]	3184	1.786390781402588	0.078490995	No	
row_23	MET	MET proto-oncogene, receptor tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:7029]	3254	1.751165747642517	0.081738025	No	
row_24	PPP2CB	protein phosphatase 2 catalytic subunit beta [Source:HGNC Symbol;Acc:HGNC:9300]	3335	1.7114242315292358	0.08442908	No	
row_25	EXT1	exostosin glycosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3512]	3655	1.5345911979675293	0.07735193	No	
row_26	PMM2	phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]	3683	1.519290566444397	0.08143032	No	
row_27	GNPDA1	glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]	3834	1.4556397199630737	0.08057366	No	
row_28	NANP	N-acetylneuraminic acid phosphatase [Source:HGNC Symbol;Acc:HGNC:16140]	3852	1.4472180604934692	0.08479323	No	
row_29	SLC16A3	solute carrier family 16 member 3 [Source:HGNC Symbol;Acc:HGNC:10924]	3881	1.433176040649414	0.08854335	No	
row_30	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase [Source:HGNC Symbol;Acc:HGNC:23657]	4132	1.3283571004867554	0.08342016	No	
