NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	11	4.970636367797852	0.017207056	Yes	
row_1	IL1RL1	interleukin 1 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:5998]	18	4.962414264678955	0.03457685	Yes	
row_2	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	61	4.8727126121521	0.050246853	Yes	
row_3	CD83	CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]	96	4.811553001403809	0.06600698	Yes	
row_4	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	151	4.693045616149902	0.08057922	Yes	
row_5	MAFF	MAF bZIP transcription factor F [Source:HGNC Symbol;Acc:HGNC:6780]	168	4.673600196838379	0.09654089	Yes	
row_6	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	194	4.610278129577637	0.11193257	Yes	
row_7	IKZF4	IKAROS family zinc finger 4 [Source:HGNC Symbol;Acc:HGNC:13179]	273	4.433500289916992	0.1246632	Yes	
row_8	AGER	advanced glycosylation end-product specific receptor [Source:HGNC Symbol;Acc:HGNC:320]	322	4.312300205230713	0.13811533	Yes	
row_9	DENND5A	DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]	323	4.31190824508667	0.15340826	Yes	
row_10	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	345	4.27208948135376	0.16775401	Yes	
row_11	SOCS2	suppressor of cytokine signaling 2 [Source:HGNC Symbol;Acc:HGNC:19382]	382	4.196084022521973	0.1812545	Yes	
row_12	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	408	4.149330139160156	0.19501136	Yes	
row_13	NFKBIZ	NFKB inhibitor zeta [Source:HGNC Symbol;Acc:HGNC:29805]	496	4.014801502227783	0.20591159	Yes	
row_14	COL6A1	collagen type VI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2211]	741	3.6925113201141357	0.20964327	Yes	
row_15	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	773	3.657592535018921	0.22142582	Yes	
row_16	ODC1	ornithine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:8109]	830	3.5978286266326904	0.23203692	Yes	
row_17	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	965	3.439157485961914	0.23909172	Yes	
row_18	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	973	3.432777166366577	0.25099802	Yes	
row_19	POU2F1	POU class 2 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9212]	1172	3.22436785697937	0.25483477	Yes	
row_20	SNX9	sorting nexin 9 [Source:HGNC Symbol;Acc:HGNC:14973]	1521	2.9097397327423096	0.2517988	Yes	
row_21	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1574	2.8608224391937256	0.2599495	Yes	
row_22	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	1655	2.789548873901367	0.26677284	Yes	
row_23	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	1756	2.71051287651062	0.27254826	Yes	
row_24	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	1913	2.5914063453674316	0.275752	Yes	
row_25	PLAGL1	PLAG1 like zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:9046]	1934	2.5684657096862793	0.28409395	Yes	
row_26	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	2046	2.4788904190063477	0.28862572	Yes	
row_27	HYCC2	hyccin PI4KA lipid kinase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28593]	2088	2.4478023052215576	0.29573372	Yes	
row_28	PNP	purine nucleoside phosphorylase [Source:HGNC Symbol;Acc:HGNC:7892]	2251	2.3230032920837402	0.29775527	Yes	
row_29	CYFIP1	cytoplasmic FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:13759]	2286	2.29585599899292	0.30459306	Yes	
row_30	NOP2	NOP2 nucleolar protein [Source:HGNC Symbol;Acc:HGNC:7867]	2324	2.2780075073242188	0.3112524	Yes	
row_31	HUWE1	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]	2415	2.2164437770843506	0.31565928	Yes	
row_32	MAPKAPK2	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	2565	2.1202073097229004	0.3174605	Yes	
row_33	ITGAV	integrin subunit alpha V [Source:HGNC Symbol;Acc:HGNC:6150]	2595	2.1015126705169678	0.32380092	Yes	
row_34	PUS1	pseudouridine synthase 1 [Source:HGNC Symbol;Acc:HGNC:15508]	2600	2.0995373725891113	0.33109376	Yes	
row_35	IL10RA	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	2653	2.0591394901275635	0.33640116	Yes	
row_36	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	2909	1.9264758825302124	0.33344713	Yes	
row_37	HIPK2	homeodomain interacting protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:14402]	2945	1.913665533065796	0.33889103	Yes	
row_38	CDC6	cell division cycle 6 [Source:HGNC Symbol;Acc:HGNC:1744]	3259	1.748343586921692	0.33307922	No	
row_39	LRIG1	leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]	3402	1.6770243644714355	0.33357728	No	
row_40	SPRED2	sprouty related EVH1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:17722]	3504	1.6265288591384888	0.33546978	No	
row_41	NCOA3	nuclear receptor coactivator 3 [Source:HGNC Symbol;Acc:HGNC:7670]	3707	1.5086488723754883	0.33306795	No	
row_42	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	4144	1.322851538658142	0.32102647	No	
row_43	XBP1	X-box binding protein 1 [Source:HGNC Symbol;Acc:HGNC:12801]	4278	1.2643446922302246	0.3204063	No	
