NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CXCL3	C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]	67	4.864770412445068	0.039990265	Yes	
row_1	CXCL1	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	130	4.739109039306641	0.07907248	Yes	
row_2	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	194	4.610278129577637	0.11698964	Yes	
row_3	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	234	4.528544902801514	0.15510905	Yes	
row_4	SOCS3	suppressor of cytokine signaling 3 [Source:HGNC Symbol;Acc:HGNC:19391]	250	4.498397350311279	0.19388193	Yes	
row_5	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	324	4.311822891235352	0.22880644	Yes	
row_6	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	414	4.138491153717041	0.26160344	Yes	
row_7	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1117	3.276865243911743	0.26343852	Yes	
row_8	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	1184	3.210761070251465	0.2889999	Yes	
row_9	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	1230	3.169447898864746	0.3150024	Yes	
row_10	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	1756	2.71051287651062	0.31864774	Yes	
row_11	IL1R2	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	1913	2.5914063453674316	0.3353525	Yes	
row_12	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1976	2.533033609390259	0.35513887	Yes	
row_13	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1977	2.5324511528015137	0.37728944	Yes	
row_14	TYK2	tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12440]	2084	2.449154853820801	0.39466068	Yes	
row_15	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	2280	2.3007874488830566	0.4073331	Yes	
row_16	PDGFC	platelet derived growth factor C [Source:HGNC Symbol;Acc:HGNC:8801]	3177	1.7911834716796875	0.38875973	No	
row_17	ITGB3	integrin subunit beta 3 [Source:HGNC Symbol;Acc:HGNC:6156]	3922	1.4163504838943481	0.37271646	No	
row_18	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	4144	1.322851538658142	0.3758416	No	
row_19	STAT2	signal transducer and activator of transcription 2 [Source:HGNC Symbol;Acc:HGNC:11363]	4748	1.0661596059799194	0.36212355	No	
