NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	21	4.960032939910889	0.019080693	Yes	
row_1	COL6A2	collagen type VI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2212]	52	4.900695323944092	0.037578054	Yes	
row_2	ENO3	enolase 3 [Source:HGNC Symbol;Acc:HGNC:3354]	61	4.8727126121521	0.05680759	Yes	
row_3	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	139	4.7177581787109375	0.07276761	Yes	
row_4	GADD45B	growth arrest and DNA damage inducible beta [Source:HGNC Symbol;Acc:HGNC:4096]	151	4.693045616149902	0.09116165	Yes	
row_5	ACTN2	actinin alpha 2 [Source:HGNC Symbol;Acc:HGNC:164]	196	4.603959083557129	0.10793196	Yes	
row_6	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	209	4.579864025115967	0.12583382	Yes	
row_7	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	315	4.332455158233643	0.13917437	Yes	
row_8	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	504	3.992429733276367	0.14796606	Yes	
row_9	CHRNB1	cholinergic receptor nicotinic beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:1961]	605	3.860302686691284	0.15960546	Yes	
row_10	IFRD1	interferon related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]	652	3.7956063747406006	0.173058	Yes	
row_11	DMPK	DM1 protein kinase [Source:HGNC Symbol;Acc:HGNC:2933]	709	3.7404732704162598	0.18590571	Yes	
row_12	EIF4A2	eukaryotic translation initiation factor 4A2 [Source:HGNC Symbol;Acc:HGNC:3284]	783	3.643267869949341	0.1977112	Yes	
row_13	STC2	stanniocalcin 2 [Source:HGNC Symbol;Acc:HGNC:11374]	934	3.4793665409088135	0.20590426	Yes	
row_14	LPIN1	lipin 1 [Source:HGNC Symbol;Acc:HGNC:13345]	1134	3.2648539543151855	0.21135662	Yes	
row_15	PPP1R3C	protein phosphatase 1 regulatory subunit 3C [Source:HGNC Symbol;Acc:HGNC:9293]	1435	2.97830867767334	0.2117837	Yes	
row_16	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1622	2.819805860519409	0.21595065	Yes	
row_17	MEF2D	myocyte enhancer factor 2D [Source:HGNC Symbol;Acc:HGNC:6997]	1801	2.6722702980041504	0.2198331	Yes	
