NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	1527	2.9046239852905273	-0.049892023	No	
row_1	MTRF1	mitochondrial translation release factor 1 [Source:HGNC Symbol;Acc:HGNC:7469]	1664	2.780874490737915	-0.046768267	No	
row_2	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	1708	2.753446340560913	-0.04015743	No	
row_3	ACADVL	acyl-CoA dehydrogenase very long chain [Source:HGNC Symbol;Acc:HGNC:92]	1709	2.7495763301849365	-0.031907853	No	
row_4	HSPA9	heat shock protein family A (Hsp70) member 9 [Source:HGNC Symbol;Acc:HGNC:5244]	1798	2.6732382774353027	-0.027264781	No	
row_5	BAX	BCL2 associated X, apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:959]	1846	2.636218547821045	-0.021159187	No	
row_6	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	1864	2.624856948852539	-0.01393627	No	
row_7	ISCU	iron-sulfur cluster assembly enzyme [Source:HGNC Symbol;Acc:HGNC:29882]	1914	2.590564012527466	-0.008044413	No	
row_8	SUPV3L1	Suv3 like RNA helicase [Source:HGNC Symbol;Acc:HGNC:11471]	2125	2.4230990409851074	-0.00883424	No	
row_9	DLST	dihydrolipoamide S-succinyltransferase [Source:HGNC Symbol;Acc:HGNC:2911]	2331	2.2734055519104004	-0.0098812925	No	
row_10	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3 [Source:HGNC Symbol;Acc:HGNC:11647]	2509	2.1551074981689453	-0.010208625	No	
row_11	ATP6V0B	ATPase H+ transporting V0 subunit b [Source:HGNC Symbol;Acc:HGNC:861]	2614	2.0892887115478516	-0.00793167	No	
row_12	ATP6V0C	ATPase H+ transporting V0 subunit c [Source:HGNC Symbol;Acc:HGNC:855]	3460	1.6487656831741333	-0.035416257	No	
row_13	HCCS	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]	3664	1.5282979011535645	-0.038622104	No	
row_14	MTRR	5-methyltetrahydrofolate-homocysteine methyltransferase reductase [Source:HGNC Symbol;Acc:HGNC:7473]	3971	1.3949133157730103	-0.046181317	No	
row_15	PMPCA	peptidase, mitochondrial processing subunit alpha [Source:HGNC Symbol;Acc:HGNC:18667]	4091	1.343963623046875	-0.046716273	No	
row_16	CPT1A	carnitine palmitoyltransferase 1A [Source:HGNC Symbol;Acc:HGNC:2328]	4287	1.2602719068527222	-0.050419237	No	
row_17	PDP1	pyruvate dehydrogenase phosphatase catalytic subunit 1 [Source:HGNC Symbol;Acc:HGNC:9279]	4510	1.1560158729553223	-0.055471268	No	
row_18	ATP6V1D	ATPase H+ transporting V1 subunit D [Source:HGNC Symbol;Acc:HGNC:13527]	4581	1.128316044807434	-0.054772597	No	
row_19	TIMM50	translocase of inner mitochondrial membrane 50 [Source:HGNC Symbol;Acc:HGNC:23656]	4589	1.1240429878234863	-0.05166878	No	
row_20	SLC25A3	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	4931	0.9956180453300476	-0.061769318	No	
