NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	38	4.933154106140137	0.011391962	No	
row_1	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	94	4.8173112869262695	0.021829696	No	
row_2	TSPYL2	TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]	160	4.680391788482666	0.031526968	No	
row_3	SPHK1	sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]	209	4.579864025115967	0.041614838	No	
row_4	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	244	4.51008415222168	0.05205826	No	
row_5	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	345	4.27208948135376	0.059348628	No	
row_6	H2AC25	H2A clustered histone 25 [Source:HGNC Symbol;Acc:HGNC:20507]	392	4.186575889587402	0.06848878	No	
row_7	BAIAP2	BAR/IMD domain containing adaptor protein 2 [Source:HGNC Symbol;Acc:HGNC:947]	412	4.140714168548584	0.078545734	No	
row_8	JUN	Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]	414	4.138491153717041	0.08928774	No	
row_9	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	481	4.029102325439453	0.09725008	No	
row_10	IP6K2	inositol hexakisphosphate kinase 2 [Source:HGNC Symbol;Acc:HGNC:17313]	671	3.7757673263549805	0.09983172	No	
row_11	RCHY1	ring finger and CHY zinc finger domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17479]	689	3.758444309234619	0.10896966	No	
row_12	MXD1	MAX dimerization protein 1 [Source:HGNC Symbol;Acc:HGNC:6761]	773	3.657592535018921	0.11531179	No	
row_13	OSGIN1	oxidative stress induced growth inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:30093]	782	3.644291400909424	0.124497786	No	
row_14	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	894	3.5173115730285645	0.12939985	No	
row_15	RGS16	regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]	965	3.439157485961914	0.13567191	No	
row_16	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	973	3.432777166366577	0.14434531	No	
row_17	IER5	immediate early response 5 [Source:HGNC Symbol;Acc:HGNC:5393]	1007	3.3838751316070557	0.15189345	No	
