NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AKT3	AKT serine/threonine kinase 3 [Source:HGNC Symbol;Acc:HGNC:393]	106	4.797451496124268	0.19424564	No	
row_1	MAFB	MAF bZIP transcription factor B [Source:HGNC Symbol;Acc:HGNC:6408]	5211	0.9058182239532471	0.03698739	No	
row_2	CHGA	chromogranin A [Source:HGNC Symbol;Acc:HGNC:1929]	6146	0.666358470916748	0.028900983	No	
row_3	PKLR	pyruvate kinase L/R [Source:HGNC Symbol;Acc:HGNC:9020]	7187	0.47070935368537903	0.008684483	No	
row_4	FOXA2	forkhead box A2 [Source:HGNC Symbol;Acc:HGNC:5022]	7872	0.385175883769989	-0.0014872903	No	
row_5	NKX6-1	NK6 homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7839]	8166	0.3441711366176605	0.0015612459	No	
row_6	G6PC2	glucose-6-phosphatase catalytic subunit 2 [Source:HGNC Symbol;Acc:HGNC:28906]	8234	0.3329024910926819	0.012765043	No	
row_7	PAX6	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]	8303	0.3237805962562561	0.023553666	No	
row_8	ABCC8	ATP binding cassette subfamily C member 8 [Source:HGNC Symbol;Acc:HGNC:59]	9401	0.1440882831811905	-0.012337122	No	
row_9	DCX	doublecortin [Source:HGNC Symbol;Acc:HGNC:2714]	11774	0.0	-0.10281967	No	
row_10	PCSK2	proprotein convertase subtilisin/kexin type 2 [Source:HGNC Symbol;Acc:HGNC:8744]	11842	0.0	-0.10537546	No	
row_11	GCG	glucagon [Source:HGNC Symbol;Acc:HGNC:4191]	12001	0.0	-0.11140254	No	
row_12	HNF1A	HNF1 homeobox A [Source:HGNC Symbol;Acc:HGNC:11621]	12213	0.0	-0.11945137	No	
row_13	INS	insulin [Source:HGNC Symbol;Acc:HGNC:6081]	12260	0.0	-0.12120609	No	
row_14	NKX2-2	NK2 homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7835]	12709	0.0	-0.13829555	No	
row_15	IAPP	islet amyloid polypeptide [Source:HGNC Symbol;Acc:HGNC:5329]	12734	0.0	-0.13921104	No	
row_16	NEUROD1	neuronal differentiation 1 [Source:HGNC Symbol;Acc:HGNC:7762]	12737	0.0	-0.13928734	No	
row_17	NEUROG3	neurogenin 3 [Source:HGNC Symbol;Acc:HGNC:13806]	12777	0.0	-0.14077504	No	
row_18	SST	somatostatin [Source:HGNC Symbol;Acc:HGNC:11329]	13464	0.0	-0.16694327	No	
row_19	SYT13	synaptotagmin 13 [Source:HGNC Symbol;Acc:HGNC:14962]	14098	0.0	-0.19108975	No	
row_20	PAX4	paired box 4 [Source:HGNC Symbol;Acc:HGNC:8618]	14626	0.0	-0.21119274	No	
row_21	INSM1	INSM transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:6090]	15128	0.0	-0.23030393	No	
row_22	SCGN	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]	15675	0.0	-0.2511317	No	
row_23	SLC2A2	solute carrier family 2 member 2 [Source:HGNC Symbol;Acc:HGNC:11006]	17464	0.0	-0.31933692	No	
row_24	STXBP1	syntaxin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:11444]	17593	-0.029185006394982338	-0.32301337	No	
row_25	GCK	glucokinase [Source:HGNC Symbol;Acc:HGNC:4195]	17860	-0.07239387929439545	-0.330168	No	
row_26	PDX1	pancreatic and duodenal homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6107]	18167	-0.12211580574512482	-0.33679342	No	
row_27	PCSK1	proprotein convertase subtilisin/kexin type 1 [Source:HGNC Symbol;Acc:HGNC:8743]	18801	-0.22556966543197632	-0.35161662	No	
row_28	FOXO1	forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]	19039	-0.266366571187973	-0.34964773	No	
row_29	SRP14	signal recognition particle 14 [Source:HGNC Symbol;Acc:HGNC:11299]	19057	-0.26838651299476624	-0.3392032	No	
row_30	LMO2	LIM domain only 2 [Source:HGNC Symbol;Acc:HGNC:6642]	19548	-0.3691830337047577	-0.34263566	No	
row_31	PAK3	p21 (RAC1) activated kinase 3 [Source:HGNC Symbol;Acc:HGNC:8592]	19699	-0.39681658148765564	-0.33195627	No	
row_32	ISL1	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	21905	-1.0371509790420532	-0.3732007	Yes	
row_33	SRP9	signal recognition particle 9 [Source:HGNC Symbol;Acc:HGNC:11304]	22678	-1.3276394605636597	-0.34777528	Yes	
row_34	VDR	vitamin D receptor [Source:HGNC Symbol;Acc:HGNC:12679]	23380	-1.5925960540771484	-0.30869022	Yes	
row_35	SEC11A	SEC11 homolog A, signal peptidase complex subunit [Source:HGNC Symbol;Acc:HGNC:17718]	23666	-1.7126051187515259	-0.24877615	Yes	
row_36	ELP4	elongator acetyltransferase complex subunit 4 [Source:HGNC Symbol;Acc:HGNC:1171]	23676	-1.717057466506958	-0.17814973	Yes	
row_37	SRPRB	SRP receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:24085]	24299	-1.9782882928848267	-0.12010964	Yes	
row_38	SPCS1	signal peptidase complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:23401]	24444	-2.0501668453216553	-0.040864807	Yes	
row_39	DPP4	dipeptidyl peptidase 4 [Source:HGNC Symbol;Acc:HGNC:3009]	25465	-2.6582462787628174	0.030097282	Yes	
