NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	11	4.970636367797852	0.015811926	Yes	
row_1	ASNS	asparagine synthetase (glutamine-hydrolyzing) [Source:HGNC Symbol;Acc:HGNC:753]	37	4.935398101806641	0.03097233	Yes	
row_2	FOS	Fos proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3796]	38	4.933154106140137	0.04708333	Yes	
row_3	PDLIM3	PDZ and LIM domain 3 [Source:HGNC Symbol;Acc:HGNC:20767]	39	4.93228816986084	0.0631915	Yes	
row_4	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3797]	44	4.923713207244873	0.07911841	Yes	
row_5	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	94	4.8173112869262695	0.092973545	Yes	
row_6	NR4A1	nuclear receptor subfamily 4 group A member 1 [Source:HGNC Symbol;Acc:HGNC:7980]	181	4.642456531524658	0.10483989	Yes	
row_7	MSX1	msh homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7391]	190	4.623493194580078	0.11963305	Yes	
row_8	POLG2	DNA polymerase gamma 2, accessory subunit [Source:HGNC Symbol;Acc:HGNC:9180]	192	4.614116668701172	0.1346638	Yes	
row_9	IRF1	interferon regulatory factor 1 [Source:HGNC Symbol;Acc:HGNC:6116]	234	4.528544902801514	0.1478824	Yes	
row_10	NFKBIA	NFKB inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:7797]	239	4.51996374130249	0.16249071	Yes	
row_11	FGF18	fibroblast growth factor 18 [Source:HGNC Symbol;Acc:HGNC:3674]	262	4.460201263427734	0.17621414	Yes	
row_12	HLA-F	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	290	4.403463840484619	0.18956068	Yes	
row_13	NXF1	nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]	309	4.349141597747803	0.20307468	Yes	
row_14	DNAJB1	DnaJ heat shock protein family (Hsp40) member B1 [Source:HGNC Symbol;Acc:HGNC:5270]	330	4.304606914520264	0.21636659	Yes	
row_15	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	337	4.287153720855713	0.23013794	Yes	
row_16	COL2A1	collagen type II alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2200]	379	4.205531120300293	0.24230163	Yes	
row_17	CXCL2	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]	400	4.175780296325684	0.2551728	Yes	
row_18	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	417	4.133305549621582	0.26805854	Yes	
row_19	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	459	4.0643086433410645	0.27976102	Yes	
row_20	RRAD	RRAD, Ras related glycolysis inhibitor and calcium channel regulator [Source:HGNC Symbol;Acc:HGNC:10446]	481	4.029102325439453	0.29211485	Yes	
row_21	EIF5	eukaryotic translation initiation factor 5 [Source:HGNC Symbol;Acc:HGNC:3299]	692	3.7563743591308594	0.29633605	Yes	
row_22	HSPA13	heat shock protein family A (Hsp70) member 13 [Source:HGNC Symbol;Acc:HGNC:11375]	779	3.6490368843078613	0.30495802	Yes	
row_23	EPCAM	epithelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:11529]	922	3.4904067516326904	0.3109162	Yes	
row_24	H2AX	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	933	3.4794416427612305	0.3218964	Yes	
row_25	BMP2	bone morphogenetic protein 2 [Source:HGNC Symbol;Acc:HGNC:1069]	973	3.432777166366577	0.331613	Yes	
row_26	NUP58	nucleoporin 58 [Source:HGNC Symbol;Acc:HGNC:20261]	1043	3.350444793701172	0.33991122	Yes	
row_27	STIP1	stress induced phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:11387]	1048	3.348792314529419	0.35069463	Yes	
row_28	IL6ST	interleukin 6 cytokine family signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	1117	3.276865243911743	0.35879087	Yes	
row_29	PARP2	poly(ADP-ribose) polymerase 2 [Source:HGNC Symbol;Acc:HGNC:272]	1156	3.2414746284484863	0.36792102	Yes	
row_30	TARS1	threonyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:11572]	1220	3.178480386734009	0.3758875	Yes	
row_31	AGO2	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]	1273	3.1372017860412598	0.3841407	Yes	
row_32	ATP6V1C1	ATPase H+ transporting V1 subunit C1 [Source:HGNC Symbol;Acc:HGNC:856]	1527	2.9046239852905273	0.38393256	Yes	
row_33	SLC6A8	solute carrier family 6 member 8 [Source:HGNC Symbol;Acc:HGNC:11055]	1622	2.819805860519409	0.38953987	Yes	
row_34	ALAS1	5'-aminolevulinate synthase 1 [Source:HGNC Symbol;Acc:HGNC:396]	1708	2.753446340560913	0.3952753	Yes	
row_35	SELENOW	selenoprotein W [Source:HGNC Symbol;Acc:HGNC:10752]	1759	2.707296133041382	0.4022011	Yes	
row_36	HNRNPU	heterogeneous nuclear ribonucleoprotein U [Source:HGNC Symbol;Acc:HGNC:5048]	1768	2.7004504203796387	0.41071385	Yes	
row_37	PPIF	peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]	1774	2.6964805126190186	0.4193286	Yes	
row_38	CYP1A1	cytochrome P450 family 1 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2595]	1793	2.6777122020721436	0.42738393	Yes	
row_39	PRPF3	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	1800	2.672508955001831	0.43588206	Yes	
row_40	JUNB	JunB proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6205]	1904	2.5977554321289062	0.44041932	Yes	
row_41	GLS	glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]	1951	2.547875165939331	0.44697773	Yes	
row_42	HMOX1	heme oxygenase 1 [Source:HGNC Symbol;Acc:HGNC:5013]	1977	2.5324511528015137	0.45429045	Yes	
row_43	CLCN2	chloride voltage-gated channel 2 [Source:HGNC Symbol;Acc:HGNC:2020]	2029	2.4919064044952393	0.4604745	Yes	
row_44	CDKN1C	cyclin dependent kinase inhibitor 1C [Source:HGNC Symbol;Acc:HGNC:1786]	2046	2.4788904190063477	0.46795714	Yes	
row_45	PRKCD	protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]	2059	2.46867036819458	0.47555968	Yes	
row_46	ENO2	enolase 2 [Source:HGNC Symbol;Acc:HGNC:3353]	2148	2.4011380672454834	0.48002955	Yes	
row_47	FKBP4	FKBP prolyl isomerase 4 [Source:HGNC Symbol;Acc:HGNC:3720]	2158	2.396631956100464	0.48751178	Yes	
row_48	YKT6	YKT6 v-SNARE homolog [Source:HGNC Symbol;Acc:HGNC:16959]	2196	2.366210460662842	0.49382177	Yes	
row_49	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]	2275	2.302529811859131	0.49835277	Yes	
row_50	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	2280	2.3007874488830566	0.5057136	Yes	
row_51	BCL2L11	BCL2 like 11 [Source:HGNC Symbol;Acc:HGNC:994]	2296	2.290591239929199	0.51261955	Yes	
row_52	STARD3	StAR related lipid transfer domain containing 3 [Source:HGNC Symbol;Acc:HGNC:17579]	2386	2.238018274307251	0.5165184	Yes	
row_53	DLG4	discs large MAGUK scaffold protein 4 [Source:HGNC Symbol;Acc:HGNC:2903]	2454	2.189908266067505	0.5211031	Yes	
row_54	CDC5L	cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]	2817	1.9831936359405518	0.5137091	No	
row_55	PTPRD	protein tyrosine phosphatase receptor type D [Source:HGNC Symbol;Acc:HGNC:9668]	2866	1.9519308805465698	0.5182446	No	
row_56	HSPA2	heat shock protein family A (Hsp70) member 2 [Source:HGNC Symbol;Acc:HGNC:5235]	3275	1.7403150796890259	0.5082949	No	
row_57	MARK2	microtubule affinity regulating kinase 2 [Source:HGNC Symbol;Acc:HGNC:3332]	3321	1.717299461364746	0.5121791	No	
row_58	APOM	apolipoprotein M [Source:HGNC Symbol;Acc:HGNC:13916]	3390	1.6852837800979614	0.5150774	No	
row_59	CEBPG	CCAAT enhancer binding protein gamma [Source:HGNC Symbol;Acc:HGNC:1837]	3548	1.596377968788147	0.5142752	No	
row_60	RXRB	retinoid X receptor beta [Source:HGNC Symbol;Acc:HGNC:10478]	3713	1.5063881874084473	0.51291084	No	
row_61	OLFM1	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	3935	1.410003423690796	0.5090476	No	
row_62	C4BPB	complement component 4 binding protein beta [Source:HGNC Symbol;Acc:HGNC:1328]	4321	1.2464503049850464	0.49836627	No	
row_63	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	4632	1.108603835105896	0.49010852	No	
row_64	SLC6A12	solute carrier family 6 member 12 [Source:HGNC Symbol;Acc:HGNC:11045]	4640	1.1068880558013916	0.49345523	No	
row_65	CASP3	caspase 3 [Source:HGNC Symbol;Acc:HGNC:1504]	5048	0.9580109715461731	0.48098892	No	
row_66	CCK	cholecystokinin [Source:HGNC Symbol;Acc:HGNC:1569]	5152	0.9231486320495605	0.48005712	No	
row_67	POLR2H	RNA polymerase II, I and III subunit H [Source:HGNC Symbol;Acc:HGNC:9195]	5198	0.910101056098938	0.48130512	No	
row_68	CDO1	cysteine dioxygenase type 1 [Source:HGNC Symbol;Acc:HGNC:1795]	5217	0.9042012095451355	0.4835684	No	
row_69	PPAT	phosphoribosyl pyrophosphate amidotransferase [Source:HGNC Symbol;Acc:HGNC:9238]	5276	0.8878501653671265	0.4842456	No	
row_70	WIZ	WIZ zinc finger [Source:HGNC Symbol;Acc:HGNC:30917]	5320	0.878802478313446	0.48546803	No	
row_71	AMD1	adenosylmethionine decarboxylase 1 [Source:HGNC Symbol;Acc:HGNC:457]	5478	0.8427583575248718	0.48220456	No	
row_72	CDK2	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	5495	0.8377000093460083	0.48432732	No	
row_73	NPTXR	neuronal pentraxin receptor [Source:HGNC Symbol;Acc:HGNC:7954]	5524	0.8298529982566833	0.48596463	No	
row_74	TFRC	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]	5653	0.796068012714386	0.48365986	No	
row_75	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	5798	0.7575482726097107	0.48061624	No	
row_76	FURIN	furin, paired basic amino acid cleaving enzyme [Source:HGNC Symbol;Acc:HGNC:8568]	6042	0.6932623982429504	0.4735693	No	
row_77	RHOB	ras homolog family member B [Source:HGNC Symbol;Acc:HGNC:668]	6054	0.6893736124038696	0.4753992	No	
row_78	SLC25A4	solute carrier family 25 member 4 [Source:HGNC Symbol;Acc:HGNC:10990]	6069	0.6864063739776611	0.47710449	No	
row_79	NPTX2	neuronal pentraxin 2 [Source:HGNC Symbol;Acc:HGNC:7953]	6075	0.6851687431335449	0.47915056	No	
row_80	BTG1	BTG anti-proliferation factor 1 [Source:HGNC Symbol;Acc:HGNC:1130]	6302	0.6254299879074097	0.47253346	No	
row_81	DGAT1	diacylglycerol O-acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:2843]	6344	0.6172724962234497	0.47297838	No	
row_82	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]	6702	0.5353851318359375	0.46104768	No	
row_83	CHRNA5	cholinergic receptor nicotinic alpha 5 subunit [Source:HGNC Symbol;Acc:HGNC:1959]	7278	0.4592520594596863	0.4405152	No	
row_84	GAL	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]	8394	0.31232014298439026	0.39881158	No	
row_85	LHX2	LIM homeobox 2 [Source:HGNC Symbol;Acc:HGNC:6594]	8404	0.3111448884010315	0.3994829	No	
row_86	CDC34	cell division cycle 34, ubiqiutin conjugating enzyme [Source:HGNC Symbol;Acc:HGNC:1734]	8520	0.2917987108230591	0.3960294	No	
row_87	ONECUT1	one cut homeobox 1 [Source:HGNC Symbol;Acc:HGNC:8138]	8882	0.23852118849754333	0.3829759	No	
row_88	EIF2S3	eukaryotic translation initiation factor 2 subunit gamma [Source:HGNC Symbol;Acc:HGNC:3267]	8901	0.2348974496126175	0.38305333	No	
row_89	ALDOA	aldolase, fructose-bisphosphate A [Source:HGNC Symbol;Acc:HGNC:414]	9104	0.19950778782367706	0.37596485	No	
row_90	CCNE1	cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]	9372	0.14950211346149445	0.36622244	No	
row_91	CTSV	cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]	9374	0.14925354719161987	0.36667156	No	
row_92	ARRB2	arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]	9562	0.1087287962436676	0.35986134	No	
row_93	TYRO3	TYRO3 protein tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:12446]	9736	0.06124284490942955	0.3534325	No	
row_94	SHOX2	short stature homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10854]	10255	0.0	0.33358422	No	
row_95	NTRK3	neurotrophic receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:8033]	10460	0.0	0.32576755	No	
row_96	NKX2-5	NK2 homeobox 5 [Source:HGNC Symbol;Acc:HGNC:2488]	12706	0.0	0.23974562	No	
row_97	TACR3	tachykinin receptor 3 [Source:HGNC Symbol;Acc:HGNC:11528]	13877	0.0	0.1949146	No	
row_98	GCH1	GTP cyclohydrolase 1 [Source:HGNC Symbol;Acc:HGNC:4193]	17612	-0.032610535621643066	0.051944993	No	
row_99	PLCL1	phospholipase C like 1 (inactive) [Source:HGNC Symbol;Acc:HGNC:9063]	17695	-0.04570559784770012	0.04895226	No	
row_100	KCNH2	potassium voltage-gated channel subfamily H member 2 [Source:HGNC Symbol;Acc:HGNC:6251]	17829	-0.06609927117824554	0.044071954	No	
row_101	MRPL23	mitochondrial ribosomal protein L23 [Source:HGNC Symbol;Acc:HGNC:10322]	18084	-0.10901579260826111	0.03469544	No	
row_102	FMO1	flavin containing dimethylaniline monoxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]	18093	-0.11114789545536041	0.034751896	No	
row_103	BTG3	BTG anti-proliferation factor 3 [Source:HGNC Symbol;Acc:HGNC:1132]	18483	-0.17249666154384613	0.020409888	No	
row_104	GRINA	glutamate ionotropic receptor NMDA type subunit associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4589]	18794	-0.22420290112495422	0.009263799	No	
row_105	GRPEL1	GrpE like 1, mitochondrial [Source:HGNC Symbol;Acc:HGNC:19696]	19545	-0.36892202496528625	-0.018269187	No	
row_106	ACAA1	acetyl-CoA acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:82]	19676	-0.39345449209213257	-0.021965444	No	
row_107	MGAT1	alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:7044]	19708	-0.398617684841156	-0.021851445	No	
row_108	TCHH	trichohyalin [Source:HGNC Symbol;Acc:HGNC:11791]	19750	-0.4069175720214844	-0.022093508	No	
row_109	PSMC3	proteasome 26S subunit, ATPase 3 [Source:HGNC Symbol;Acc:HGNC:9549]	20242	-0.5182600617408752	-0.039214645	No	
row_110	TGFBRAP1	transforming growth factor beta receptor associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16836]	20298	-0.5329142212867737	-0.039581664	No	
row_111	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	20598	-0.6168853044509888	-0.04902382	No	
row_112	RET	ret proto-oncogene [Source:HGNC Symbol;Acc:HGNC:9967]	20770	-0.6684893369674683	-0.05339285	No	
row_113	SULT1A1	sulfotransferase family 1A member 1 [Source:HGNC Symbol;Acc:HGNC:11453]	20787	-0.6724738478660583	-0.051809717	No	
