NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DLL1	delta like canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:2908]	148	4.698424816131592	0.07692587	Yes	
row_1	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	1024	3.3648006916046143	0.102679774	Yes	
row_2	FZD8	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	1505	2.9254794120788574	0.13578174	Yes	
row_3	AXIN2	axin 2 [Source:HGNC Symbol;Acc:HGNC:904]	2237	2.3335659503936768	0.1489058	Yes	
row_4	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	2260	2.3162035942077637	0.18877237	Yes	
row_5	AXIN1	axin 1 [Source:HGNC Symbol;Acc:HGNC:903]	2320	2.2803311347961426	0.22659698	Yes	
row_6	NUMB	NUMB endocytic adaptor protein [Source:HGNC Symbol;Acc:HGNC:8060]	2441	2.2004520893096924	0.2606907	Yes	
row_7	JAG2	jagged canonical Notch ligand 2 [Source:HGNC Symbol;Acc:HGNC:6189]	2832	1.9765156507492065	0.2805486	Yes	
row_8	RBPJ	recombination signal binding protein for immunoglobulin kappa J region [Source:HGNC Symbol;Acc:HGNC:5724]	3099	1.8262110948562622	0.3024955	Yes	
row_9	WNT6	Wnt family member 6 [Source:HGNC Symbol;Acc:HGNC:12785]	3160	1.7998684644699097	0.33183813	Yes	
row_10	ADAM17	ADAM metallopeptidase domain 17 [Source:HGNC Symbol;Acc:HGNC:195]	3479	1.640699863433838	0.34854105	Yes	
row_11	MAML1	mastermind like transcriptional coactivator 1 [Source:HGNC Symbol;Acc:HGNC:13632]	3657	1.534040093421936	0.3687485	Yes	
row_12	HEY1	hes related family bHLH transcription factor with YRPW motif 1 [Source:HGNC Symbol;Acc:HGNC:4880]	4230	1.2856416702270508	0.36952162	Yes	
row_13	NCSTN	nicastrin [Source:HGNC Symbol;Acc:HGNC:17091]	5298	0.883999764919281	0.34435236	Yes	
row_14	FRAT1	FRAT regulator of WNT signaling pathway 1 [Source:HGNC Symbol;Acc:HGNC:3944]	5530	0.8277212381362915	0.35008663	Yes	
row_15	KAT2A	lysine acetyltransferase 2A [Source:HGNC Symbol;Acc:HGNC:4201]	5589	0.8130736351013184	0.36216325	Yes	
row_16	NOTCH1	notch receptor 1 [Source:HGNC Symbol;Acc:HGNC:7881]	5634	0.8039971590042114	0.37461445	Yes	
row_17	CUL1	cullin 1 [Source:HGNC Symbol;Acc:HGNC:2551]	6284	0.6293947100639343	0.36091697	No	
row_18	NCOR2	nuclear receptor corepressor 2 [Source:HGNC Symbol;Acc:HGNC:7673]	6894	0.5065466165542603	0.34658647	No	
row_19	NOTCH4	notch receptor 4 [Source:HGNC Symbol;Acc:HGNC:7884]	7112	0.4781017005443573	0.34671047	No	
row_20	PTCH1	patched 1 [Source:HGNC Symbol;Acc:HGNC:9585]	7809	0.3940320312976837	0.32708362	No	
row_21	HEY2	hes related family bHLH transcription factor with YRPW motif 2 [Source:HGNC Symbol;Acc:HGNC:4881]	8101	0.3515441119670868	0.32216042	No	
row_22	TCF7	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	8956	0.22422508895397186	0.2935218	No	
row_23	DVL2	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]	9812	0.04038841277360916	0.2616142	No	
row_24	WNT1	Wnt family member 1 [Source:HGNC Symbol;Acc:HGNC:12774]	15551	0.0	0.042715177	No	
row_25	PPARD	peroxisome proliferator activated receptor delta [Source:HGNC Symbol;Acc:HGNC:9235]	18154	-0.11981762945652008	-0.054442827	No	
row_26	WNT5B	Wnt family member 5B [Source:HGNC Symbol;Acc:HGNC:16265]	18558	-0.18331179022789001	-0.066595286	No	
row_27	LEF1	lymphoid enhancer binding factor 1 [Source:HGNC Symbol;Acc:HGNC:6551]	18921	-0.24501581490039825	-0.076099224	No	
row_28	DKK4	dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]	19022	-0.2631697356700897	-0.07528908	No	
row_29	PSEN2	presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]	19300	-0.31598031520843506	-0.0803032	No	
row_30	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:2891]	20239	-0.5179564356803894	-0.106984206	No	
row_31	HDAC5	histone deacetylase 5 [Source:HGNC Symbol;Acc:HGNC:14068]	20301	-0.5334503054618835	-0.09993623	No	
