NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LCAT	lecithin-cholesterol acyltransferase [Source:HGNC Symbol;Acc:HGNC:6522]	318	4.325109481811523	0.003059128	No	
row_1	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	350	4.265792369842529	0.016923659	No	
row_2	UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	358	4.249334812164307	0.031651203	No	
row_3	GABARAPL1	GABA type A receptor associated protein like 1 [Source:HGNC Symbol;Acc:HGNC:4068]	408	4.149330139160156	0.044413913	No	
row_4	SLC12A4	solute carrier family 12 member 4 [Source:HGNC Symbol;Acc:HGNC:10913]	517	3.9626991748809814	0.05425363	No	
row_5	DDAH2	dimethylarginine dimethylaminohydrolase 2 [Source:HGNC Symbol;Acc:HGNC:2716]	538	3.9320366382598877	0.06736248	No	
row_6	LPIN2	lipin 2 [Source:HGNC Symbol;Acc:HGNC:14450]	564	3.901217222213745	0.080170676	No	
row_7	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	633	3.815545082092285	0.09102624	No	
row_8	MARCHF6	membrane associated ring-CH-type finger 6 [Source:HGNC Symbol;Acc:HGNC:30550]	683	3.7655153274536133	0.102434434	No	
row_9	ID2	inhibitor of DNA binding 2 [Source:HGNC Symbol;Acc:HGNC:5361]	715	3.7334911823272705	0.11442044	No	
row_10	GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group) [Source:HGNC Symbol;Acc:HGNC:4204]	932	3.4798941612243652	0.11841139	No	
row_11	SLC22A1	solute carrier family 22 member 1 [Source:HGNC Symbol;Acc:HGNC:10963]	1076	3.3161938190460205	0.12462629	No	
row_12	SERTAD1	SERTA domain containing 1 [Source:HGNC Symbol;Acc:HGNC:17932]	1108	3.283475875854492	0.13502416	No	
row_13	HES6	hes family bHLH transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:18254]	1229	3.1704652309417725	0.14160748	No	
row_14	AP4B1	adaptor related protein complex 4 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:572]	1501	2.929232597351074	0.14154427	No	
row_15	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2 [Source:HGNC Symbol;Acc:HGNC:812]	1660	2.782491683959961	0.14530002	No	
