NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
HTR4	1	ENSG00000164270	
HTR6	1	ENSG00000158748	
HTR7	1	ENSG00000148680	
BBX	1	ENSG00000114439	
ENSG00000242816	1	ENSG00000242816	
EXOC3-AS1	1	ENSG00000221990	
WDR83OS	1	ENSG00000105583	
DHDH	1	ENSG00000104808	
BCR	1	ENSG00000186716	
VOPP1	1	ENSG00000154978	
CLEC20A	1	ENSG00000188585	
COL13A1	1	ENSG00000197467	
FOXP1-IT1	1	ENSG00000242094	
BNC2-AS1	1	ENSG00000234779	
GTF2IRD2B	1	ENSG00000174428	
MYOM3-AS1	1	ENSG00000230703	
SPAG5-AS1	1	ENSG00000227543	
DHFR	1	ENSG00000228716	
DELEC1	1	ENSG00000173077	
STRC	1	ENSG00000242866	
STRN	1	ENSG00000115808	
BBC3	1	ENSG00000105327	
STUM	1	ENSG00000203685	
MYBPC3	1	ENSG00000134571	
MYBPC1	1	ENSG00000196091	
MYBPC2	1	ENSG00000086967	
FLJ20021	1	ENSG00000254531	
BGN	1	ENSG00000182492	
TMEFF1	1	ENSG00000241697	
TMEFF2	1	ENSG00000144339	
TRDD2	1	ENSG00000237235	
TRDD3	1	ENSG00000228985	
TRDD1	1	ENSG00000223997	
VCAN-AS1	1	ENSG00000249835	
PAXBP1-AS1	1	ENSG00000238197	
STX6	1	ENSG00000135823	
STX5	1	ENSG00000162236	
STX4	1	ENSG00000103496	
STX3	1	ENSG00000166900	
BID	1	ENSG00000015475	
STX2	1	ENSG00000111450	
SPDEF	1	ENSG00000124664	
MBD3	1	ENSG00000071655	
MBD4	1	ENSG00000129071	
MBD5	1	ENSG00000204406	
MBD6	1	ENSG00000166987	
BIK	1	ENSG00000100290	
MBD1	1	ENSG00000141644	
MBD2	1	ENSG00000134046	
ENSG00000205890	1	ENSG00000205890	
TMEM217B	1	ENSG00000286105	
FBXO27	1	ENSG00000161243	
FBXO28	1	ENSG00000143756	
FBXO25	1	ENSG00000147364	
FBXO24	1	ENSG00000106336	
FBXO21	1	ENSG00000135108	
MCHR2-AS1	1	ENSG00000229315	
FBXO22	1	ENSG00000167196	
FADS3	1	ENSG00000221968	
FADS2	1	ENSG00000134824	
FNTA	1	ENSG00000168522	
MYBPHL	1	ENSG00000221986	
IGHD2OR15-2B	1	ENSG00000282268	
FADS6	1	ENSG00000172782	
FNTB	1	ENSG00000257365	
IGHD2OR15-2A	1	ENSG00000282599	
FADS1	1	ENSG00000149485	
RXYLT1-AS1	1	ENSG00000255850	
STX8	1	ENSG00000170310	
FBXO16	1	ENSG00000214050	
STX7	1	ENSG00000079950	
FBXO17	1	ENSG00000269190	
FBXO15	1	ENSG00000141665	
MIR583HG	1	ENSG00000250551	
FBXO10	1	ENSG00000147912	
FBXO11	1	ENSG00000138081	
MINPP1	1	ENSG00000107789	
BLK	1	ENSG00000136573	
BLM	1	ENSG00000197299	
PDZRN3-AS1	1	ENSG00000239677	
IREB2	1	ENSG00000136381	
FBXO47	1	ENSG00000204952	
FBXO48	1	ENSG00000204923	
FBXO45	1	ENSG00000174013	
FBXO46	1	ENSG00000177051	
FBXO43	1	ENSG00000156509	
FBXO44	1	ENSG00000132879	
FBXO41	1	ENSG00000163013	
FBXO42	1	ENSG00000037637	
FBXO40	1	ENSG00000163833	
FAM111A-DT	1	ENSG00000245571	
FAM90A8	1	ENSG00000285937	
FAM90A9	1	ENSG00000285607	
MBIP	1	ENSG00000151332	
BMF	1	ENSG00000104081	
HTR1E	1	ENSG00000168830	
HTR1F	1	ENSG00000179097	
FBXO38	1	ENSG00000145868	
FBXO39	1	ENSG00000177294	
HTR1D	1	ENSG00000179546	
STYX	1	ENSG00000198252	
FBXO36	1	ENSG00000153832	
HTR1A	1	ENSG00000178394	
HTR1B	1	ENSG00000135312	
FAM90A7	1	ENSG00000285975	
FBXO34	1	ENSG00000178974	
RGMB-AS1	1	ENSG00000246763	
BMX	1	ENSG00000102010	
FBXO32	1	ENSG00000156804	
FBXO33	1	ENSG00000165355	
FBXO30	1	ENSG00000118496	
FBXO31	1	ENSG00000103264	
FAM90A1	1	ENSG00000171847	
AGAP1-IT1	1	ENSG00000235529	
HTR2B	1	ENSG00000135914	
EDRF1-DT	1	ENSG00000224023	
PPWD1	1	ENSG00000113593	
HTR2C	1	ENSG00000147246	
HTR2A	1	ENSG00000102468	
HCFC1-AS1	1	ENSG00000235802	
BOC	1	ENSG00000144857	
SPDL1	1	ENSG00000040275	
MBL2	1	ENSG00000165471	
BOK	1	ENSG00000176720	
SLC36A1	1	ENSG00000123643	
SLC36A3	1	ENSG00000186334	
SLC36A2	1	ENSG00000186335	
ASTN2-AS1	1	ENSG00000229105	
VPS13C	1	ENSG00000129003	
HTR3E	1	ENSG00000186038	
VPS13D	1	ENSG00000048707	
DHPS	1	ENSG00000095059	
HTR3C	1	ENSG00000178084	
VPS13A	1	ENSG00000197969	
VPS13B	1	ENSG00000132549	
HTR3D	1	ENSG00000186090	
HTR3A	1	ENSG00000166736	
LOC124904478	1	ENSG00000223881	
HTR3B	1	ENSG00000149305	
RABGGTB	1	ENSG00000137955	
RABGGTA	1	ENSG00000100949	
C1D	1	ENSG00000197223	
BPI	1	ENSG00000101425	
TOLLIP-DT	1	ENSG00000255153	
C1S	1	ENSG00000182326	
C1R	1	ENSG00000159403	
IL2RG	1	ENSG00000147168	
CNPY2-AS1	1	ENSG00000257303	
TSPOAP1	1	ENSG00000005379	
BBLN	1	ENSG00000171159	
SLC36A4	1	ENSG00000180773	
MYG1-AS1	1	ENSG00000257605	
GPKOW	1	ENSG00000068394	
TRDJ2	1	ENSG00000211827	
TRDJ3	1	ENSG00000211828	
FOXP1-DT	1	ENSG00000270562	
TRDJ1	1	ENSG00000211825	
HTR5A	1	ENSG00000157219	
IL2RA	1	ENSG00000134460	
ANKRD62P1-PARP4P3	1	ENSG00000189295	
TRDJ4	1	ENSG00000211826	
IL2RB	1	ENSG00000100385	
CDRT15	1	ENSG00000223510	
LGALSL	1	ENSG00000119862	
PEX26	1	ENSG00000215193	
LGALS4	1	ENSG00000171747	
C4B	1	ENSG00000224389	
LGALS3	1	ENSG00000131981	
C4A	1	ENSG00000244731	
LGALS2	1	ENSG00000100079	
LGALS1	1	ENSG00000100097	
IL36A	1	ENSG00000136694	
