NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIFR	LIF receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6597]	107	4.681271553039551	0.01111312	No	
row_1	C3	complement C3 [Source:HGNC Symbol;Acc:HGNC:1318]	118	4.659010887145996	0.02587676	No	
row_2	ITGA7	integrin subunit alpha 7 [Source:HGNC Symbol;Acc:HGNC:6143]	224	4.461257457733154	0.03635133	No	
row_3	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:HGNC Symbol;Acc:HGNC:8874]	260	4.387683868408203	0.04927332	No	
row_4	PHLDB1	pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]	510	3.9931769371032715	0.052699286	No	
row_5	PIM3	Pim-3 proto-oncogene, serine/threonine kinase [Source:HGNC Symbol;Acc:HGNC:19310]	883	3.563556432723999	0.050007682	No	
row_6	CRAT	carnitine O-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:2342]	1115	3.3812448978424072	0.052134976	No	
row_7	ACADS	acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]	1197	3.324180841445923	0.05983379	No	
row_8	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	1212	3.3160815238952637	0.07007776	No	
row_9	PPP1R15B	protein phosphatase 1 regulatory subunit 15B [Source:HGNC Symbol;Acc:HGNC:14951]	1258	3.29115629196167	0.0790509	No	
row_10	RAB34	RAB34, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16519]	1395	3.1894278526306152	0.08420069	No	
row_11	ADCY6	adenylate cyclase 6 [Source:HGNC Symbol;Acc:HGNC:237]	1404	3.1856422424316406	0.09425085	No	
row_12	MIGA2	mitoguardin 2 [Source:HGNC Symbol;Acc:HGNC:23621]	1443	3.1614954471588135	0.1030711	No	
row_13	UBC	ubiquitin C [Source:HGNC Symbol;Acc:HGNC:12468]	1645	3.0375373363494873	0.105232336	No	
row_14	NABP1	nucleic acid binding protein 1 [Source:HGNC Symbol;Acc:HGNC:26232]	1663	3.026052474975586	0.114418216	No	
row_15	CHUK	component of inhibitor of nuclear factor kappa B kinase complex [Source:HGNC Symbol;Acc:HGNC:1974]	1725	2.9962615966796875	0.121818505	No	
row_16	ABCB8	ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]	1866	2.9182894229888916	0.12593324	No	
row_17	LTC4S	leukotriene C4 synthase [Source:HGNC Symbol;Acc:HGNC:6719]	2315	2.6918790340423584	0.11749072	No	
row_18	GPAT4	glycerol-3-phosphate acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20880]	2318	2.691005229949951	0.12616299	No	
row_19	ITSN1	intersectin 1 [Source:HGNC Symbol;Acc:HGNC:6183]	2610	2.5635550022125244	0.12332898	No	
row_20	RREB1	ras responsive element binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10449]	2903	2.4381885528564453	0.12004899	No	
row_21	ESYT1	extended synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:29534]	2991	2.397531270980835	0.12450479	No	
row_22	RIOK3	RIO kinase 3 [Source:HGNC Symbol;Acc:HGNC:11451]	3101	2.3564701080322266	0.12798272	No	
