NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLU	clusterin [Source:HGNC Symbol;Acc:HGNC:2095]	64	4.796769618988037	0.034398895	Yes	
row_1	ATF3	activating transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:785]	229	4.45467472076416	0.062350634	Yes	
row_2	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	246	4.410280227661133	0.09561434	Yes	
row_3	CHKA	choline kinase alpha [Source:HGNC Symbol;Acc:HGNC:1937]	334	4.2441182136535645	0.12488988	Yes	
row_4	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	799	3.6509995460510254	0.13521	Yes	
row_5	ANTXR2	ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]	868	3.5782699584960938	0.16009696	Yes	
row_6	NFIL3	nuclear factor, interleukin 3 regulated [Source:HGNC Symbol;Acc:HGNC:7787]	1046	3.432276487350464	0.17969924	Yes	
row_7	TRIB3	tribbles pseudokinase 3 [Source:HGNC Symbol;Acc:HGNC:16228]	1314	3.2539708614349365	0.19449437	Yes	
row_8	ATXN2	ataxin 2 [Source:HGNC Symbol;Acc:HGNC:10555]	1770	2.972503662109375	0.19994679	Yes	
row_9	CBS	cystathionine beta-synthase [Source:HGNC Symbol;Acc:HGNC:1550]	2445	2.6392602920532227	0.19447477	Yes	
row_10	PLAUR	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]	2469	2.6302032470703125	0.21379855	Yes	
row_11	ANXA5	annexin A5 [Source:HGNC Symbol;Acc:HGNC:543]	2514	2.610816478729248	0.23217131	Yes	
row_12	GLDC	glycine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4313]	2791	2.4945859909057617	0.24078993	Yes	
row_13	LSS	lanosterol synthase [Source:HGNC Symbol;Acc:HGNC:6708]	3457	2.213459014892578	0.23239115	Yes	
row_14	CPEB2	cytoplasmic polyadenylation element binding protein 2 [Source:HGNC Symbol;Acc:HGNC:21745]	3664	2.126796245574951	0.24085853	Yes	
row_15	STARD4	StAR related lipid transfer domain containing 4 [Source:HGNC Symbol;Acc:HGNC:18058]	3789	2.0814054012298584	0.2521093	Yes	
row_16	LDLR	low density lipoprotein receptor [Source:HGNC Symbol;Acc:HGNC:6547]	3918	2.0344910621643066	0.26284692	Yes	
row_17	ATF5	activating transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:790]	4290	1.9030425548553467	0.2632934	Yes	
row_18	TMEM97	transmembrane protein 97 [Source:HGNC Symbol;Acc:HGNC:28106]	4462	1.8431679010391235	0.27091908	Yes	
row_19	PNRC1	proline rich nuclear receptor coactivator 1 [Source:HGNC Symbol;Acc:HGNC:17278]	4504	1.8292180299758911	0.28340307	Yes	
row_20	PPARG	peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]	5312	1.564062476158142	0.26459256	No	
row_21	CTNNB1	catenin beta 1 [Source:HGNC Symbol;Acc:HGNC:2514]	5964	1.3726764917373657	0.25027058	No	
row_22	ERRFI1	ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]	6055	1.3426183462142944	0.25714546	No	
row_23	NIBAN1	niban apoptosis regulator 1 [Source:HGNC Symbol;Acc:HGNC:16784]	6100	1.3285503387451172	0.2656693	No	
row_24	HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1 [Source:HGNC Symbol;Acc:HGNC:5007]	6297	1.2694989442825317	0.26793382	No	
row_25	TP53INP1	tumor protein p53 inducible nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:18022]	6374	1.2511742115020752	0.27464107	No	
row_26	STX5	syntaxin 5 [Source:HGNC Symbol;Acc:HGNC:11440]	7007	1.07254958152771	0.25873953	No	
row_27	CYP51A1	cytochrome P450 family 51 subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:2649]	7685	0.8964460492134094	0.2397666	No	
row_28	SREBF2	sterol regulatory element binding transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:11290]	8139	0.7890828847885132	0.22852482	No	
row_29	FBXO6	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	8303	0.7488449215888977	0.22805072	No	
row_30	CXCL16	C-X-C motif chemokine ligand 16 [Source:HGNC Symbol;Acc:HGNC:16642]	8678	0.6628637313842773	0.21885693	No	
row_31	GUSB	glucuronidase beta [Source:HGNC Symbol;Acc:HGNC:4696]	9229	0.5412235260009766	0.2020064	No	
row_32	ANXA13	annexin A13 [Source:HGNC Symbol;Acc:HGNC:536]	10417	0.37324243783950806	0.159535	No	
row_33	PCYT2	phosphate cytidylyltransferase 2, ethanolamine [Source:HGNC Symbol;Acc:HGNC:8756]	10750	0.3331930935382843	0.14941327	No	
row_34	IDI1	isopentenyl-diphosphate delta isomerase 1 [Source:HGNC Symbol;Acc:HGNC:5387]	11078	0.28397077322006226	0.13910444	No	
row_35	GSTM2	glutathione S-transferase mu 2 [Source:HGNC Symbol;Acc:HGNC:4634]	11416	0.2339242398738861	0.12802926	No	
row_36	MVD	mevalonate diphosphate decarboxylase [Source:HGNC Symbol;Acc:HGNC:7529]	11779	0.16261079907417297	0.11545143	No	
row_37	HSD17B7	hydroxysteroid 17-beta dehydrogenase 7 [Source:HGNC Symbol;Acc:HGNC:5215]	12096	0.08455578237771988	0.10403107	No	
row_38	AVPR1A	arginine vasopressin receptor 1A [Source:HGNC Symbol;Acc:HGNC:895]	13107	0.0	0.06545348	No	
row_39	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide [Source:HGNC Symbol;Acc:HGNC:252]	16776	0.0	-0.07464812	No	
row_40	CD9	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]	20370	-0.088023342192173	-0.21120895	No	
row_41	LPL	lipoprotein lipase [Source:HGNC Symbol;Acc:HGNC:6677]	20434	-0.09936431050300598	-0.21285208	No	
row_42	LGMN	legumain [Source:HGNC Symbol;Acc:HGNC:9472]	21043	-0.2021593302488327	-0.23452225	No	
row_43	MVK	mevalonate kinase [Source:HGNC Symbol;Acc:HGNC:7530]	21817	-0.3707996606826782	-0.2611994	No	
row_44	ALCAM	activated leukocyte cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:400]	22384	-0.5319996476173401	-0.2787319	No	
row_45	NSDHL	NAD(P) dependent steroid dehydrogenase-like [Source:HGNC Symbol;Acc:HGNC:13398]	22511	-0.5768133401870728	-0.27911413	No	
row_46	FDPS	farnesyl diphosphate synthase [Source:HGNC Symbol;Acc:HGNC:3631]	22612	-0.6139508485794067	-0.27821803	No	
row_47	GPX8	glutathione peroxidase 8 (putative) [Source:HGNC Symbol;Acc:HGNC:33100]	22689	-0.6462698578834534	-0.27615696	No	
row_48	FASN	fatty acid synthase [Source:HGNC Symbol;Acc:HGNC:3594]	22735	-0.6652194261550903	-0.2727663	No	
row_49	SQLE	squalene epoxidase [Source:HGNC Symbol;Acc:HGNC:11279]	22792	-0.6898968815803528	-0.26960623	No	
row_50	DHCR7	7-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2860]	23245	-0.9002196192741394	-0.2799562	No	
row_51	EBP	EBP cholestenol delta-isomerase [Source:HGNC Symbol;Acc:HGNC:3133]	23406	-0.972161591053009	-0.27860042	No	
row_52	ACTG1	actin gamma 1 [Source:HGNC Symbol;Acc:HGNC:144]	23484	-1.0196075439453125	-0.27371	No	
row_53	FADS2	fatty acid desaturase 2 [Source:HGNC Symbol;Acc:HGNC:3575]	23789	-1.1928449869155884	-0.27615938	No	
row_54	ACSS2	acyl-CoA synthetase short chain family member 2 [Source:HGNC Symbol;Acc:HGNC:15814]	23823	-1.2136222124099731	-0.26809815	No	
row_55	HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase [Source:HGNC Symbol;Acc:HGNC:5006]	23870	-1.2499363422393799	-0.26025453	No	
row_56	PDK3	pyruvate dehydrogenase kinase 3 [Source:HGNC Symbol;Acc:HGNC:8811]	23915	-1.280584454536438	-0.25209913	No	
row_57	SC5D	sterol-C5-desaturase [Source:HGNC Symbol;Acc:HGNC:10547]	24184	-1.4451371431350708	-0.25123563	No	
row_58	PMVK	phosphomevalonate kinase [Source:HGNC Symbol;Acc:HGNC:9141]	24218	-1.4689618349075317	-0.24121317	No	
row_59	GNAI1	G protein subunit alpha i1 [Source:HGNC Symbol;Acc:HGNC:4384]	24267	-1.5112292766571045	-0.231439	No	
row_60	LGALS3	galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]	24361	-1.5742758512496948	-0.22289936	No	
row_61	JAG1	jagged canonical Notch ligand 1 [Source:HGNC Symbol;Acc:HGNC:6188]	24702	-1.860317587852478	-0.221597	No	
row_62	FDFT1	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	24872	-2.031501293182373	-0.21244834	No	
row_63	PLSCR1	phospholipid scramblase 1 [Source:HGNC Symbol;Acc:HGNC:9092]	24915	-2.0734364986419678	-0.19812675	No	
row_64	MAL2	mal, T cell differentiation protein 2 [Source:HGNC Symbol;Acc:HGNC:13634]	25232	-2.405791759490967	-0.19171797	No	
row_65	ABCA2	ATP binding cassette subfamily A member 2 [Source:HGNC Symbol;Acc:HGNC:32]	25310	-2.5013856887817383	-0.17544618	No	
row_66	TM7SF2	transmembrane 7 superfamily member 2 [Source:HGNC Symbol;Acc:HGNC:11863]	25426	-2.6501495838165283	-0.15948321	No	
row_67	ACAT2	acetyl-CoA acetyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:94]	25570	-2.856532573699951	-0.14300449	No	
row_68	S100A11	S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]	25647	-2.981330633163452	-0.12300812	No	
row_69	ECH1	enoyl-CoA hydratase 1 [Source:HGNC Symbol;Acc:HGNC:3149]	25905	-3.5197787284851074	-0.1057894	No	
row_70	ALDOC	aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]	25908	-3.525966167449951	-0.078783266	No	
row_71	SCD	stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]	25932	-3.570491075515747	-0.052237246	No	
row_72	ETHE1	ETHE1 persulfide dioxygenase [Source:HGNC Symbol;Acc:HGNC:23287]	26016	-3.7664361000061035	-0.026477939	No	
row_73	FABP5	fatty acid binding protein 5 [Source:HGNC Symbol;Acc:HGNC:3560]	26219	-4.625814437866211	0.0013368714	No	
