NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	52	4.8270344734191895	0.014306547	Yes	
row_1	KCNN4	potassium calcium-activated channel subfamily N member 4 [Source:HGNC Symbol;Acc:HGNC:6293]	72	4.782637596130371	0.029729703	Yes	
row_2	SCN1B	sodium voltage-gated channel beta subunit 1 [Source:HGNC Symbol;Acc:HGNC:10586]	110	4.668680191040039	0.044077147	Yes	
row_3	ABCB1	ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]	144	4.608611583709717	0.058375243	Yes	
row_4	ACE	angiotensin I converting enzyme [Source:HGNC Symbol;Acc:HGNC:2707]	166	4.563664436340332	0.0729821	Yes	
row_5	SEMA3B	semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]	246	4.410280227661133	0.08484488	Yes	
row_6	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	298	4.322971343994141	0.097487435	Yes	
row_7	ETV5	ETS variant transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:3494]	351	4.219257831573486	0.10974134	Yes	
row_8	PTBP2	polypyrimidine tract binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17662]	418	4.1197733879089355	0.12112193	Yes	
row_9	PPP1R15A	protein phosphatase 1 regulatory subunit 15A [Source:HGNC Symbol;Acc:HGNC:14375]	426	4.103784561157227	0.13471296	Yes	
row_10	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	525	3.9782588481903076	0.14438745	Yes	
row_11	CCL20	C-C motif chemokine ligand 20 [Source:HGNC Symbol;Acc:HGNC:10619]	687	3.7690629959106445	0.15093745	Yes	
row_12	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	690	3.7668936252593994	0.16358261	Yes	
row_13	SPRY2	sprouty RTK signaling antagonist 2 [Source:HGNC Symbol;Acc:HGNC:11270]	725	3.7299702167510986	0.17487489	Yes	
row_14	BIRC3	baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:HGNC:591]	805	3.6418817043304443	0.18414256	Yes	
row_15	ANO1	anoctamin 1 [Source:HGNC Symbol;Acc:HGNC:21625]	816	3.634521245956421	0.19603361	Yes	
row_16	CBL	Cbl proto-oncogene [Source:HGNC Symbol;Acc:HGNC:1541]	997	3.4700660705566406	0.20084459	Yes	
row_17	TRIB1	tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]	1022	3.4489173889160156	0.21157147	Yes	
row_18	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	1032	3.443020820617676	0.22285415	Yes	
row_19	USP12	ubiquitin specific peptidase 12 [Source:HGNC Symbol;Acc:HGNC:20485]	1061	3.425414562225342	0.23334815	Yes	
row_20	EPB41L3	erythrocyte membrane protein band 4.1 like 3 [Source:HGNC Symbol;Acc:HGNC:3380]	1094	3.398240089416504	0.24359684	Yes	
row_21	ANGPTL4	angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	1212	3.3160815238952637	0.2503057	Yes	
