NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	199	0.5892962	1.6217302	0.0	0.0038788957	0.006	5249	tags=54%, list=20%, signal=67%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	0.50922763	1.2760779	0.076496676	0.55933267	0.828	7713	tags=70%, list=29%, signal=99%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	144	0.46533504	1.2603735	0.04883011	0.46588153	0.897	5416	tags=44%, list=21%, signal=55%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	36	0.5233377	1.2479202	0.14014252	0.40805575	0.924	8164	tags=58%, list=31%, signal=85%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	157	0.4567639	1.2416662	0.03798768	0.34812054	0.933	6657	tags=51%, list=25%, signal=68%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	200	0.45183343	1.2399814	0.035353534	0.29613015	0.935	3751	tags=35%, list=14%, signal=41%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	113	0.4608049	1.2248123	0.0674974	0.3057225	0.962	7024	tags=48%, list=27%, signal=65%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	105	0.45417017	1.2059036	0.10729167	0.33835548	0.983	7712	tags=52%, list=29%, signal=74%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	0.48030978	1.1600801	0.21784472	0.50366676	1.0	6712	tags=52%, list=26%, signal=70%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	198	0.41733387	1.1418041	0.1437247	0.54741436	1.0	7443	tags=43%, list=28%, signal=60%	
