NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	200	-0.5761382	-2.2024581	0.0	0.0	0.0	4263	tags=63%, list=16%, signal=74%	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	200	-0.46586463	-1.7751392	0.0	0.014509356	0.002	3873	tags=52%, list=15%, signal=60%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	97	-0.47531965	-1.682881	0.0	0.013300244	0.003	2449	tags=38%, list=9%, signal=42%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.45877692	-1.6450903	0.0	0.009975182	0.003	3387	tags=35%, list=13%, signal=40%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	200	-0.39489633	-1.5708473	0.0	0.015234822	0.007	2855	tags=25%, list=11%, signal=28%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	200	-0.38900426	-1.4955955	0.0	0.022429045	0.015	3528	tags=41%, list=13%, signal=46%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	158	-0.36165223	-1.38508	0.0	0.05684557	0.039	3205	tags=35%, list=12%, signal=40%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	199	-0.3443828	-1.3011637	0.083333336	0.09916239	0.072	2408	tags=25%, list=9%, signal=27%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	200	-0.33589345	-1.2952058	0.0	0.09580205	0.078	3528	tags=33%, list=13%, signal=38%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	103	-0.35452706	-1.2603973	0.019607844	0.1079133	0.103	2798	tags=29%, list=11%, signal=32%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	199	-0.32758462	-1.2503071	0.0	0.102027126	0.107	2770	tags=27%, list=11%, signal=30%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	200	-0.32585528	-1.2465134	0.0	0.09775676	0.111	3203	tags=33%, list=12%, signal=37%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	40	-0.37386367	-1.1647644	0.16216215	0.18468945	0.211	3827	tags=20%, list=15%, signal=23%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	200	-0.31664833	-1.1642208	0.0	0.17201555	0.212	2002	tags=26%, list=8%, signal=28%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	138	-0.31372634	-1.1471887	0.14285715	0.17853943	0.231	3231	tags=25%, list=12%, signal=29%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	199	-0.2737838	-1.0577925	0.14285715	0.33712852	0.418	2742	tags=30%, list=10%, signal=33%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	74	-0.28687066	-0.9754548	0.5	0.58494663	0.657	3011	tags=32%, list=11%, signal=37%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	150	-0.26636198	-0.96435887	0.64	0.60608506	0.695	3050	tags=28%, list=12%, signal=31%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE	Details ...	44	-0.31407344	-0.96184874	0.5491803	0.5814596	0.7	1950	tags=23%, list=7%, signal=25%	
