NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IL11	interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]	41	4.2028303146362305	0.023839276	Yes	
row_1	APBB1	amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]	50	4.08224630355835	0.048215978	Yes	
row_2	SOCS1	suppressor of cytokine signaling 1 [Source:HGNC Symbol;Acc:HGNC:19383]	94	3.8485870361328125	0.06983653	Yes	
row_3	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3 [Source:HGNC Symbol;Acc:HGNC:3094]	118	3.7434659004211426	0.09158905	Yes	
row_4	BCL3	BCL3 transcription coactivator [Source:HGNC Symbol;Acc:HGNC:998]	395	3.076800584793091	0.099600285	Yes	
row_5	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	546	2.8884341716766357	0.11130846	Yes	
row_6	GCNT1	glucosaminyl (N-acetyl) transferase 1 [Source:HGNC Symbol;Acc:HGNC:4203]	602	2.820458173751831	0.12625176	Yes	
row_7	INHBA	inhibin subunit beta A [Source:HGNC Symbol;Acc:HGNC:6066]	746	2.668053388595581	0.13689603	Yes	
row_8	HDAC9	histone deacetylase 9 [Source:HGNC Symbol;Acc:HGNC:14065]	1058	2.4208743572235107	0.13959783	Yes	
row_9	HLA-DOB	major histocompatibility complex, class II, DO beta [Source:HGNC Symbol;Acc:HGNC:4937]	1173	2.329418182373047	0.14930755	Yes	
row_10	TGFB1	transforming growth factor beta 1 [Source:HGNC Symbol;Acc:HGNC:11766]	1564	2.090813159942627	0.14698154	Yes	
row_11	IKBKB	inhibitor of nuclear factor kappa B kinase subunit beta [Source:HGNC Symbol;Acc:HGNC:5960]	1680	2.034256935119629	0.15486816	Yes	
row_12	LIF	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	2007	1.8588032722473145	0.15359563	Yes	
row_13	IL4R	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	2203	1.770702600479126	0.1568182	Yes	
row_14	ABCE1	ATP binding cassette subfamily E member 1 [Source:HGNC Symbol;Acc:HGNC:69]	2225	1.7618125677108765	0.1666652	Yes	
row_15	ICAM1	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:5344]	2270	1.7446372509002686	0.1755256	Yes	
row_16	SOCS5	suppressor of cytokine signaling 5 [Source:HGNC Symbol;Acc:HGNC:16852]	2296	1.7355241775512695	0.18506013	Yes	
row_17	CSF1	colony stimulating factor 1 [Source:HGNC Symbol;Acc:HGNC:2432]	2446	1.6817972660064697	0.18951063	Yes	
row_18	ELF4	E74 like ETS transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3319]	2502	1.6606777906417847	0.19744118	Yes	
row_19	ACHE	acetylcholinesterase (Cartwright blood group) [Source:HGNC Symbol;Acc:HGNC:108]	2576	1.6294275522232056	0.20449193	Yes	
row_20	TRAF2	TNF receptor associated factor 2 [Source:HGNC Symbol;Acc:HGNC:12032]	2722	1.577086091041565	0.20846279	Yes	
row_21	MAP3K7	mitogen-activated protein kinase kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6859]	2817	1.5403450727462769	0.2141689	Yes	
row_22	ETS1	ETS proto-oncogene 1, transcription factor [Source:HGNC Symbol;Acc:HGNC:3488]	2923	1.5078551769256592	0.21925639	Yes	
row_23	CFP	complement factor properdin [Source:HGNC Symbol;Acc:HGNC:8864]	2937	1.5025736093521118	0.22784291	Yes	
row_24	IL2RG	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	3050	1.4650522470474243	0.2324029	Yes	
row_25	AARS1	alanyl-tRNA synthetase 1 [Source:HGNC Symbol;Acc:HGNC:20]	3116	1.442408800125122	0.23862986	Yes	
row_26	BCAT1	branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]	3183	1.4227513074874878	0.24469958	Yes	
row_27	ICOSLG	inducible T cell costimulator ligand [Source:HGNC Symbol;Acc:HGNC:17087]	3537	1.2993359565734863	0.2390079	Yes	
row_28	TAPBP	TAP binding protein [Source:HGNC Symbol;Acc:HGNC:11566]	3811	1.2210147380828857	0.23591307	Yes	
row_29	IL15	interleukin 15 [Source:HGNC Symbol;Acc:HGNC:5977]	4070	1.1534737348556519	0.23298554	Yes	
row_30	MMP9	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	4093	1.148740530014038	0.23908715	Yes	
row_31	HCLS1	hematopoietic cell-specific Lyn substrate 1 [Source:HGNC Symbol;Acc:HGNC:4844]	4202	1.1224279403686523	0.24172896	Yes	
row_32	IRF7	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	4205	1.121494174003601	0.24843344	Yes	
row_33	HLA-G	major histocompatibility complex, class I, G [Source:HGNC Symbol;Acc:HGNC:4964]	4240	1.1129741668701172	0.2538582	Yes	
row_34	SPI1	Spi-1 proto-oncogene [Source:HGNC Symbol;Acc:HGNC:11241]	4277	1.1018640995025635	0.25913906	Yes	
row_35	KLRD1	killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]	4282	1.1010019779205322	0.26564288	Yes	
row_36	C2	complement C2 [Source:HGNC Symbol;Acc:HGNC:1248]	4653	1.0109931230545044	0.25755522	Yes	
row_37	TGFB2	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]	4692	1.0022441148757935	0.26215696	Yes	
row_38	TNF	tumor necrosis factor [Source:HGNC Symbol;Acc:HGNC:11892]	4705	0.9996162056922913	0.26774067	Yes	
row_39	PRKCG	protein kinase C gamma [Source:HGNC Symbol;Acc:HGNC:9402]	4726	0.9957069158554077	0.2729937	Yes	
row_40	IL6	interleukin 6 [Source:HGNC Symbol;Acc:HGNC:6018]	4814	0.9797488451004028	0.2755788	Yes	
row_41	CCL5	C-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10632]	4822	0.9774496555328369	0.28122038	Yes	
row_42	IL18RAP	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	4857	0.9679915904998779	0.2857685	Yes	
row_43	EIF3A	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	5264	0.8745071291923523	0.2754739	No	
row_44	INHBB	inhibin subunit beta B [Source:HGNC Symbol;Acc:HGNC:6067]	5295	0.8674811720848083	0.2795678	No	
row_45	CRTAM	cytotoxic and regulatory T cell molecule [Source:HGNC Symbol;Acc:HGNC:24313]	5632	0.8035743832588196	0.2715309	No	
row_46	HLA-A	major histocompatibility complex, class I, A [Source:HGNC Symbol;Acc:HGNC:4931]	5765	0.781760573387146	0.2711917	No	
row_47	IRF4	interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]	5796	0.7763200402259827	0.2747344	No	
row_48	CD79A	CD79a molecule [Source:HGNC Symbol;Acc:HGNC:1698]	5856	0.7669953107833862	0.2771077	No	
row_49	IL27RA	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	6065	0.7297453880310059	0.27353704	No	
row_50	EIF3J	eukaryotic translation initiation factor 3 subunit J [Source:HGNC Symbol;Acc:HGNC:3270]	6134	0.7181054949760437	0.2752693	No	
row_51	RPL3L	ribosomal protein L3 like [Source:HGNC Symbol;Acc:HGNC:10351]	6320	0.6847307085990906	0.2723092	No	
row_52	STAT4	signal transducer and activator of transcription 4 [Source:HGNC Symbol;Acc:HGNC:11365]	6352	0.6792392134666443	0.27522653	No	
row_53	CTSS	cathepsin S [Source:HGNC Symbol;Acc:HGNC:2545]	6431	0.6659181714057922	0.2762594	No	
row_54	ABI1	abl interactor 1 [Source:HGNC Symbol;Acc:HGNC:11320]	6576	0.6396082043647766	0.2746001	No	
row_55	FASLG	Fas ligand [Source:HGNC Symbol;Acc:HGNC:11936]	6705	0.6160915493965149	0.27341267	No	
row_56	AKT1	AKT serine/threonine kinase 1 [Source:HGNC Symbol;Acc:HGNC:391]	7037	0.569507896900177	0.26415238	No	
row_57	EREG	epiregulin [Source:HGNC Symbol;Acc:HGNC:3443]	7158	0.5516439080238342	0.2628823	No	
row_58	LCK	LCK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6524]	7218	0.5428101420402527	0.2639	No	
row_59	MAP4K1	mitogen-activated protein kinase kinase kinase kinase 1 [Source:HGNC Symbol;Acc:HGNC:6863]	7223	0.5420858263969421	0.26702428	No	
row_60	IL12A	interleukin 12A [Source:HGNC Symbol;Acc:HGNC:5969]	7268	0.5355825424194336	0.268574	No	
row_61	IL16	interleukin 16 [Source:HGNC Symbol;Acc:HGNC:5980]	7365	0.5210530757904053	0.2680401	No	
row_62	CCL22	C-C motif chemokine ligand 22 [Source:HGNC Symbol;Acc:HGNC:10621]	7372	0.51996248960495	0.27095383	No	
row_63	F2	coagulation factor II, thrombin [Source:HGNC Symbol;Acc:HGNC:3535]	7524	0.49918195605278015	0.26817673	No	
row_64	GBP2	guanylate binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4183]	7560	0.49472129344940186	0.26982483	No	
row_65	HLA-DMA	major histocompatibility complex, class II, DM alpha [Source:HGNC Symbol;Acc:HGNC:4934]	7654	0.48279276490211487	0.2691747	No	
row_66	HLA-DRA	major histocompatibility complex, class II, DR alpha [Source:HGNC Symbol;Acc:HGNC:4947]	7786	0.46590569615364075	0.26696402	No	
row_67	TLR6	toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]	7913	0.4502044916152954	0.26485032	No	
row_68	FYB1	FYN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:4036]	8048	0.4345082938671112	0.26233464	No	
row_69	IL7	interleukin 7 [Source:HGNC Symbol;Acc:HGNC:6023]	8268	0.41081663966178894	0.2564134	No	
row_70	IL13	interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]	8283	0.4089082181453705	0.25834858	No	
row_71	PTPRC	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]	8375	0.39685356616973877	0.25725558	No	
row_72	HLA-E	major histocompatibility complex, class I, E [Source:HGNC Symbol;Acc:HGNC:4962]	8482	0.3825254738330841	0.25550026	No	
row_73	TAP1	transporter 1, ATP binding cassette subfamily B member [Source:HGNC Symbol;Acc:HGNC:43]	8486	0.38200411200523376	0.25769496	No	
row_74	IFNGR2	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	8534	0.3775603473186493	0.25817403	No	
row_75	CXCL13	C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]	8596	0.3700997829437256	0.25807068	No	
row_76	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	8697	0.36001497507095337	0.25640953	No	
row_77	PSMB10	proteasome 20S subunit beta 10 [Source:HGNC Symbol;Acc:HGNC:9538]	8921	0.3377314805984497	0.24989283	No	
row_78	IL10	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	8975	0.3318386673927307	0.24986516	No	
row_79	ZAP70	zeta chain of T cell receptor associated protein kinase 70 [Source:HGNC Symbol;Acc:HGNC:12858]	8997	0.32958555221557617	0.25105205	No	
row_80	IRF8	interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]	9130	0.31727901101112366	0.24790432	No	
row_81	HLA-DQA1	major histocompatibility complex, class II, DQ alpha 1 [Source:HGNC Symbol;Acc:HGNC:4942]	9298	0.30391716957092285	0.24333246	No	
row_82	FAS	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	9337	0.30098840594291687	0.24369396	No	
row_83	CD4	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]	9348	0.3000026345252991	0.24512416	No	
row_84	IL12B	interleukin 12B [Source:HGNC Symbol;Acc:HGNC:5970]	9513	0.2875734269618988	0.24056862	No	
row_85	ITGAL	integrin subunit alpha L [Source:HGNC Symbol;Acc:HGNC:6148]	9689	0.27713581919670105	0.2355278	No	
row_86	CXCR3	C-X-C motif chemokine receptor 3 [Source:HGNC Symbol;Acc:HGNC:4540]	9693	0.27669355273246765	0.23708571	No	
row_87	CD96	CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]	9869	0.2650032639503479	0.23197152	No	
row_88	NCR1	natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]	10067	0.25192025303840637	0.22593386	No	
row_89	CCL7	C-C motif chemokine ligand 7 [Source:HGNC Symbol;Acc:HGNC:10634]	10083	0.25097304582595825	0.2268757	No	
row_90	STAB1	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]	10259	0.23903843760490417	0.2216045	No	
row_91	CCL2	C-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10618]	10371	0.23201824724674225	0.2187472	No	
row_92	UBE2D1	ubiquitin conjugating enzyme E2 D1 [Source:HGNC Symbol;Acc:HGNC:12474]	10461	0.2262328565120697	0.2166993	No	
row_93	CD247	CD247 molecule [Source:HGNC Symbol;Acc:HGNC:1677]	10542	0.22100037336349487	0.21496516	No	
row_94	HLA-DOA	major histocompatibility complex, class II, DO alpha [Source:HGNC Symbol;Acc:HGNC:4936]	10657	0.21235281229019165	0.21187383	No	
row_95	LYN	LYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6735]	10889	0.19617749750614166	0.20419417	No	
row_96	FLNA	filamin A [Source:HGNC Symbol;Acc:HGNC:3754]	10959	0.19156774878501892	0.20270427	No	
row_97	ITK	IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]	11012	0.18787136673927307	0.20184447	No	
row_98	CXCL9	C-X-C motif chemokine ligand 9 [Source:HGNC Symbol;Acc:HGNC:7098]	11253	0.17166979610919952	0.19367121	No	
row_99	TRAT1	T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]	11360	0.16460052132606506	0.19059816	No	
row_100	CD7	CD7 molecule [Source:HGNC Symbol;Acc:HGNC:1695]	11491	0.15546825528144836	0.18654877	No	
row_101	IGSF6	immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]	11658	0.14377984404563904	0.18104702	No	
row_102	CCR2	C-C motif chemokine receptor 2 [Source:HGNC Symbol;Acc:HGNC:1603]	11871	0.12803442776203156	0.17368455	No	
row_103	NLRP3	NLR family pyrin domain containing 3 [Source:HGNC Symbol;Acc:HGNC:16400]	11895	0.12710513174533844	0.17357036	No	
row_104	HLA-DMB	major histocompatibility complex, class II, DM beta [Source:HGNC Symbol;Acc:HGNC:4935]	11984	0.11939536035060883	0.17091483	No	
row_105	WAS	WASP actin nucleation promoting factor [Source:HGNC Symbol;Acc:HGNC:12731]	12094	0.11264433711767197	0.16741249	No	
row_106	IFNAR2	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	12340	0.09330464899539948	0.15857348	No	
row_107	JAK2	Janus kinase 2 [Source:HGNC Symbol;Acc:HGNC:6192]	12421	0.08465889096260071	0.15601495	No	
