NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC20A1	solute carrier family 20 member 1 [Source:HGNC Symbol;Acc:HGNC:10946]	27	4.3925089836120605	0.020964008	Yes	
row_1	SQSTM1	sequestosome 1 [Source:HGNC Symbol;Acc:HGNC:11280]	32	4.2868428230285645	0.04228018	Yes	
row_2	DNAJA1	DnaJ heat shock protein family (Hsp40) member A1 [Source:HGNC Symbol;Acc:HGNC:5229]	49	4.090372562408447	0.062152542	Yes	
row_3	DDIT3	DNA damage inducible transcript 3 [Source:HGNC Symbol;Acc:HGNC:2726]	153	3.591944694519043	0.07619482	Yes	
row_4	CASP9	caspase 9 [Source:HGNC Symbol;Acc:HGNC:1511]	164	3.5597779750823975	0.093639776	Yes	
row_5	SAT1	spermidine/spermine N1-acetyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10540]	303	3.244239330291748	0.10459947	Yes	
row_6	ISG20	interferon stimulated exonuclease gene 20 [Source:HGNC Symbol;Acc:HGNC:6130]	430	3.0319221019744873	0.11495568	Yes	
row_7	TNFRSF12A	TNF receptor superfamily member 12A [Source:HGNC Symbol;Acc:HGNC:18152]	494	2.9355263710021973	0.12724328	Yes	
row_8	BCL10	BCL10 immune signaling adaptor [Source:HGNC Symbol;Acc:HGNC:989]	546	2.8884341716766357	0.13975486	Yes	
row_9	PEA15	proliferation and apoptosis adaptor protein 15 [Source:HGNC Symbol;Acc:HGNC:8822]	576	2.8533360958099365	0.15293372	Yes	
row_10	IGF2R	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	634	2.7787792682647705	0.1646662	Yes	
row_11	SATB1	SATB homeobox 1 [Source:HGNC Symbol;Acc:HGNC:10541]	637	2.7743444442749023	0.1784841	Yes	
row_12	SMAD7	SMAD family member 7 [Source:HGNC Symbol;Acc:HGNC:6773]	740	2.6711721420288086	0.18795326	Yes	
row_13	CTH	cystathionine gamma-lyase [Source:HGNC Symbol;Acc:HGNC:2501]	808	2.613809108734131	0.19847636	Yes	
row_14	ADD1	adducin 1 [Source:HGNC Symbol;Acc:HGNC:243]	862	2.5795624256134033	0.20936441	Yes	
row_15	RHOT2	ras homolog family member T2 [Source:HGNC Symbol;Acc:HGNC:21169]	929	2.5224475860595703	0.21946825	Yes	
row_16	RELA	RELA proto-oncogene, NF-kB subunit [Source:HGNC Symbol;Acc:HGNC:9955]	969	2.4941067695617676	0.23046482	Yes	
row_17	CYLD	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	1220	2.29449725151062	0.23237614	Yes	
row_18	DIABLO	diablo IAP-binding mitochondrial protein [Source:HGNC Symbol;Acc:HGNC:21528]	1369	2.1991195678710938	0.23771845	Yes	
row_19	MADD	MAP kinase activating death domain [Source:HGNC Symbol;Acc:HGNC:6766]	1381	2.1903467178344727	0.24826667	Yes	
